NUMERO DE TRABAJOS
20
NUMERO DE RECURSOS
5
SECUENCIA DE MAQUINAS
0 1 2 3 4 
0 1 3 2 4 
1 0 2 4 3 
1 0 4 2 3 
2 1 0 3 4 
2 1 4 0 3 
1 0 2 3 4 
2 1 0 3 4 
0 3 2 1 4 
1 2 0 3 4 
1 3 0 4 2 
2 0 1 3 4 
0 2 1 3 4 
2 0 1 3 4 
0 1 4 2 3 
1 0 3 4 2 
0 2 1 3 4 
0 1 4 2 3 
1 2 0 3 4 
0 1 2 3 4 
DURACIONES
(26,32) (9,9) (44,54) (57,67) (38,50) 
(38,48) (74,76) (68,70) (40,52) (66,78) 
(85,97) (37,41) (90,90) (12,12) (40,50) 
(76,86) (62,80) (9,9) (83,87) (21,23) 
(13,15) (19,25) (24,28) (20,22) (72,72) 
(81,87) (48,56) (43,53) (46,48) (6,6) 
(45,47) (58,64) (28,36) (31,33) (28,32) 
(29,33) (42,50) (29,35) (18,20) (33,39) 
(72,80) (70,82) (78,92) (40,40) (24,28) 
(77,93) (54,68) (61,67) (46,48) (86,94) 
(75,81) (32,40) (11,11) (53,59) (20,22) 
(81,99) (11,11) (28,28) (44,48) (29,31) 
(80,90) (67,81) (10,10) (85,93) (33,33) 
(84,106) (93,105) (52,52) (96,100) (38,48) 
(6,6) (54,68) (60,78) (42,56) (51,55) 
(2,2) (92,98) (71,73) (59,71) (23,27) 
(36,38) (12,14) (19,23) (82,96) (49,61) 
(78,94) (67,81) (88,88) (45,51) (71,87) 
(68,70) (47,55) (11,11) (78,100) (68,80) 
(12,14) (7,7) (68,84) (47,57) (43,47) 
TIEMPOS MAXIMOS DE FIN
(1256,1256) (1378,1378) (1171,1171) (1235,1235) (877,877) (874,874) (1053,1053) (1127,1127) (1304,1304) (1226,1226) (1080,1080) (854,854) (974,974) (1106,1106) (1051,1051) (1291,1291) (840,840) (1006,1006) (911,911) (1051,1051) 
DESV:0.0606521
