=== I-001 full: per-instance mean of 30 runs (best in brackets) ===
inst             control            v2rand             v2top          v2maxmin               mix
ta22       1627.4 [1619]     1629.2 [1614]     1624.5 [1614]     1629.6 [1617]     1631.1 [1613]
ta23       1587.3 [1574]     1577.1 [1570]     1583.8 [1570]     1578.7 [1563]     1583.6 [1572]
ta25       1636.4 [1620]     1640.9 [1625]     1643.5 [1622]     1639.0 [1624]     1636.2 [1616]
ta26       1689.6 [1660]     1678.8 [1663]     1677.8 [1665]     1678.9 [1664]     1680.6 [1664]
ta27       1713.1 [1703]     1711.0 [1697]     1713.4 [1704]     1712.3 [1703]     1712.2 [1706]
ta29       1641.1 [1628]     1644.9 [1638]     1643.9 [1629]     1645.0 [1634]     1640.1 [1627]
ta30       1623.4 [1607]     1618.1 [1603]     1614.6 [1595]     1615.8 [1602]     1619.5 [1601]
ta32       1840.7 [1815]     1841.4 [1821]     1845.2 [1826]     1841.8 [1826]     1848.1 [1816]
ta33       1857.0 [1848]     1853.6 [1841]     1851.1 [1837]     1852.0 [1837]     1852.7 [1823]
ta34       1888.3 [1856]     1887.3 [1858]     1884.9 [1879]     1889.3 [1879]     1886.5 [1856]
ta40       1726.5 [1711]     1723.8 [1700]     1727.8 [1706]     1728.8 [1706]     1728.1 [1706]
ta41       2091.8 [2069]     2090.1 [2066]     2092.8 [2068]     2089.9 [2062]     2088.5 [2070]
ta42       2001.2 [1983]     1996.7 [1974]     1996.0 [1980]     2000.8 [1984]     2004.5 [1982]
ta43       1930.3 [1905]     1922.8 [1901]     1920.9 [1906]     1926.7 [1905]     1919.9 [1890]
ta44       2042.7 [2011]     2043.6 [2028]     2039.3 [2022]     2040.5 [2022]     2037.7 [2028]
ta45       2042.1 [2024]     2040.2 [2022]     2042.8 [2028]     2042.4 [2027]     2040.9 [2020]
ta46       2083.5 [2062]     2078.3 [2047]     2092.7 [2043]     2084.9 [2052]     2086.4 [2059]
ta47       1969.6 [1951]     1969.3 [1946]     1969.4 [1941]     1975.5 [1950]     1973.3 [1957]
ta48       2027.3 [1998]     2032.6 [2008]     2026.5 [2010]     2032.0 [2010]     2023.9 [2008]
ta49       2012.8 [1997]     2012.7 [1993]     2015.0 [1991]     2016.2 [1996]     2013.4 [1996]
ta50       2002.2 [1982]     2002.5 [1988]     2001.0 [1983]     2000.4 [1981]     2008.5 [1980]

=== step-0 best (mean over runs): did the seeds go in? ===
ta22                2099              1819              1825              1817              1815
ta23                2025              1752              1760              1749              1755
ta25                2068              1810              1810              1801              1802
ta26                2129              1846              1853              1844              1848
ta27                2200              1915              1928              1920              1923
ta29                2130              1828              1839              1833              1817
ta30                2061              1822              1828              1814              1825
ta32                2393              2132              2138              2130              2123
ta33                2422              2153              2160              2139              2176
ta34                2393              2138              2147              2133              2128
ta40                2242              2013              2016              2011              2015
ta41                2738              2409              2426              2400              2436
ta42                2616              2300              2289              2300              2302
ta43                2559              2230              2241              2229              2212
ta44                2673              2332              2344              2336              2350
ta45                2671              2303              2321              2297              2305
ta46                2710              2363              2366              2363              2363
ta47                2579              2211              2205              2201              2192
ta48                2612              2318              2306              2314              2302
ta49                2602              2355              2356              2341              2336
ta50                2617              2326              2331              2339              2331

=== against control, paired by instance (n = 21) ===
cell        mean d   better          W        p   best-of-7 d
v2rand       -1.87    14/21       65.0    0.079      -1.25
v2top        -1.32    12/21       84.0    0.274      -1.82
v2maxmin     -0.67    10/21      111.0    0.876      -0.52
mix          -0.90    13/21       88.5    0.348      -0.85  <-- PRIMARY

decision (primary endpoint, mix vs control): W = 88.5, p = 0.348, mix better on 13 of 21 -> REJECT
