run;task;job;operation;machine;start;duration;completion
1;0;0;0;3;152;94;246
1;1;0;1;2;268;61;329
1;2;0;2;19;329;12;341
1;3;0;3;11;377;68;445
1;4;0;4;10;445;40;485
1;5;0;5;13;485;84;569
1;6;0;6;16;591;30;621
1;7;0;7;15;638;16;654
1;8;0;8;1;654;34;688
1;9;0;9;0;688;92;780
1;10;0;10;12;780;53;833
1;11;0;11;17;858;55;913
1;12;0;12;18;926;61;987
1;13;0;13;9;1176;67;1243
1;14;0;14;5;1261;30;1291
1;15;0;15;7;1291;88;1379
1;16;0;16;14;1379;12;1391
1;17;0;17;4;1493;20;1513
1;18;0;18;8;1517;16;1533
1;19;0;19;6;1585;51;1636
1;20;1;0;14;0;22;22
1;21;1;1;12;227;75;302
1;22;1;2;4;302;29;331
1;23;1;3;17;331;87;418
1;24;1;4;7;418;47;465
1;25;1;5;2;465;48;513
1;26;1;6;10;571;21;592
1;27;1;7;15;592;46;638
1;28;1;8;8;638;77;715
1;29;1;9;9;737;35;772
1;30;1;10;3;772;10;782
1;31;1;11;6;782;92;874
1;32;1;12;16;891;9;900
1;33;1;13;13;938;75;1013
1;34;1;14;11;1013;40;1053
1;35;1;15;1;1053;89;1142
1;36;1;16;0;1142;86;1228
1;37;1;17;5;1228;33;1261
1;38;1;18;19;1261;2;1263
1;39;1;19;18;1281;1;1282
1;40;2;0;18;0;32;32
1;41;2;1;17;166;8;174
1;42;2;2;0;177;99;276
1;43;2;3;13;276;14;290
1;44;2;4;7;290;41;331
1;45;2;5;1;361;53;414
1;46;2;6;11;445;97;542
1;47;2;7;19;569;19;588
1;48;2;8;5;595;39;634
1;49;2;9;3;634;20;654
1;50;2;10;2;654;91;745
1;51;2;11;16;779;54;833
1;52;2;12;15;833;97;930
1;53;2;13;4;968;79;1047
1;54;2;14;8;1087;21;1108
1;55;2;15;14;1108;22;1130
1;56;2;16;9;1257;93;1350
1;57;2;17;12;1378;67;1445
1;58;2;18;10;1445;17;1462
1;59;2;19;6;1501;84;1585
1;60;3;0;17;0;13;13
1;61;3;1;10;13;43;56
1;62;3;2;8;241;97;338
1;63;3;3;12;338;41;379
1;64;3;4;5;442;4;446
1;65;3;5;16;537;35;572
1;66;3;6;14;582;6;588
1;67;3;7;11;611;93;704
1;68;3;8;6;704;32;736
1;69;3;9;1;736;35;771
1;70;3;10;9;796;2;798
1;71;3;11;4;820;54;874
1;72;3;12;19;914;77;991
1;73;3;13;0;991;9;1000
1;74;3;14;18;1000;97;1097
1;75;3;15;15;1124;10;1134
1;76;3;16;3;1134;45;1179
1;77;3;17;2;1234;81;1315
1;78;3;18;13;1315;76;1391
1;79;3;19;7;1465;37;1502
1;80;4;0;8;17;26;43
1;81;4;1;12;54;70;124
1;82;4;2;1;124;33;157
1;83;4;3;10;170;58;228
1;84;4;4;13;228;38;266
1;85;4;5;15;279;77;356
1;86;4;6;5;356;86;442
1;87;4;7;17;442;53;495
1;88;4;8;9;495;47;542
1;89;4;9;7;542;20;562
1;90;4;10;18;562;71;633
1;91;4;11;3;654;69;723
1;92;4;12;4;725;95;820
1;93;4;13;0;820;4;824
1;94;4;14;2;894;23;917
1;95;4;15;14;926;89;1015
1;96;4;16;19;1048;87;1135
1;97;4;17;11;1135;20;1155
1;98;4;18;16;1174;67;1241
1;99;4;19;6;1271;65;1336
1;100;5;0;6;0;86;86
1;101;5;1;0;104;73;177
1;102;5;2;9;177;93;270
1;103;5;3;16;305;26;331
1;104;5;4;14;331;98;429
1;105;5;5;18;429;37;466
1;106;5;6;17;495;67;562
1;107;5;7;10;592;87;679
1;108;5;8;2;745;33;778
1;109;5;9;13;778;6;784
1;110;5;10;11;784;68;852
1;111;5;11;7;858;16;874
1;112;5;12;19;874;12;886
1;113;5;13;1;912;5;917
1;114;5;14;8;917;33;950
1;115;5;15;3;976;87;1063
1;116;5;16;4;1063;96;1159
1;117;5;17;15;1159;46;1205
1;118;5;18;12;1205;87;1292
1;119;5;19;5;1395;89;1484
1;120;6;0;12;0;3;3
1;121;6;1;1;46;34;80
1;122;6;2;6;86;2;88
1;123;6;3;14;88;96;184
1;124;6;4;11;544;67;611
1;125;6;5;15;654;37;691
1;126;6;6;3;723;30;753
1;127;6;7;10;753;50;803
1;128;6;8;9;803;84;887
1;129;6;9;19;887;27;914
1;130;6;10;5;925;37;962
1;131;6;11;17;962;89;1051
1;132;6;12;2;1051;92;1143
1;133;6;13;4;1159;68;1227
1;134;6;14;8;1227;20;1247
1;135;6;15;18;1309;80;1389
1;136;6;16;7;1389;76;1465
1;137;6;17;0;1465;74;1539
1;138;6;18;13;1539;11;1550
1;139;6;19;16;1550;38;1588
1;140;7;0;5;0;60;60
1;141;7;1;12;130;97;227
