run;task;job;operation;machine;start;duration;completion
1;0;0;0;7;0;33;33
1;1;0;1;4;33;8;41
1;2;0;2;0;269;81;350
1;3;0;3;10;350;68;418
1;4;0;4;17;418;28;446
1;5;0;5;18;464;91;555
1;6;0;6;16;555;91;646
1;7;0;7;15;646;74;720
1;8;0;8;3;729;7;736
1;9;0;9;11;736;7;743
1;10;0;10;5;751;19;770
1;11;0;11;6;770;50;820
1;12;0;12;9;820;65;885
1;13;0;13;19;917;53;970
1;14;0;14;12;996;9;1005
1;15;0;15;8;1179;90;1269
1;16;0;16;14;1302;69;1371
1;17;0;17;13;1371;50;1421
1;18;0;18;2;1421;58;1479
1;19;0;19;1;1494;13;1507
1;20;1;0;3;0;69;69
1;21;1;1;19;69;10;79
1;22;1;2;17;79;58;137
1;23;1;3;14;137;10;147
1;24;1;4;11;147;91;238
1;25;1;5;1;242;5;247
1;26;1;6;2;247;37;284
1;27;1;7;7;294;9;303
1;28;1;8;16;412;93;505
1;29;1;9;13;513;94;607
1;30;1;10;9;632;46;678
1;31;1;11;5;696;55;751
1;32;1;12;8;751;99;850
1;33;1;13;0;902;28;930
1;34;1;14;18;930;95;1025
1;35;1;15;10;1025;94;1119
1;36;1;16;6;1137;4;1141
1;37;1;17;4;1332;51;1383
1;38;1;18;15;1383;59;1442
1;39;1;19;12;1492;10;1502
1;40;2;0;15;0;79;79
1;41;2;1;0;79;70;149
1;42;2;2;4;149;35;184
1;43;2;3;8;184;82;266
1;44;2;4;2;284;35;319
1;45;2;5;14;592;84;676
1;46;2;6;18;676;34;710
1;47;2;7;12;710;87;797
1;48;2;8;7;810;91;901
1;49;2;9;5;936;69;1005
1;50;2;10;6;1069;12;1081
1;51;2;11;16;1100;31;1131
1;52;2;12;17;1131;94;1225
1;53;2;13;11;1225;65;1290
1;54;2;14;10;1290;13;1303
1;55;2;15;13;1303;16;1319
1;56;2;16;19;1344;39;1383
1;57;2;17;9;1383;46;1429
1;58;2;18;1;1429;4;1433
1;59;2;19;3;1433;74;1507
1;60;3;0;17;17;50;67
1;61;3;1;7;67;40;107
1;62;3;2;12;151;81;232
1;63;3;3;9;232;47;279
1;64;3;4;0;350;96;446
1;65;3;5;13;446;67;513
1;66;3;6;1;582;94;676
1;67;3;7;14;676;53;729
1;68;3;8;2;729;22;751
1;69;3;9;16;751;17;768
1;70;3;10;10;774;23;797
1;71;3;11;18;824;24;848
1;72;3;12;8;850;66;916
1;73;3;13;4;939;15;954
1;74;3;14;6;1081;56;1137
1;75;3;15;15;1137;84;1221
1;76;3;16;19;1221;79;1300
1;77;3;17;5;1350;25;1375
1;78;3;18;3;1375;13;1388
1;79;3;19;11;1502;72;1574
1;80;4;0;19;0;7;7
1;81;4;1;6;7;81;88
1;82;4;2;5;88;62;150
1;83;4;3;15;150;50;200
1;84;4;4;13;200;91;291
1;85;4;5;4;291;77;368
1;86;4;6;2;392;32;424
1;87;4;7;18;454;10;464
1;88;4;8;3;464;78;542
1;89;4;9;16;670;78;748
1;90;4;10;11;748;21;769
1;91;4;11;14;858;78;936
1;92;4;12;1;936;21;957
1;93;4;13;17;957;10;967
1;94;4;14;8;967;88;1055
1;95;4;15;9;1055;23;1078
1;96;4;16;7;1078;92;1170
1;97;4;17;10;1170;34;1204
1;98;4;18;12;1210;88;1298
1;99;4;19;0;1298;48;1346
1;100;5;0;14;0;66;66
1;101;5;1;0;198;71;269
1;102;5;2;5;269;55;324
1;103;5;3;18;341;25;366
1;104;5;4;11;366;43;409
1;105;5;5;2;424;24;448
1;106;5;6;12;448;87;535
1;107;5;7;7;553;59;612
1;108;5;8;6;612;90;702
1;109;5;9;13;955;63;1018
1;110;5;10;4;1018;90;1108
1;111;5;11;19;1108;22;1130
1;112;5;12;15;1130;6;1136
1;113;5;13;1;1136;50;1186
1;114;5;14;3;1186;9;1195
1;115;5;15;10;1204;18;1222
1;116;5;16;16;1262;19;1281
1;117;5;17;17;1324;52;1376
1;118;5;18;9;1429;83;1512
1;119;5;19;8;1512;66;1578
1;120;6;0;8;0;66;66
1;121;6;1;14;66;39;105
1;122;6;2;18;140;10;150
1;123;6;3;7;214;80;294
1;124;6;4;6;294;55;349
1;125;6;5;3;349;38;387
1;126;6;6;1;387;29;416
1;127;6;7;11;416;41;457
1;128;6;8;17;457;63;520
1;129;6;9;10;631;32;663
1;130;6;10;15;720;91;811
1;131;6;11;19;811;27;838
1;132;6;12;4;867;72;939
1;133;6;13;2;951;71;1022
1;134;6;14;16;1039;61;1100
1;135;6;15;13;1100;35;1135
1;136;6;16;9;1135;17;1152
1;137;6;17;0;1152;26;1178
1;138;6;18;5;1375;42;1417
1;139;6;19;12;1428;64;1492
1;140;7;0;17;67;11;78
1;141;7;1;18;241;33;274
1;142;7;2;13;331;84;415
1;143;7;3;15;426;12;438
1;144;7;4;5;438;18;456
1;145;7;5;8;504;57;561
1;146;7;6;19;596;43;639
1;147;7;7;16;646;24;670
1;148;7;8;0;750;77;827
1;149;7;9;2;866;85;951
1;150;7;10;7;951;62;1013
1;151;7;11;3;1013;49;1062
1;152;7;12;1;1062;5;1067
1;153;7;13;9;1078;46;1124
1;154;7;14;11;1124;93;1217
1;155;7;15;14;1217;85;1302
1;156;7;16;6;1302;92;1394
1;157;7;17;10;1394;30;1424
1;158;7;18;4;1426;64;1490
1;159;7;19;12;1502;77;1579
1;160;8;0;11;0;38;38
1;161;8;1;0;39;30;69
1;162;8;2;9;69;31;100
1;163;8;3;18;115;25;140
1;164;8;4;1;140;90;230
1;165;8;5;19;234;79;313
1;166;8;6;16;313;3;316
1;167;8;7;12;381;52;433
1;168;8;8;6;467;87;554
1;169;8;9;10;554;30;584
1;170;8;10;7;723;87;810
1;171;8;11;14;820;4;824
1;172;8;12;15;848;57;905
1;173;8;13;8;916;43;959
1;174;8;14;4;959;55;1014
1;175;8;15;13;1055;21;1076
1;176;8;16;17;1076;30;1106
1;177;8;17;5;1153;1;1154
1;178;8;18;2;1154;72;1226
1;179;8;19;3;1226;75;1301
1;180;9;0;0;69;9;78
1;181;9;1;8;78;49;127
1;182;9;2;18;150;91;241
1;183;9;3;4;241;39;280
1;184;9;4;13;291;40;331
1;185;9;5;14;331;59;390
1;186;9;6;1;416;20;436
1;187;9;7;7;436;27;463
1;188;9;8;19;463;67;530
1;189;9;9;15;530;22;552
1;190;9;10;16;552;2;554
1;191;9;11;10;584;47;631
1;192;9;12;3;908;91;999
1;193;9;13;6;1025;11;1036
1;194;9;14;11;1046;70;1116
1;195;9;15;5;1253;97;1350
1;196;9;16;12;1350;78;1428
1;197;9;17;17;1428;69;1497
1;198;9;18;9;1512;17;1529
1;199;9;19;2;1529;40;1569
1;200;10;0;16;0;57;57
1;201;10;1;6;88;32;120
1;202;10;2;3;387;67;454
1;203;10;3;8;478;26;504
1;204;10;4;10;504;23;527
1;205;10;5;1;527;55;582
1;206;10;6;19;582;14;596
1;207;10;7;17;596;77;673
1;208;10;8;0;673;77;750
1;209;10;9;13;750;82;832
1;210;10;10;2;832;34;866
1;211;10;11;4;866;1;867
1;212;10;12;5;872;64;936
1;213;10;13;12;1030;90;1120
1;214;10;14;9;1152;37;1189
1;215;10;15;15;1295;47;1342
1;216;10;16;7;1342;27;1369
1;217;10;17;18;1369;54;1423
1;218;10;18;11;1447;3;1450
1;219;10;19;14;1450;94;1544
1;220;11;0;4;0;25;25
1;221;11;1;7;33;33;66
1;222;11;2;16;66;12;78
1;223;11;3;10;78;27;105
1;224;11;4;9;105;32;137
1;225;11;5;0;149;49;198
1;226;11;6;18;274;35;309
1;227;11;7;1;309;5;314
1;228;11;8;19;344;73;417
1;229;11;9;8;417;3;420
1;230;11;10;14;420;28;448
1;231;11;11;2;448;54;502
1;232;11;12;13;607;45;652
1;233;11;13;11;673;32;705
1;234;11;14;6;705;53;758
1;235;11;15;5;773;99;872
1;236;11;16;12;911;85;996
1;237;11;17;15;1029;86;1115
1;238;11;18;3;1115;13;1128
1;239;11;19;17;1225;99;1324
1;240;12;0;12;0;64;64
1;241;12;1;13;64;77;141
1;242;12;2;2;141;82;223
1;243;12;3;18;309;32;341
1;244;12;4;9;341;75;416
1;245;12;5;8;420;32;452
1;246;12;6;0;452;68;520
1;247;12;7;10;527;16;543
1;248;12;8;7;660;63;723
1;249;12;9;3;736;81;817
1;250;12;10;15;817;31;848
1;251;12;11;17;848;58;906
1;252;12;12;6;952;73;1025
1;253;12;13;16;1027;12;1039
1;254;12;14;14;1039;25;1064
1;255;12;15;5;1089;64;1153
1;256;12;16;4;1234;98;1332
1;257;12;17;11;1375;72;1447
1;258;12;18;1;1447;47;1494
1;259;12;19;19;1494;84;1578
1;260;13;0;17;0;17;17
1;261;13;1;18;17;98;115
1;262;13;2;5;150;99;249
1;263;13;3;8;266;39;305
1;264;13;4;2;319;73;392
1;265;13;5;4;392;82;474
1;266;13;6;9;474;1;475
1;267;13;7;15;552;43;595
1;268;13;8;7;612;48;660
1;269;13;9;10;712;62;774
1;270;13;10;3;817;44;861
1;271;13;11;12;861;50;911
1;272;13;12;13;911;44;955
1;273;13;13;16;955;72;1027
1;274;13;14;14;1064;89;1153
1;275;13;15;1;1186;45;1231
1;276;13;16;0;1231;44;1275
1;277;13;17;6;1275;21;1296
1;278;13;18;11;1296;79;1375
1;279;13;19;19;1394;60;1454
1;280;14;0;12;64;87;151
1;281;14;1;7;151;63;214
1;282;14;2;10;214;8;222
1;283;14;3;2;223;20;243
1;284;14;4;18;366;88;454
1;285;14;5;4;567;88;655
1;286;14;6;19;655;77;732
1;287;14;7;14;732;88;820
1;288;14;8;13;832;46;878
1;289;14;9;3;878;30;908
1;290;14;10;6;908;44;952
1;291;14;11;1;957;42;999
1;292;14;12;5;1005;84;1089
1;293;14;13;16;1131;41;1172
1;294;14;14;15;1221;74;1295
1;295;14;15;8;1295;52;1347
1;296;14;16;9;1347;25;1372
1;297;14;17;0;1372;87;1459
1;298;14;18;11;1459;43;1502
1;299;14;19;17;1502;77;1579
1;300;15;0;0;0;39;39
1;301;15;1;3;166;93;259
1;302;15;2;15;259;44;303
1;303;15;3;1;314;23;337
1;304;15;4;16;337;75;412
1;305;15;5;13;415;7;422
1;306;15;6;14;448;60;508
1;307;15;7;7;508;45;553
1;308;15;8;18;555;71;626
1;309;15;9;10;663;49;712
1;310;15;10;5;770;3;773
1;311;15;11;11;773;68;841
1;312;15;12;6;841;56;897
1;313;15;13;19;897;20;917
1;314;15;14;2;1022;35;1057
1;315;15;15;17;1057;8;1065
1;316;15;16;8;1100;79;1179
1;317;15;17;9;1189;21;1210
1;318;15;18;12;1298;48;1346
1;319;15;19;4;1383;43;1426
1;320;16;0;3;259;75;334
1;321;16;1;15;334;92;426
1;322;16;2;1;436;83;519
1;323;16;3;4;519;48;567
1;324;16;4;2;567;7;574
1;325;16;5;11;574;99;673
1;326;16;6;13;673;43;716
1;327;16;7;17;716;94;810
1;328;16;8;18;818;6;824
1;329;16;9;14;824;34;858
1;330;16;10;16;858;48;906
1;331;16;11;0;930;60;990
1;332;16;12;6;1036;33;1069
1;333;16;13;8;1084;16;1100
1;334;16;14;12;1120;34;1154
1;335;16;15;5;1154;99;1253
1;336;16;16;9;1262;83;1345
1;337;16;17;19;1383;11;1394
1;338;16;18;7;1394;80;1474
1;339;16;19;10;1474;43;1517
1;340;17;0;2;0;97;97
1;341;17;1;17;168;80;248
1;342;17;2;10;248;2;250
1;343;17;3;1;250;37;287
1;344;17;4;19;313;31;344
1;345;17;5;12;344;37;381
1;346;17;6;6;409;58;467
1;347;17;7;8;467;11;478
1;348;17;8;15;478;24;502
1;349;17;9;14;508;84;592
1;350;17;10;5;592;10;602
1;351;17;11;9;602;30;632
1;352;17;12;3;632;97;729
1;353;17;13;18;729;89;818
1;354;17;14;11;841;47;888
1;355;17;15;13;1018;37;1055
1;356;17;16;0;1055;73;1128
1;357;17;17;4;1128;11;1139
1;358;17;18;16;1172;90;1262
1;359;17;19;7;1262;54;1316
1;360;18;0;11;38;1;39
1;361;18;1;3;69;97;166
1;362;18;2;19;166;68;234
1;363;18;3;1;234;8;242
1;364;18;4;15;242;7;249
1;365;18;5;14;249;72;321
1;366;18;6;8;321;38;359
1;367;18;7;6;359;50;409
1;368;18;8;4;474;42;516
1;369;18;9;16;516;32;548
1;370;18;10;0;548;54;602
1;371;18;11;5;602;94;696
1;372;18;12;13;716;31;747
1;373;18;13;10;797;52;849
1;374;18;14;17;967;76;1043
1;375;18;15;2;1057;20;1077
1;376;18;16;18;1077;29;1106
1;377;18;17;12;1154;56;1210
1;378;18;18;7;1210;36;1246
1;379;18;19;9;1246;16;1262
1;380;19;0;2;97;29;126
1;381;19;1;17;137;31;168
1;382;19;2;9;168;49;217
1;383;19;3;10;250;91;341
1;384;19;4;3;341;7;348
1;385;19;5;5;348;37;385
1;386;19;6;1;676;86;762
1;387;19;7;0;827;75;902
1;388;19;8;16;906;21;927
1;389;19;9;14;936;46;982
1;390;19;10;15;982;47;1029
1;391;19;11;12;1029;1;1030
1;392;19;12;11;1030;16;1046
1;393;19;13;8;1055;29;1084
1;394;19;14;18;1106;47;1153
1;395;19;15;4;1153;81;1234
1;396;19;16;13;1234;52;1286
1;397;19;17;19;1300;44;1344
1;398;19;18;6;1394;95;1489
1;399;19;19;7;1489;79;1568
2;0;0;0;7;0;33;33
2;1;0;1;4;33;8;41
2;2;0;2;0;198;81;279
2;3;0;3;10;341;68;409
2;4;0;4;17;409;28;437
2;5;0;5;18;492;91;583
2;6;0;6;16;662;91;753
2;7;0;7;15;787;74;861
2;8;0;8;3;861;7;868
2;9;0;9;11;874;7;881
2;10;0;10;5;900;19;919
2;11;0;11;6;1047;50;1097
2;12;0;12;9;1097;65;1162
2;13;0;13;19;1162;53;1215
2;14;0;14;12;1215;9;1224
2;15;0;15;8;1257;90;1347
2;16;0;16;14;1347;69;1416
2;17;0;17;13;1416;50;1466
2;18;0;18;2;1466;58;1524
2;19;0;19;1;1524;13;1537
2;20;1;0;3;0;69;69
2;21;1;1;19;69;10;79
2;22;1;2;17;79;58;137
2;23;1;3;14;137;10;147
2;24;1;4;11;147;91;238
2;25;1;5;1;242;5;247
2;26;1;6;2;247;37;284
2;27;1;7;7;294;9;303
2;28;1;8;16;303;93;396
2;29;1;9;13;396;94;490
2;30;1;10;9;490;46;536
2;31;1;11;5;536;55;591
2;32;1;12;8;591;99;690
2;33;1;13;0;868;28;896
2;34;1;14;18;953;95;1048
2;35;1;15;10;1105;94;1199
2;36;1;16;6;1199;4;1203
2;37;1;17;4;1340;51;1391
2;38;1;18;15;1391;59;1450
2;39;1;19;12;1470;10;1480
2;40;2;0;15;0;79;79
2;41;2;1;0;79;70;149
2;42;2;2;4;149;35;184
2;43;2;3;8;184;82;266
2;44;2;4;2;284;35;319
2;45;2;5;14;321;84;405
2;46;2;6;18;423;34;457
2;47;2;7;12;457;87;544
2;48;2;8;7;544;91;635
2;49;2;9;5;635;69;704
2;50;2;10;6;713;12;725
2;51;2;11;16;753;31;784
2;52;2;12;17;899;94;993
2;53;2;13;11;999;65;1064
2;54;2;14;10;1092;13;1105
2;55;2;15;13;1105;16;1121
2;56;2;16;19;1121;39;1160
2;57;2;17;9;1220;46;1266
2;58;2;18;1;1266;4;1270
2;59;2;19;3;1270;74;1344
2;60;3;0;17;28;50;78
2;61;3;1;7;78;40;118
2;62;3;2;12;151;81;232
2;63;3;3;9;232;47;279
2;64;3;4;0;462;96;558
2;65;3;5;13;558;67;625
2;66;3;6;1;701;94;795
2;67;3;7;14;802;53;855
2;68;3;8;2;855;22;877
2;69;3;9;16;889;17;906
2;70;3;10;10;906;23;929
2;71;3;11;18;929;24;953
2;72;3;12;8;953;66;1019
2;73;3;13;4;1028;15;1043
2;74;3;14;6;1117;56;1173
2;75;3;15;15;1205;84;1289
2;76;3;16;19;1289;79;1368
2;77;3;17;5;1392;25;1417
2;78;3;18;3;1417;13;1430
2;79;3;19;11;1482;72;1554
2;80;4;0;19;0;7;7
2;81;4;1;6;7;81;88
2;82;4;2;5;88;62;150
2;83;4;3;15;150;50;200
2;84;4;4;13;225;91;316
2;85;4;5;4;316;77;393
2;86;4;6;2;393;32;425
2;87;4;7;18;457;10;467
2;88;4;8;3;467;78;545
2;89;4;9;16;545;78;623
2;90;4;10;11;694;21;715
2;91;4;11;14;724;78;802
2;92;4;12;1;802;21;823
2;93;4;13;17;831;10;841
2;94;4;14;8;841;88;929
2;95;4;15;9;929;23;952
2;96;4;16;7;966;92;1058
2;97;4;17;10;1058;34;1092
2;98;4;18;12;1107;88;1195
2;99;4;19;0;1270;48;1318
2;100;5;0;14;0;66;66
2;101;5;1;0;279;71;350
2;102;5;2;5;385;55;440
2;103;5;3;18;467;25;492
2;104;5;4;11;498;43;541
2;105;5;5;2;541;24;565
2;106;5;6;12;596;87;683
2;107;5;7;7;683;59;742
2;108;5;8;6;742;90;832
2;109;5;9;13;875;63;938
2;110;5;10;4;938;90;1028
2;111;5;11;19;1028;22;1050
2;112;5;12;15;1125;6;1131
2;113;5;13;1;1131;50;1181
2;114;5;14;3;1181;9;1190
2;115;5;15;10;1199;18;1217
