run;task;job;operation;machine;start;duration;completion
1;0;0;0;10;98;84;182
1;1;0;1;9;205;45;250
1;2;0;2;16;250;53;303
1;3;0;3;18;339;48;387
1;4;0;4;17;387;9;396
1;5;0;5;5;396;9;405
1;6;0;6;14;405;39;444
1;7;0;7;2;520;79;599
1;8;0;8;13;689;83;772
1;9;0;9;19;772;50;822
1;10;0;10;12;840;24;864
1;11;0;11;3;864;49;913
1;12;0;12;8;925;81;1006
1;13;0;13;4;1006;5;1011
1;14;0;14;1;1011;70;1081
1;15;0;15;15;1081;89;1170
1;16;0;16;0;1264;91;1355
1;17;0;17;6;1479;25;1504
1;18;0;18;11;1525;80;1605
1;19;0;19;7;1605;36;1641
1;20;1;0;4;120;75;195
1;21;1;1;19;195;48;243
1;22;1;2;5;243;6;249
1;23;1;3;6;249;32;281
1;24;1;4;2;281;68;349
1;25;1;5;7;349;23;372
1;26;1;6;16;453;44;497
1;27;1;7;12;497;21;518
1;28;1;8;9;540;42;582
1;29;1;9;11;609;13;622
1;30;1;10;8;639;74;713
1;31;1;11;13;884;31;915
1;32;1;12;14;915;62;977
1;33;1;13;3;991;91;1082
1;34;1;14;1;1082;65;1147
1;35;1;15;15;1170;66;1236
1;36;1;16;18;1236;26;1262
1;37;1;17;17;1262;96;1358
1;38;1;18;0;1436;97;1533
1;39;1;19;10;1533;51;1584
1;40;2;0;10;0;49;49
1;41;2;1;3;49;26;75
1;42;2;2;14;91;35;126
1;43;2;3;0;126;64;190
1;44;2;4;16;193;55;248
1;45;2;5;1;248;78;326
1;46;2;6;2;349;72;421
1;47;2;7;5;423;83;506
1;48;2;8;7;506;59;565
1;49;2;9;15;599;16;615
1;50;2;10;17;615;92;707
1;51;2;11;13;772;68;840
1;52;2;12;19;840;64;904
1;53;2;13;4;904;4;908
1;54;2;14;11;910;76;986
1;55;2;15;12;1052;82;1134
1;56;2;16;9;1191;70;1261
1;57;2;17;18;1262;75;1337
1;58;2;18;8;1337;65;1402
1;59;2;19;6;1539;31;1570
1;60;3;0;1;0;55;55
1;61;3;1;8;144;58;202
1;62;3;2;17;202;37;239
1;63;3;3;11;239;32;271
1;64;3;4;0;271;31;302
1;65;3;5;10;302;65;367
1;66;3;6;12;367;65;432
1;67;3;7;5;506;85;591
1;68;3;8;13;639;50;689
1;69;3;9;4;689;94;783
1;70;3;10;6;783;37;820
1;71;3;11;3;820;20;840
1;72;3;12;15;840;94;934
1;73;3;13;7;934;20;954
1;74;3;14;16;965;31;996
1;75;3;15;14;1031;30;1061
1;76;3;16;9;1261;49;1310
1;77;3;17;2;1310;8;1318
1;78;3;18;19;1364;22;1386
1;79;3;19;18;1469;47;1516
1;80;4;0;13;0;81;81
1;81;4;1;16;125;68;193
1;82;4;2;18;193;2;195
1;83;4;3;10;367;69;436
1;84;4;4;15;511;38;549
1;85;4;5;4;549;7;556
1;86;4;6;14;556;81;637
1;87;4;7;5;774;79;853
1;88;4;8;19;904;76;980
1;89;4;9;2;980;94;1074
1;90;4;10;17;1078;65;1143
1;91;4;11;0;1143;11;1154
1;92;4;12;6;1154;98;1252
1;93;4;13;7;1252;38;1290
1;94;4;14;3;1290;95;1385
1;95;4;15;1;1385;93;1478
1;96;4;16;9;1478;9;1487
1;97;4;17;12;1487;21;1508
1;98;4;18;11;1508;17;1525
1;99;4;19;8;1525;79;1604
1;100;5;0;5;0;64;64
1;101;5;1;7;64;7;71
1;102;5;2;15;71;94;165
1;103;5;3;19;165;29;194
1;104;5;4;17;239;77;316
1;105;5;5;4;457;75;532
1;106;5;6;12;532;50;582
1;107;5;7;2;599;78;677
1;108;5;8;3;759;57;816
1;109;5;9;18;830;29;859
1;110;5;10;8;859;66;925
1;111;5;11;13;925;93;1018
