run;task;job;operation;machine;start;duration;completion
1;0;0;0;10;209;84;293
1;1;0;1;9;293;45;338
1;2;0;2;16;362;53;415
1;3;0;3;18;415;48;463
1;4;0;4;17;463;9;472
1;5;0;5;5;472;9;481
1;6;0;6;14;481;39;520
1;7;0;7;2;543;79;622
1;8;0;8;13;862;83;945
1;9;0;9;19;945;50;995
1;10;0;10;12;1038;24;1062
1;11;0;11;3;1080;49;1129
1;12;0;12;8;1129;81;1210
1;13;0;13;4;1210;5;1215
1;14;0;14;1;1215;70;1285
1;15;0;15;15;1285;89;1374
1;16;0;16;0;1390;91;1481
1;17;0;17;6;1481;25;1506
1;18;0;18;11;1518;80;1598
1;19;0;19;7;1598;36;1634
1;20;1;0;4;120;75;195
1;21;1;1;19;195;48;243
1;22;1;2;5;253;6;259
1;23;1;3;6;259;32;291
1;24;1;4;2;379;68;447
1;25;1;5;7;486;23;509
1;26;1;6;16;509;44;553
1;27;1;7;12;559;21;580
1;28;1;8;9;580;42;622
1;29;1;9;11;622;13;635
1;30;1;10;8;635;74;709
1;31;1;11;13;719;31;750
1;32;1;12;14;772;62;834
1;33;1;13;3;834;91;925
1;34;1;14;1;993;65;1058
1;35;1;15;15;1058;66;1124
1;36;1;16;18;1124;26;1150
1;37;1;17;17;1157;96;1253
1;38;1;18;0;1293;97;1390
1;39;1;19;10;1390;51;1441
1;40;2;0;10;0;49;49
1;41;2;1;3;49;26;75
1;42;2;2;14;75;35;110
1;43;2;3;0;110;64;174
1;44;2;4;16;174;55;229
1;45;2;5;1;229;78;307
1;46;2;6;2;307;72;379
1;47;2;7;5;379;83;462
1;48;2;8;7;518;59;577
1;49;2;9;15;591;16;607
1;50;2;10;17;643;92;735
1;51;2;11;13;750;68;818
1;52;2;12;19;838;64;902
1;53;2;13;4;902;4;906
1;54;2;14;11;936;76;1012
1;55;2;15;12;1062;82;1144
1;56;2;16;9;1192;70;1262
1;57;2;17;18;1262;75;1337
1;58;2;18;8;1337;65;1402
1;59;2;19;6;1558;31;1589
1;60;3;0;1;0;55;55
1;61;3;1;8;144;58;202
1;62;3;2;17;202;37;239
1;63;3;3;11;239;32;271
1;64;3;4;0;271;31;302
1;65;3;5;10;302;65;367
1;66;3;6;12;367;65;432
1;67;3;7;5;481;85;566
1;68;3;8;13;578;50;628
1;69;3;9;4;628;94;722
1;70;3;10;6;722;37;759
1;71;3;11;3;802;20;822
1;72;3;12;15;822;94;916
1;73;3;13;7;916;20;936
1;74;3;14;16;936;31;967
1;75;3;15;14;967;30;997
1;76;3;16;9;1262;49;1311
1;77;3;17;2;1311;8;1319
1;78;3;18;19;1350;22;1372
1;79;3;19;18;1430;47;1477
1;80;4;0;13;0;81;81
1;81;4;1;16;229;68;297
1;82;4;2;18;297;2;299
1;83;4;3;10;367;69;436
1;84;4;4;15;444;38;482
1;85;4;5;4;482;7;489
1;86;4;6;14;520;81;601
1;87;4;7;5;658;79;737
1;88;4;8;19;762;76;838
1;89;4;9;2;922;94;1016
1;90;4;10;17;1048;65;1113
1;91;4;11;0;1113;11;1124
1;92;4;12;6;1124;98;1222
1;93;4;13;7;1222;38;1260
1;94;4;14;3;1260;95;1355
1;95;4;15;1;1372;93;1465
1;96;4;16;9;1471;9;1480
