run;task;job;operation;machine;start;duration;completion
1;0;0;0;18;80;84;164
1;1;0;1;15;234;9;243
1;2;0;2;6;243;34;277
1;3;0;3;8;277;62;339
1;4;0;4;14;423;11;434
1;5;0;5;12;464;60;524
1;6;0;6;19;549;43;592
1;7;0;7;11;592;52;644
1;8;0;8;7;718;77;795
1;9;0;9;4;809;37;846
1;10;0;10;9;846;15;861
1;11;0;11;16;861;43;904
1;12;0;12;10;907;8;915
1;13;0;13;13;915;5;920
1;14;0;14;3;920;36;956
1;15;0;15;5;956;56;1012
1;16;0;16;2;1012;46;1058
1;17;0;17;0;1058;51;1109
1;18;0;18;1;1148;86;1234
1;19;0;19;17;1357;86;1443
1;20;1;0;18;19;61;80
1;21;1;1;13;115;56;171
1;22;1;2;8;189;60;249
1;23;1;3;3;249;78;327
1;24;1;4;1;375;73;448
1;25;1;5;19;452;12;464
1;26;1;6;14;464;8;472
1;27;1;7;16;472;16;488
1;28;1;8;0;488;12;500
1;29;1;9;2;500;63;563
1;30;1;10;9;563;31;594
1;31;1;11;10;594;62;656
1;32;1;12;11;656;97;753
1;33;1;13;4;846;53;899
1;34;1;14;5;903;1;904
1;35;1;15;12;904;3;907
1;36;1;16;6;949;99;1048
1;37;1;17;7;1048;65;1113
1;38;1;18;15;1216;63;1279
1;39;1;19;17;1280;32;1312
1;40;2;0;10;20;86;106
1;41;2;1;7;106;53;159
1;42;2;2;4;159;59;218
1;43;2;3;17;286;12;298
1;44;2;4;14;322;34;356
1;45;2;5;0;356;27;383
1;46;2;6;8;383;2;385
1;47;2;7;1;628;86;714
1;48;2;8;16;725;85;810
1;49;2;9;5;810;21;831
1;50;2;10;3;831;58;889
1;51;2;11;13;992;70;1062
1;52;2;12;2;1062;55;1117
1;53;2;13;15;1117;77;1194
1;54;2;14;6;1261;15;1276
1;55;2;15;18;1276;20;1296
1;56;2;16;19;1296;32;1328
1;57;2;17;12;1328;42;1370
1;58;2;18;11;1389;17;1406
1;59;2;19;9;1521;38;1559
1;60;3;0;2;0;3;3
1;61;3;1;19;199;13;212
1;62;3;2;5;212;67;279
1;63;3;3;16;279;13;292
1;64;3;4;11;383;63;446
1;65;3;5;15;446;88;534
1;66;3;6;13;534;68;602
1;67;3;7;4;628;21;649
1;68;3;8;0;670;21;691
1;69;3;9;8;700;86;786
1;70;3;10;17;786;7;793
1;71;3;11;6;797;91;888
1;72;3;12;18;890;8;898
1;73;3;13;10;1020;56;1076
1;74;3;14;9;1076;92;1168
1;75;3;15;3;1205;58;1263
1;76;3;16;1;1265;94;1359
1;77;3;17;7;1359;54;1413
1;78;3;18;12;1413;57;1470
1;79;3;19;14;1483;87;1570
1;80;4;0;12;25;29;54
1;81;4;1;15;160;74;234
1;82;4;2;2;234;89;323
1;83;4;3;3;327;18;345
1;84;4;4;11;345;38;383
1;85;4;5;7;409;75;484
1;86;4;6;10;484;18;502
1;87;4;7;17;502;15;517
1;88;4;8;9;594;95;689
1;89;4;9;16;689;11;700
1;90;4;10;0;700;24;724
1;91;4;11;13;724;4;728
1;92;4;12;4;948;12;960
1;93;4;13;14;1097;17;1114
1;94;4;14;1;1114;34;1148
1;95;4;15;19;1148;35;1183
1;96;4;16;8;1183;62;1245
1;97;4;17;6;1276;90;1366
1;98;4;18;5;1366;48;1414
1;99;4;19;18;1486;21;1507
1;100;5;0;6;0;11;11
1;101;5;1;12;11;14;25
1;102;5;2;13;25;90;115
1;103;5;3;8;115;74;189
1;104;5;4;14;189;67;256
1;105;5;5;0;258;91;349
1;106;5;6;5;349;70;419
1;107;5;7;11;528;8;536
1;108;5;8;7;610;7;617
1;109;5;9;2;651;49;700
1;110;5;10;19;700;13;713
1;111;5;11;3;713;78;791
1;112;5;12;1;791;75;866
1;113;5;13;18;1052;80;1132
1;114;5;14;4;1132;31;1163
1;115;5;15;15;1194;22;1216
1;116;5;16;10;1242;99;1341
1;117;5;17;16;1342;66;1408
1;118;5;18;9;1417;80;1497
1;119;5;19;17;1562;66;1628
1;120;6;0;11;0;97;97
1;121;6;1;15;97;63;160
1;122;6;2;17;160;11;171
1;123;6;3;7;171;71;242
1;124;6;4;18;254;1;255
1;125;6;5;9;255;63;318
1;126;6;6;12;394;70;464
1;127;6;7;4;569;33;602
1;128;6;8;16;602;74;676
1;129;6;9;1;714;76;790
1;130;6;10;2;790;86;876
1;131;6;11;10;1076;87;1163
1;132;6;12;8;1163;9;1172
1;133;6;13;5;1226;18;1244
1;134;6;14;0;1244;51;1295
1;135;6;15;3;1358;27;1385
1;136;6;16;14;1385;48;1433
1;137;6;17;6;1433;31;1464
1;138;6;18;13;1464;45;1509
1;139;6;19;19;1509;76;1585
1;140;7;0;18;0;19;19
1;141;7;1;17;19;64;83
1;142;7;2;0;83;94;177
1;143;7;3;7;242;4;246
1;144;7;4;4;291;81;372
1;145;7;5;12;372;5;377
1;146;7;6;1;448;72;520
1;147;7;7;10;520;30;550
1;148;7;8;2;563;2;565
1;149;7;9;15;601;16;617
1;150;7;10;13;634;38;672
1;151;7;11;14;672;93;765
1;152;7;12;19;765;15;780
1;153;7;13;5;789;17;806
1;154;7;14;6;888;61;949
1;155;7;15;3;965;71;1036
1;156;7;16;9;1036;18;1054
1;157;7;17;8;1054;22;1076
1;158;7;18;11;1076;17;1093
1;159;7;19;16;1093;20;1113
1;160;8;0;15;0;61;61
1;161;8;1;11;113;66;179
1;162;8;2;12;179;62;241
1;163;8;3;7;246;70;316
1;164;8;4;1;316;59;375
1;165;8;5;0;500;80;580
1;166;8;6;14;580;82;662
1;167;8;7;9;731;2;733
1;168;8;8;18;733;97;830
1;169;8;9;8;830;76;906
1;170;8;10;13;920;72;992
1;171;8;11;5;1012;90;1102
1;172;8;12;16;1113;74;1187
1;173;8;13;3;1263;95;1358
1;174;8;14;19;1358;41;1399
1;175;8;15;4;1399;9;1408
1;176;8;16;10;1408;46;1454
1;177;8;17;6;1464;20;1484
1;178;8;18;17;1484;78;1562
1;179;8;19;2;1594;32;1626
1;180;9;0;7;45;61;106
1;181;9;1;18;164;90;254
1;182;9;2;4;254;37;291
1;183;9;3;19;293;86;379
1;184;9;4;12;379;15;394
1;185;9;5;9;394;19;413
1;186;9;6;13;413;62;475
1;187;9;7;5;475;82;557
1;188;9;8;2;565;86;651
1;189;9;9;15;651;59;710
1;190;9;10;10;725;92;817
1;191;9;11;14;817;89;906
1;192;9;12;0;906;82;988
1;193;9;13;16;988;48;1036
1;194;9;14;1;1036;13;1049
1;195;9;15;6;1051;29;1080
1;196;9;16;8;1080;28;1108
1;197;9;17;17;1312;45;1357
1;198;9;18;11;1406;84;1490
1;199;9;19;3;1490;62;1552
1;200;10;0;17;0;7;7
1;201;10;1;13;171;86;257
1;202;10;2;18;257;79;336
1;203;10;3;14;356;67;423
1;204;10;4;19;464;85;549
1;205;10;5;1;560;68;628
1;206;10;6;6;628;94;722
1;207;10;7;11;753;61;814
1;208;10;8;12;814;47;861
1;209;10;9;4;899;49;948
1;210;10;10;15;948;50;998
1;211;10;11;0;998;55;1053
1;212;10;12;16;1053;3;1056
1;213;10;13;3;1140;18;1158
1;214;10;14;10;1163;79;1242
1;215;10;15;8;1245;32;1277
1;216;10;16;2;1277;43;1320
1;217;10;17;9;1320;97;1417
1;218;10;18;7;1417;53;1470
1;219;10;19;5;1470;44;1514
1;220;11;0;10;0;20;20
1;221;11;1;14;20;50;70
1;222;11;2;12;70;72;142
1;223;11;3;9;142;90;232
1;224;11;4;2;323;25;348
1;225;11;5;0;383;24;407
1;226;11;6;19;409;43;452
1;227;11;7;5;452;4;456
1;228;11;8;4;602;26;628
1;229;11;9;13;728;62;790
1;230;11;10;7;795;42;837
1;231;11;11;11;874;77;951
1;232;11;12;3;956;9;965
1;233;11;13;15;1031;61;1092
1;234;11;14;18;1132;19;1151
1;235;11;15;16;1187;69;1256
1;236;11;16;1;1256;9;1265
1;237;11;17;6;1366;60;1426
1;238;11;18;17;1443;5;1448
1;239;11;19;8;1448;54;1502
1;240;12;0;7;0;45;45
1;241;12;1;19;52;73;125
1;242;12;2;1;125;50;175
1;243;12;3;10;175;58;233
1;244;12;4;11;240;94;334
1;245;12;5;14;472;90;562
1;246;12;6;8;562;97;659
1;247;12;7;9;689;42;731
1;248;12;8;4;773;36;809
1;249;12;9;5;831;72;903
1;250;12;10;12;907;84;991
1;251;12;11;15;998;33;1031
1;252;12;12;17;1031;44;1075
1;253;12;13;13;1075;59;1134
1;254;12;14;3;1158;47;1205
1;255;12;15;6;1221;40;1261
1;256;12;16;2;1320;81;1401
1;257;12;17;18;1401;85;1486
1;258;12;18;0;1486;26;1512
1;259;12;19;16;1512;28;1540
1;260;13;0;17;83;67;150
1;261;13;1;11;194;46;240
1;262;13;2;13;257;9;266
1;263;13;3;1;270;40;310
1;264;13;4;2;371;81;452
1;265;13;5;4;472;97;569
1;266;13;6;7;603;7;610
1;267;13;7;0;610;2;612
1;268;13;8;10;656;69;725
1;269;13;9;8;786;9;795
1;270;13;10;3;795;17;812
1;271;13;11;19;812;81;893
1;272;13;12;14;1016;81;1097
1;273;13;13;6;1175;46;1221
1;274;13;14;9;1221;26;1247
1;275;13;15;5;1247;30;1277
1;276;13;16;18;1296;88;1384
1;277;13;17;16;1408;73;1481
1;278;13;18;12;1481;44;1525
1;279;13;19;15;1525;99;1624
1;280;14;0;11;97;16;113
1;281;14;1;3;113;62;175
1;282;14;2;5;175;3;178
1;283;14;3;19;379;30;409
1;284;14;4;10;409;16;425
1;285;14;5;1;520;40;560
1;286;14;6;17;560;62;622
1;287;14;7;7;622;96;718
1;288;14;8;6;722;75;797
1;289;14;9;13;797;69;866
1;290;14;10;2;876;86;962
1;291;14;11;18;962;90;1052
1;292;14;12;0;1109;93;1202
1;293;14;13;15;1279;15;1294
1;294;14;14;12;1294;30;1324
1;295;14;15;8;1324;46;1370
1;296;14;16;14;1433;50;1483
1;297;14;17;16;1483;29;1512
1;298;14;18;9;1512;9;1521
1;299;14;19;4;1521;97;1618
1;300;15;0;12;0;5;5
1;301;15;1;8;5;73;78
1;302;15;2;16;78;54;132
1;303;15;3;0;177;81;258
1;304;15;4;18;336;26;362
1;305;15;5;13;362;36;398
1;306;15;6;7;542;35;577
1;307;15;7;19;592;56;648
1;308;15;8;4;649;62;711
1;309;15;9;9;733;31;764
1;310;15;10;17;764;2;766
1;311;15;11;5;766;23;789
1;312;15;12;11;814;60;874
1;313;15;13;14;906;12;918
1;314;15;14;10;932;88;1020
1;315;15;15;3;1036;38;1074
1;316;15;16;6;1080;95;1175
1;317;15;17;15;1373;65;1438
1;318;15;18;1;1438;86;1524
1;319;15;19;2;1530;64;1594
1;320;16;0;9;0;3;3
1;321;16;1;5;3;99;102
1;322;16;2;19;212;81;293
1;323;16;3;7;316;93;409
1;324;16;4;11;446;82;528
1;325;16;5;12;528;17;545
1;326;16;6;16;545;1;546
1;327;16;7;14;562;1;563
1;328;16;8;13;602;32;634
1;329;16;9;0;634;36;670
1;330;16;10;8;670;30;700
1;331;16;11;4;711;62;773
1;332;16;12;10;817;90;907
1;333;16;13;18;907;20;927
1;334;16;14;1;927;98;1025
1;335;16;15;6;1048;3;1051
1;336;16;16;3;1074;66;1140
1;337;16;17;17;1205;75;1280
1;338;16;18;15;1294;79;1373
1;339;16;19;2;1463;67;1530
1;340;17;0;19;0;52;52
1;341;17;1;4;52;76;128
1;342;17;2;6;128;79;207
1;343;17;3;1;207;63;270
1;344;17;4;14;270;52;322
1;345;17;5;2;348;23;371
1;346;17;6;0;407;35;442
1;347;17;7;18;442;22;464
1;348;17;8;7;484;58;542
1;349;17;9;10;550;13;563
1;350;17;10;3;563;26;589
1;351;17;11;12;651;68;719
1;352;17;12;15;719;84;803
1;353;17;13;9;803;16;819
1;354;17;14;13;866;28;894
1;355;17;15;5;904;28;932
1;356;17;16;8;932;54;986
1;357;17;17;17;1129;76;1205
1;358;17;18;16;1256;86;1342
1;359;17;19;11;1342;47;1389
1;360;18;0;19;125;74;199
1;361;18;1;3;199;34;233
1;362;18;2;15;243;68;311
1;363;18;3;4;435;37;472
1;364;18;4;7;577;26;603
1;365;18;5;12;603;48;651
1;366;18;6;13;672;29;701
1;367;18;7;16;701;24;725
1;368;18;8;18;830;60;890
1;369;18;9;14;918;98;1016
1;370;18;10;17;1075;54;1129
1;371;18;11;5;1129;97;1226
1;372;18;12;8;1277;19;1296
1;373;18;13;0;1296;99;1395
1;374;18;14;2;1401;62;1463
1;375;18;15;11;1490;46;1536
1;376;18;16;6;1536;25;1561
1;377;18;17;10;1561;53;1614
1;378;18;18;9;1614;11;1625
1;379;18;19;1;1625;4;1629
1;380;19;0;11;179;15;194
1;381;19;1;17;194;92;286
1;382;19;2;13;286;41;327
1;383;19;3;4;372;63;435
1;384;19;4;3;435;87;522
1;385;19;5;15;534;67;601
1;386;19;6;18;601;77;678
1;387;19;7;12;719;89;808
1;388;19;8;0;808;65;873
1;389;19;9;10;915;17;932
1;390;19;10;5;932;24;956
1;391;19;11;19;956;67;1023
1;392;19;12;9;1023;10;1033
1;393;19;13;2;1117;87;1204
1;394;19;14;7;1204;91;1295
1;395;19;15;14;1295;58;1353
1;396;19;16;6;1484;52;1536
1;397;19;17;8;1536;26;1562
1;398;19;18;1;1562;33;1595
1;399;19;19;16;1595;3;1598
2;0;0;0;18;196;84;280
2;1;0;1;15;333;9;342
2;2;0;2;6;342;34;376
2;3;0;3;8;399;62;461
2;4;0;4;14;461;11;472
2;5;0;5;12;475;60;535
2;6;0;6;19;563;43;606
2;7;0;7;11;606;52;658
2;8;0;8;7;723;77;800
2;9;0;9;4;800;37;837
2;10;0;10;9;837;15;852
2;11;0;11;16;852;43;895
2;12;0;12;10;895;8;903
2;13;0;13;13;910;5;915
2;14;0;14;3;915;36;951
2;15;0;15;5;951;56;1007
2;16;0;16;2;1007;46;1053
2;17;0;17;0;1085;51;1136
2;18;0;18;1;1137;86;1223
2;19;0;19;17;1337;86;1423
2;20;1;0;18;0;61;61
2;21;1;1;13;152;56;208
2;22;1;2;8;212;60;272
2;23;1;3;3;272;78;350
2;24;1;4;1;350;73;423
2;25;1;5;19;423;12;435
2;26;1;6;14;440;8;448
2;27;1;7;16;448;16;464
2;28;1;8;0;479;12;491
2;29;1;9;2;491;63;554
2;30;1;10;9;554;31;585
2;31;1;11;10;585;62;647
2;32;1;12;11;658;97;755
2;33;1;13;4;837;53;890
2;34;1;14;5;913;1;914
2;35;1;15;12;993;3;996
2;36;1;16;6;996;99;1095
2;37;1;17;7;1095;65;1160
2;38;1;18;15;1237;63;1300
2;39;1;19;17;1300;32;1332
2;40;2;0;10;0;86;86
2;41;2;1;7;106;53;159
2;42;2;2;4;159;59;218
2;43;2;3;17;269;12;281
2;44;2;4;14;281;34;315
2;45;2;5;0;370;27;397
2;46;2;6;8;397;2;399
2;47;2;7;1;423;86;509
2;48;2;8;16;576;85;661
2;49;2;9;5;661;21;682
2;50;2;10;3;682;58;740
2;51;2;11;13;743;70;813
2;52;2;12;2;813;55;868
2;53;2;13;15;868;77;945
2;54;2;14;6;972;15;987
2;55;2;15;18;1059;20;1079
2;56;2;16;19;1079;32;1111
2;57;2;17;12;1111;42;1153
2;58;2;18;11;1153;17;1170
2;59;2;19;9;1170;38;1208
2;60;3;0;2;0;3;3
2;61;3;1;19;52;13;65
2;62;3;2;5;102;67;169
2;63;3;3;16;169;13;182
2;64;3;4;11;182;63;245
2;65;3;5;15;245;88;333
2;66;3;6;13;335;68;403
2;67;3;7;4;433;21;454
2;68;3;8;0;456;21;477
2;69;3;9;8;477;86;563
2;70;3;10;17;563;7;570
2;71;3;11;6;570;91;661
2;72;3;12;18;680;8;688
2;73;3;13;10;837;56;893
2;74;3;14;9;902;92;994
2;75;3;15;3;1026;58;1084
2;76;3;16;1;1223;94;1317
2;77;3;17;7;1317;54;1371
2;78;3;18;12;1371;57;1428
2;79;3;19;14;1441;87;1528
2;80;4;0;12;0;29;29
2;81;4;1;15;29;74;103
2;82;4;2;2;103;89;192
2;83;4;3;3;221;18;239
2;84;4;4;11;311;38;349
2;85;4;5;7;349;75;424
2;86;4;6;10;424;18;442
2;87;4;7;17;442;15;457
2;88;4;8;9;457;95;552
2;89;4;9;16;565;11;576
2;90;4;10;0;648;24;672
2;91;4;11;13;672;4;676
2;92;4;12;4;676;12;688
2;93;4;13;14;730;17;747
2;94;4;14;1;747;34;781
2;95;4;15;19;781;35;816
2;96;4;16;8;816;62;878
2;97;4;17;6;882;90;972
2;98;4;18;5;1252;48;1300
2;99;4;19;18;1342;21;1363
2;100;5;0;6;0;11;11
2;101;5;1;12;34;14;48
2;102;5;2;13;48;90;138
2;103;5;3;8;138;74;212
2;104;5;4;14;212;67;279
2;105;5;5;0;279;91;370
2;106;5;6;5;370;70;440
2;107;5;7;11;525;8;533
2;108;5;8;7;594;7;601
2;109;5;9;2;650;49;699
2;110;5;10;19;743;13;756
2;111;5;11;3;756;78;834
2;112;5;12;1;879;75;954
2;113;5;13;18;954;80;1034
2;114;5;14;4;1042;31;1073
2;115;5;15;15;1092;22;1114
2;116;5;16;10;1125;99;1224
2;117;5;17;16;1224;66;1290
2;118;5;18;9;1290;80;1370
2;119;5;19;17;1517;66;1583
2;120;6;0;11;0;97;97
2;121;6;1;15;103;63;166
2;122;6;2;17;166;11;177
2;123;6;3;7;177;71;248
2;124;6;4;18;280;1;281
2;125;6;5;9;318;63;381
2;126;6;6;12;388;70;458
2;127;6;7;4;458;33;491
2;128;6;8;16;491;74;565
2;129;6;9;1;636;76;712
2;130;6;10;2;712;86;798
2;131;6;11;10;920;87;1007
2;132;6;12;8;1007;9;1016
2;133;6;13;5;1016;18;1034
2;134;6;14;0;1034;51;1085
2;135;6;15;3;1132;27;1159
2;136;6;16;14;1159;48;1207
2;137;6;17;6;1327;31;1358
2;138;6;18;13;1358;45;1403
2;139;6;19;19;1403;76;1479
2;140;7;0;18;61;19;80
2;141;7;1;17;80;64;144
2;142;7;2;0;672;94;766
2;143;7;3;7;842;4;846
2;144;7;4;4;890;81;971
2;145;7;5;12;996;5;1001
2;146;7;6;1;1001;72;1073
2;147;7;7;10;1095;30;1125
2;148;7;8;2;1140;2;1142
2;149;7;9;15;1142;16;1158
2;150;7;10;13;1158;38;1196
2;151;7;11;14;1207;93;1300
2;152;7;12;19;1300;15;1315
2;153;7;13;5;1315;17;1332
2;154;7;14;6;1358;61;1419
2;155;7;15;3;1419;71;1490
2;156;7;16;9;1490;18;1508
2;157;7;17;8;1517;22;1539
2;158;7;18;11;1539;17;1556
2;159;7;19;16;1556;20;1576
2;160;8;0;15;166;61;227
2;161;8;1;11;245;66;311
2;162;8;2;12;311;62;373
2;163;8;3;7;431;70;501
2;164;8;4;1;509;59;568
2;165;8;5;0;568;80;648
2;166;8;6;14;648;82;730
2;167;8;7;9;754;2;756
2;168;8;8;18;765;97;862
2;169;8;9;8;878;76;954
2;170;8;10;13;954;72;1026
