inst     best    BKS     gap
ta22     1613   1600  +0.81%
ta23     1570   1557  +0.83%
ta25     1617   1595  +1.38%
ta26     1660   1643  +1.03%
ta27     1694   1680  +0.83%
ta29     1628   1625  +0.18%
ta30     1589   1584  +0.32%
ta32     1815   1784  +1.74%
ta33     1841   1791  +2.79%
ta34     1858   1829  +1.59%
ta40     1707   1669  +2.28%
ta41     2059   2005  +2.69%
ta42     1979   1937  +2.17%
ta43     1904   1846  +3.14%
ta44     2022   1979  +2.17%
ta45     2015   2000  +0.75%
ta46     2056   2004  +2.59%
ta47     1940   1889  +2.70%
ta48     2002   1937  +3.36%
ta49     1993   1961  +1.63%
ta50     1983   1923  +3.12%

2250 runs recomputed from their schedules
at or below the best known: 0
