run;task;job;operation;machine;start;duration;completion
5;0;0;0;10;209;84;293
5;1;0;1;9;293;45;338
5;2;0;2;16;362;53;415
5;3;0;3;18;415;48;463
5;4;0;4;17;463;9;472
5;5;0;5;5;472;9;481
5;6;0;6;14;481;39;520
5;7;0;7;2;543;79;622
5;8;0;8;13;658;83;741
5;9;0;9;19;767;50;817
5;10;0;10;12;829;24;853
5;11;0;11;3;853;49;902
5;12;0;12;8;902;81;983
5;13;0;13;4;983;5;988
5;14;0;14;1;994;70;1064
5;15;0;15;15;1064;89;1153
5;16;0;16;0;1321;91;1412
5;17;0;17;6;1470;25;1495
5;18;0;18;11;1509;80;1589
5;19;0;19;7;1589;36;1625
5;20;1;0;4;120;75;195
5;21;1;1;19;195;48;243
5;22;1;2;5;243;6;249
5;23;1;3;6;249;32;281
5;24;1;4;2;379;68;447
5;25;1;5;7;486;23;509
5;26;1;6;16;511;44;555
5;27;1;7;12;582;21;603
5;28;1;8;9;603;42;645
5;29;1;9;11;645;13;658
5;30;1;10;8;658;74;732
5;31;1;11;13;809;31;840
5;32;1;12;14;840;62;902
5;33;1;13;3;902;91;993
5;34;1;14;1;1074;65;1139
5;35;1;15;15;1153;66;1219
5;36;1;16;18;1219;26;1245
5;37;1;17;17;1245;96;1341
5;38;1;18;0;1412;97;1509
5;39;1;19;10;1509;51;1560
5;40;2;0;10;0;49;49
5;41;2;1;3;49;26;75
5;42;2;2;14;75;35;110
5;43;2;3;0;110;64;174
5;44;2;4;16;174;55;229
5;45;2;5;1;229;78;307
5;46;2;6;2;307;72;379
5;47;2;7;5;379;83;462
5;48;2;8;7;518;59;577
5;49;2;9;15;628;16;644
5;50;2;10;17;644;92;736
5;51;2;11;13;741;68;809
5;52;2;12;19;817;64;881
5;53;2;13;4;881;4;885
5;54;2;14;11;885;76;961
5;55;2;15;12;1039;82;1121
5;56;2;16;9;1192;70;1262
5;57;2;17;18;1262;75;1337
5;58;2;18;8;1337;65;1402
5;59;2;19;6;1548;31;1579
5;60;3;0;1;0;55;55
5;61;3;1;8;144;58;202
5;62;3;2;17;202;37;239
5;63;3;3;11;239;32;271
5;64;3;4;0;271;31;302
5;65;3;5;10;302;65;367
5;66;3;6;12;367;65;432
5;67;3;7;5;481;85;566
5;68;3;8;13;575;50;625
5;69;3;9;4;625;94;719
5;70;3;10;6;719;37;756
5;71;3;11;3;805;20;825
5;72;3;12;15;825;94;919
5;73;3;13;7;919;20;939
5;74;3;14;16;979;31;1010
5;75;3;15;14;1424;30;1454
5;76;3;16;9;1471;49;1520
5;77;3;17;2;1520;8;1528
