run;task;job;operation;machine;start;duration;completion
1;0;0;0;18;196;84;280
1;1;0;1;15;333;9;342
1;2;0;2;6;342;34;376
1;3;0;3;8;399;62;461
1;4;0;4;14;461;11;472
1;5;0;5;12;475;60;535
1;6;0;6;19;563;43;606
1;7;0;7;11;606;52;658
1;8;0;8;7;723;77;800
1;9;0;9;4;800;37;837
1;10;0;10;9;837;15;852
1;11;0;11;16;852;43;895
1;12;0;12;10;895;8;903
1;13;0;13;13;907;5;912
1;14;0;14;3;912;36;948
1;15;0;15;5;948;56;1004
1;16;0;16;2;1004;46;1050
1;17;0;17;0;1085;51;1136
1;18;0;18;1;1140;86;1226
1;19;0;19;17;1281;86;1367
1;20;1;0;18;0;61;61
1;21;1;1;13;152;56;208
1;22;1;2;8;212;60;272
1;23;1;3;3;272;78;350
1;24;1;4;1;350;73;423
1;25;1;5;19;423;12;435
1;26;1;6;14;453;8;461
1;27;1;7;16;461;16;477
1;28;1;8;0;479;12;491
1;29;1;9;2;491;63;554
1;30;1;10;9;554;31;585
1;31;1;11;10;585;62;647
1;32;1;12;11;658;97;755
1;33;1;13;4;837;53;890
1;34;1;14;5;890;1;891
1;35;1;15;12;949;3;952
1;36;1;16;6;992;99;1091
1;37;1;17;7;1091;65;1156
1;38;1;18;15;1234;63;1297
1;39;1;19;17;1367;32;1399
1;40;2;0;10;0;86;86
1;41;2;1;7;106;53;159
1;42;2;2;4;159;59;218
1;43;2;3;17;269;12;281
1;44;2;4;14;281;34;315
1;45;2;5;0;370;27;397
1;46;2;6;8;397;2;399
1;47;2;7;1;423;86;509
1;48;2;8;16;576;85;661
1;49;2;9;5;661;21;682
1;50;2;10;3;682;58;740
1;51;2;11;13;740;70;810
1;52;2;12;2;810;55;865
1;53;2;13;15;865;77;942
1;54;2;14;6;977;15;992
1;55;2;15;18;1062;20;1082
1;56;2;16;19;1082;32;1114
1;57;2;17;12;1114;42;1156
1;58;2;18;11;1156;17;1173
1;59;2;19;9;1173;38;1211
1;60;3;0;2;0;3;3
1;61;3;1;19;52;13;65
1;62;3;2;5;102;67;169
1;63;3;3;16;169;13;182
1;64;3;4;11;182;63;245
1;65;3;5;15;245;88;333
1;66;3;6;13;335;68;403
1;67;3;7;4;433;21;454
1;68;3;8;0;458;21;479
1;69;3;9;8;479;86;565
1;70;3;10;17;565;7;572
1;71;3;11;6;572;91;663
1;72;3;12;18;680;8;688
1;73;3;13;10;839;56;895
1;74;3;14;9;910;92;1002
1;75;3;15;3;1023;58;1081
1;76;3;16;1;1226;94;1320
1;77;3;17;7;1320;54;1374
1;78;3;18;12;1407;57;1464
1;79;3;19;14;1464;87;1551
1;80;4;0;12;0;29;29
1;81;4;1;15;29;74;103
1;82;4;2;2;103;89;192
1;83;4;3;3;221;18;239
1;84;4;4;11;311;38;349
1;85;4;5;7;349;75;424
1;86;4;6;10;424;18;442
1;87;4;7;17;442;15;457
1;88;4;8;9;457;95;552
1;89;4;9;16;565;11;576
1;90;4;10;0;648;24;672
1;91;4;11;13;672;4;676
1;92;4;12;4;676;12;688
1;93;4;13;14;730;17;747
1;94;4;14;1;747;34;781
1;95;4;15;19;781;35;816
1;96;4;16;8;816;62;878
1;97;4;17;6;887;90;977
1;98;4;18;5;1252;48;1300
1;99;4;19;18;1300;21;1321
1;100;5;0;6;0;11;11
1;101;5;1;12;34;14;48
1;102;5;2;13;48;90;138
1;103;5;3;8;138;74;212
1;104;5;4;14;212;67;279
1;105;5;5;0;279;91;370
1;106;5;6;5;370;70;440
1;107;5;7;11;525;8;533
1;108;5;8;7;620;7;627
1;109;5;9;2;640;49;689
1;110;5;10;19;757;13;770
1;111;5;11;3;770;78;848
1;112;5;12;1;879;75;954
1;113;5;13;18;954;80;1034
1;114;5;14;4;1034;31;1065
