run;task;job;operation;machine;start;duration;completion
5;0;0;0;18;196;84;280
5;1;0;1;15;333;9;342
5;2;0;2;6;342;34;376
5;3;0;3;8;399;62;461
5;4;0;4;14;479;11;490
5;5;0;5;12;490;60;550
5;6;0;6;19;563;43;606
5;7;0;7;11;606;52;658
5;8;0;8;7;723;77;800
5;9;0;9;4;800;37;837
5;10;0;10;9;837;15;852
5;11;0;11;16;852;43;895
5;12;0;12;10;895;8;903
5;13;0;13;13;907;5;912
5;14;0;14;3;912;36;948
5;15;0;15;5;948;56;1004
5;16;0;16;2;1004;46;1050
5;17;0;17;0;1085;51;1136
5;18;0;18;1;1137;86;1223
5;19;0;19;17;1273;86;1359
5;20;1;0;18;0;61;61
5;21;1;1;13;152;56;208
5;22;1;2;8;212;60;272
5;23;1;3;3;272;78;350
5;24;1;4;1;350;73;423
5;25;1;5;19;423;12;435
5;26;1;6;14;453;8;461
5;27;1;7;16;461;16;477
5;28;1;8;0;479;12;491
5;29;1;9;2;491;63;554
5;30;1;10;9;554;31;585
5;31;1;11;10;585;62;647
5;32;1;12;11;658;97;755
5;33;1;13;4;837;53;890
5;34;1;14;5;890;1;891
5;35;1;15;12;993;3;996
5;36;1;16;6;996;99;1095
5;37;1;17;7;1095;65;1160
5;38;1;18;15;1234;63;1297
5;39;1;19;17;1359;32;1391
5;40;2;0;10;0;86;86
5;41;2;1;7;106;53;159
5;42;2;2;4;159;59;218
5;43;2;3;17;269;12;281
5;44;2;4;14;281;34;315
5;45;2;5;0;370;27;397
5;46;2;6;8;397;2;399
5;47;2;7;1;423;86;509
5;48;2;8;16;576;85;661
5;49;2;9;5;661;21;682
5;50;2;10;3;682;58;740
5;51;2;11;13;740;70;810
5;52;2;12;2;810;55;865
5;53;2;13;15;865;77;942
5;54;2;14;6;977;15;992
5;55;2;15;18;1059;20;1079
5;56;2;16;19;1079;32;1111
5;57;2;17;12;1111;42;1153
5;58;2;18;11;1153;17;1170
5;59;2;19;9;1170;38;1208
5;60;3;0;2;0;3;3
5;61;3;1;19;52;13;65
5;62;3;2;5;102;67;169
5;63;3;3;16;169;13;182
5;64;3;4;11;182;63;245
5;65;3;5;15;245;88;333
5;66;3;6;13;335;68;403
5;67;3;7;4;433;21;454
5;68;3;8;0;456;21;477
5;69;3;9;8;477;86;563
5;70;3;10;17;563;7;570
5;71;3;11;6;570;91;661
5;72;3;12;18;680;8;688
5;73;3;13;10;837;56;893
5;74;3;14;9;910;92;1002
5;75;3;15;3;1023;58;1081
5;76;3;16;1;1223;94;1317
5;77;3;17;7;1317;54;1371
5;78;3;18;12;1371;57;1428
5;79;3;19;14;1438;87;1525
5;80;4;0;12;0;29;29
5;81;4;1;15;29;74;103
5;82;4;2;2;103;89;192
5;83;4;3;3;221;18;239
5;84;4;4;11;311;38;349
5;85;4;5;7;349;75;424
5;86;4;6;10;424;18;442
5;87;4;7;17;442;15;457
5;88;4;8;9;457;95;552
5;89;4;9;16;565;11;576
5;90;4;10;0;648;24;672
5;91;4;11;13;672;4;676
5;92;4;12;4;676;12;688
5;93;4;13;14;730;17;747
5;94;4;14;1;747;34;781
5;95;4;15;19;781;35;816
5;96;4;16;8;816;62;878
5;97;4;17;6;887;90;977
5;98;4;18;5;1251;48;1299
5;99;4;19;18;1342;21;1363
5;100;5;0;6;0;11;11
5;101;5;1;12;34;14;48
5;102;5;2;13;48;90;138
5;103;5;3;8;138;74;212
5;104;5;4;14;212;67;279
5;105;5;5;0;279;91;370
5;106;5;6;5;370;70;440
5;107;5;7;11;525;8;533
5;108;5;8;7;620;7;627
5;109;5;9;2;640;49;689
5;110;5;10;19;757;13;770
5;111;5;11;3;770;78;848
5;112;5;12;1;879;75;954
5;113;5;13;18;954;80;1034
5;114;5;14;4;1042;31;1073
5;115;5;15;15;1092;22;1114
5;116;5;16;10;1125;99;1224
5;117;5;17;16;1224;66;1290
5;118;5;18;9;1290;80;1370
5;119;5;19;17;1517;66;1583
5;120;6;0;11;0;97;97
5;121;6;1;15;103;63;166
5;122;6;2;17;166;11;177
5;123;6;3;7;177;71;248
5;124;6;4;18;280;1;281
5;125;6;5;9;318;63;381
5;126;6;6;12;388;70;458
5;127;6;7;4;458;33;491
5;128;6;8;16;491;74;565
5;129;6;9;1;636;76;712
5;130;6;10;2;712;86;798
5;131;6;11;10;920;87;1007
5;132;6;12;8;1007;9;1016
5;133;6;13;5;1016;18;1034
5;134;6;14;0;1034;51;1085
5;135;6;15;3;1132;27;1159
5;136;6;16;14;1159;48;1207
5;137;6;17;6;1327;31;1358
5;138;6;18;13;1358;45;1403
5;139;6;19;19;1403;76;1479
5;140;7;0;18;61;19;80
5;141;7;1;17;80;64;144
5;142;7;2;0;672;94;766
5;143;7;3;7;842;4;846
5;144;7;4;4;890;81;971
5;145;7;5;12;996;5;1001
5;146;7;6;1;1001;72;1073
5;147;7;7;10;1095;30;1125
