ta30  results/I-024_c01/ta30_20260924062145_Certificate.csv      run 5: 1624 -> 1620 in 1 moves, 0.4 s
ta29  results/I-024_c02/ta29_20260924062145_Certificate.csv      run 4: 1647 -> 1646 in 1 moves, 0.2 s
ta29  results/I-024_c03/ta29_20260924062145_Certificate.csv      run 4: 1634 -> 1631 in 1 moves, 0.4 s
ta30  results/I-024_c12/ta30_20260924062616_Certificate.csv      run 1: 1614 -> 1611 in 1 moves, 0.2 s
ta30  results/I-024_c14/ta30_20260924062622_Certificate.csv      run 3: 1629 -> 1627 in 1 moves, 0.4 s
ta30  results/I-024_c15/ta30_20260924063027_Certificate.csv      run 3: 1616 -> 1615 in 1 moves, 0.1 s
ta30  results/I-024_c18/ta30_20260924063041_Certificate.csv      run 3: 1624 -> 1623 in 1 moves, 0.3 s
ta30  results/I-024_c21/ta30_20260924063050_Certificate.csv      run 2: 1601 -> 1599 in 2 moves, 0.4 s
ta30  results/I-024_c22/ta30_20260924063459_Certificate.csv      run 4: 1624 -> 1620 in 1 moves, 0.2 s
ta30  results/I-024_c25/ta30_20260924063511_Certificate.csv      run 2: 1628 -> 1627 in 1 moves, 0.1 s
ta30  results/I-024_c30/ta30_20260924063927_Certificate.csv      run 4: 1623 -> 1622 in 1 moves, 0.2 s
ta30  results/I-024_c35/ta30_20260924063952_Certificate.csv      run 1: 1629 -> 1628 in 1 moves, 0.1 s
ta30  results/I-024_c36/ta30_20260924064350_Certificate.csv      run 3: 1616 -> 1615 in 1 moves, 0.2 s
ta30  results/I-024_c37/ta30_20260924064357_Certificate.csv      run 5: 1623 -> 1620 in 2 moves, 0.7 s
ta29  results/I-024_c49/ta29_20260924064848_Certificate.csv      run 1: 1631 -> 1629 in 1 moves, 0.3 s
ta30  results/I-024_c50/ta30_20260924065241_Certificate.csv      run 1: 1619 -> 1618 in 1 moves, 0.2 s
ta30  results/I-024_c63/ta30_20260924065744_Certificate.csv      run 5: 1601 -> 1599 in 1 moves, 0.2 s
ta30  results/I-024_c70/ta30_20260924070214_Certificate.csv      run 1: 1617 -> 1614 in 1 moves, 0.1 s
ta30  results/I-024_c74/ta30_20260924070624_Certificate.csv      run 4: 1613 -> 1611 in 1 moves, 0.1 s
ta29  results/I-024_c80/ta29_20260924071039_Certificate.csv      run 5: 1646 -> 1644 in 2 moves, 0.1 s

800 schedules; improved 20 (2.5 %), 40 units; 4846 pair searches, 100.0 % completed within the node limit; 124 s
