inst      mean orig    mean curr         d     best o   best c   runs
ta22         1625.0       1629.6     +4.60       1620     1620   5/5
ta23         1583.8       1576.0     -7.80       1574     1571   5/5
ta25         1635.0       1628.0     -7.00       1629     1620   5/5
ta26         1681.8       1678.4     -3.40       1675     1671   5/5
ta27         1708.0       1706.4     -1.60       1699     1702   5/5
ta29         1642.2       1633.0     -9.20       1637     1625   5/5
ta30         1615.8       1607.8     -8.00       1603     1589   5/5
ta32         1832.0       1834.0     +2.00       1825     1823   5/5
ta33         1854.8       1841.2    -13.60       1849     1820   5/5
ta34         1890.4       1884.4     -6.00       1881     1866   5/5
ta40         1719.6       1715.0     -4.60       1710     1706   5/5
ta41         2093.2       2073.0    -20.20       2068     2059   5/5
ta42         1997.2       1987.2    -10.00       1990     1978   5/5
ta43         1925.8       1911.6    -14.20       1912     1894   5/5
ta44         2034.2       2039.8     +5.60       2019     2028   5/5
ta45         2028.2       2025.8     -2.40       2025     2017   5/5
ta46         2080.2       2079.0     -1.20       2070     2064   5/5
ta47         1971.6       1963.8     -7.80       1953     1941   5/5
ta48         2027.6       2022.8     -4.80       2011     2005   5/5
ta49         2010.0       2007.6     -2.40       2002     1999   5/5
ta50         2002.2       1992.0    -10.20       1989     1985   5/5

21 instances: current better on 18, worse on 3; mean difference -5.82; Wilcoxon W = 20.5, p = 0.0010
