run;task;job;operation;machine;start;duration;completion
1;0;0;0;10;209;84;293
1;1;0;1;9;293;45;338
1;2;0;2;16;362;53;415
1;3;0;3;18;415;48;463
1;4;0;4;17;463;9;472
1;5;0;5;5;472;9;481
1;6;0;6;14;481;39;520
1;7;0;7;2;543;79;622
1;8;0;8;13;658;83;741
1;9;0;9;19;767;50;817
1;10;0;10;12;829;24;853
1;11;0;11;3;853;49;902
1;12;0;12;8;902;81;983
1;13;0;13;4;983;5;988
1;14;0;14;1;997;70;1067
1;15;0;15;15;1067;89;1156
1;16;0;16;0;1321;91;1412
1;17;0;17;6;1471;25;1496
1;18;0;18;11;1509;80;1589
1;19;0;19;7;1589;36;1625
1;20;1;0;4;116;75;191
1;21;1;1;19;191;48;239
1;22;1;2;5;239;6;245
1;23;1;3;6;245;32;277
1;24;1;4;2;379;68;447
1;25;1;5;7;486;23;509
1;26;1;6;16;526;44;570
1;27;1;7;12;585;21;606
1;28;1;8;9;606;42;648
1;29;1;9;11;648;13;661
1;30;1;10;8;661;74;735
1;31;1;11;13;809;31;840
1;32;1;12;14;840;62;902
1;33;1;13;3;902;91;993
1;34;1;14;1;1077;65;1142
1;35;1;15;15;1224;66;1290
1;36;1;16;18;1290;26;1316
1;37;1;17;17;1316;96;1412
1;38;1;18;0;1412;97;1509
1;39;1;19;10;1509;51;1560
1;40;2;0;10;0;49;49
1;41;2;1;3;49;26;75
1;42;2;2;14;75;35;110
1;43;2;3;0;110;64;174
1;44;2;4;16;174;55;229
1;45;2;5;1;229;78;307
1;46;2;6;2;307;72;379
1;47;2;7;5;379;83;462
1;48;2;8;7;518;59;577
1;49;2;9;15;591;16;607
1;50;2;10;17;643;92;735
1;51;2;11;13;741;68;809
1;52;2;12;19;817;64;881
1;53;2;13;4;881;4;885
1;54;2;14;11;888;76;964
1;55;2;15;12;1042;82;1124
1;56;2;16;9;1127;70;1197
1;57;2;17;18;1197;75;1272
1;58;2;18;8;1275;65;1340
1;59;2;19;6;1548;31;1579
1;60;3;0;1;0;55;55
1;61;3;1;8;144;58;202
1;62;3;2;17;202;37;239
1;63;3;3;11;239;32;271
1;64;3;4;0;271;31;302
1;65;3;5;10;302;65;367
1;66;3;6;12;367;65;432
1;67;3;7;5;481;85;566
1;68;3;8;13;575;50;625
1;69;3;9;4;625;94;719
1;70;3;10;6;719;37;756
1;71;3;11;3;805;20;825
1;72;3;12;15;825;94;919
1;73;3;13;7;919;20;939
1;74;3;14;16;939;31;970
1;75;3;15;14;1425;30;1455
1;76;3;16;9;1481;49;1530
1;77;3;17;2;1533;8;1541
1;78;3;18;19;1541;22;1563
1;79;3;19;18;1563;47;1610
1;80;4;0;13;0;81;81
1;81;4;1;16;229;68;297
1;82;4;2;18;340;2;342
1;83;4;3;10;367;69;436
1;84;4;4;15;486;38;524
1;85;4;5;4;532;7;539
1;86;4;6;14;552;81;633
1;87;4;7;5;658;79;737
1;88;4;8;19;881;76;957
1;89;4;9;2;957;94;1051
1;90;4;10;17;1051;65;1116
1;91;4;11;0;1116;11;1127
1;92;4;12;6;1135;98;1233
1;93;4;13;7;1233;38;1271
1;94;4;14;3;1274;95;1369
1;95;4;15;1;1369;93;1462
1;96;4;16;9;1462;9;1471
1;97;4;17;12;1471;21;1492
