run;task;job;operation;machine;start;duration;completion
5;0;0;0;7;0;33;33
5;1;0;1;4;33;8;41
5;2;0;2;0;269;81;350
5;3;0;3;10;350;68;418
5;4;0;4;17;418;28;446
5;5;0;5;18;540;91;631
5;6;0;6;16;692;91;783
5;7;0;7;15;783;74;857
5;8;0;8;3;899;7;906
5;9;0;9;11;911;7;918
5;10;0;10;5;954;19;973
5;11;0;11;6;989;50;1039
5;12;0;12;9;1059;65;1124
5;13;0;13;19;1124;53;1177
5;14;0;14;12;1214;9;1223
5;15;0;15;8;1252;90;1342
5;16;0;16;14;1342;69;1411
5;17;0;17;13;1411;50;1461
5;18;0;18;2;1461;58;1519
5;19;0;19;1;1519;13;1532
5;20;1;0;3;0;69;69
5;21;1;1;19;69;10;79
5;22;1;2;17;79;58;137
5;23;1;3;14;137;10;147
5;24;1;4;11;147;91;238
5;25;1;5;1;242;5;247
5;26;1;6;2;247;37;284
5;27;1;7;7;294;9;303
5;28;1;8;16;303;93;396
5;29;1;9;13;396;94;490
5;30;1;10;9;490;46;536
5;31;1;11;5;536;55;591
5;32;1;12;8;591;99;690
5;33;1;13;0;843;28;871
5;34;1;14;18;871;95;966
5;35;1;15;10;1091;94;1185
5;36;1;16;6;1185;4;1189
5;37;1;17;4;1347;51;1398
5;38;1;18;15;1398;59;1457
5;39;1;19;12;1469;10;1479
5;40;2;0;15;0;79;79
5;41;2;1;0;79;70;149
5;42;2;2;4;149;35;184
5;43;2;3;8;184;82;266
5;44;2;4;2;284;35;319
5;45;2;5;14;321;84;405
5;46;2;6;18;405;34;439
5;47;2;7;12;439;87;526
5;48;2;8;7;526;91;617
5;49;2;9;5;617;69;686
5;50;2;10;6;714;12;726
5;51;2;11;16;783;31;814
5;52;2;12;17;854;94;948
5;53;2;13;11;948;65;1013
5;54;2;14;10;1025;13;1038
5;55;2;15;13;1038;16;1054
5;56;2;16;19;1054;39;1093
5;57;2;17;9;1161;46;1207
5;58;2;18;1;1207;4;1211
5;59;2;19;3;1211;74;1285
5;60;3;0;17;17;50;67
5;61;3;1;7;67;40;107
5;62;3;2;12;151;81;232
5;63;3;3;9;340;47;387
5;64;3;4;0;440;96;536
5;65;3;5;13;542;67;609
5;66;3;6;1;658;94;752
5;67;3;7;14;819;53;872
5;68;3;8;2;884;22;906
5;69;3;9;16;906;17;923
5;70;3;10;10;950;23;973
5;71;3;11;18;973;24;997
5;72;3;12;8;1010;66;1076
5;73;3;13;4;1076;15;1091
5;74;3;14;6;1110;56;1166
5;75;3;15;15;1180;84;1264
5;76;3;16;19;1264;79;1343
5;77;3;17;5;1365;25;1390
5;78;3;18;3;1470;13;1483
5;79;3;19;11;1483;72;1555
5;80;4;0;19;0;7;7
5;81;4;1;6;7;81;88
5;82;4;2;5;88;62;150
5;83;4;3;15;150;50;200
5;84;4;4;13;200;91;291
5;85;4;5;4;291;77;368
5;86;4;6;2;392;32;424
5;87;4;7;18;439;10;449
5;88;4;8;3;454;78;532
5;89;4;9;16;614;78;692
5;90;4;10;11;692;21;713
5;91;4;11;14;741;78;819
5;92;4;12;1;819;21;840
5;93;4;13;17;844;10;854
5;94;4;14;8;854;88;942
5;95;4;15;9;942;23;965
5;96;4;16;7;965;92;1057
5;97;4;17;10;1057;34;1091
5;98;4;18;12;1126;88;1214
5;99;4;19;0;1271;48;1319
5;100;5;0;14;0;66;66
5;101;5;1;0;198;71;269
5;102;5;2;5;269;55;324
5;103;5;3;18;353;25;378
5;104;5;4;11;378;43;421
5;105;5;5;2;495;24;519
5;106;5;6;12;578;87;665
5;107;5;7;7;665;59;724
5;108;5;8;6;726;90;816
5;109;5;9;13;850;63;913
5;110;5;10;4;913;90;1003
5;111;5;11;19;1009;22;1031
5;112;5;12;15;1100;6;1106
5;113;5;13;1;1106;50;1156
5;114;5;14;3;1156;9;1165
5;115;5;15;10;1185;18;1203
5;116;5;16;16;1257;19;1276
5;117;5;17;17;1276;52;1328
5;118;5;18;9;1353;83;1436
5;119;5;19;8;1436;66;1502
5;120;6;0;8;0;66;66
5;121;6;1;14;66;39;105
5;122;6;2;18;173;10;183
5;123;6;3;7;214;80;294
5;124;6;4;6;294;55;349
5;125;6;5;3;349;38;387
5;126;6;6;1;405;29;434
5;127;6;7;11;434;41;475
5;128;6;8;17;475;63;538
5;129;6;9;10;538;32;570
5;130;6;10;15;570;91;661
5;131;6;11;19;661;27;688
5;132;6;12;4;688;72;760
5;133;6;13;2;776;71;847
5;134;6;14;16;1106;61;1167
5;135;6;15;13;1167;35;1202
5;136;6;16;9;1207;17;1224
5;137;6;17;0;1245;26;1271
5;138;6;18;5;1323;42;1365
5;139;6;19;12;1405;64;1469
5;140;7;0;17;67;11;78
5;141;7;1;18;115;33;148
5;142;7;2;13;291;84;375
5;143;7;3;15;450;12;462
5;144;7;4;5;462;18;480
5;145;7;5;8;480;57;537
5;146;7;6;19;547;43;590
5;147;7;7;16;590;24;614
5;148;7;8;0;614;77;691
5;149;7;9;2;691;85;776
5;150;7;10;7;897;62;959
5;151;7;11;3;959;49;1008
5;152;7;12;1;1008;5;1013
5;153;7;13;9;1013;46;1059
5;154;7;14;11;1061;93;1154
5;155;7;15;14;1154;85;1239
5;156;7;16;6;1266;92;1358
5;157;7;17;10;1358;30;1388
5;158;7;18;4;1398;64;1462
5;159;7;19;12;1479;77;1556
5;160;8;0;11;0;38;38
5;161;8;1;0;39;30;69
5;162;8;2;9;69;31;100
5;163;8;3;18;148;25;173
5;164;8;4;1;292;90;382
5;165;8;5;19;391;79;470
5;166;8;6;16;480;3;483
5;167;8;7;12;526;52;578
5;168;8;8;6;627;87;714
5;169;8;9;10;714;30;744
5;170;8;10;7;810;87;897
5;171;8;11;14;906;4;910
5;172;8;12;15;910;57;967
5;173;8;13;8;967;43;1010
5;174;8;14;4;1010;55;1065
5;175;8;15;13;1065;21;1086
5;176;8;16;17;1128;30;1158
5;177;8;17;5;1322;1;1323
5;178;8;18;2;1323;72;1395
5;179;8;19;3;1395;75;1470
5;180;9;0;0;69;9;78
5;181;9;1;8;78;49;127
5;182;9;2;18;449;91;540
5;183;9;3;4;565;39;604
5;184;9;4;13;609;40;649
5;185;9;5;14;682;59;741
5;186;9;6;1;752;20;772
5;187;9;7;7;783;27;810
5;188;9;8;19;810;67;877
5;189;9;9;15;877;22;899
5;190;9;10;16;901;2;903
5;191;9;11;10;903;47;950
5;192;9;12;3;1008;91;1099
5;193;9;13;6;1099;11;1110
5;194;9;14;11;1154;70;1224
5;195;9;15;5;1225;97;1322
5;196;9;16;12;1327;78;1405
5;197;9;17;17;1405;69;1474
5;198;9;18;9;1474;17;1491
5;199;9;19;2;1519;40;1559
5;200;10;0;16;0;57;57
5;201;10;1;6;88;32;120
5;202;10;2;3;387;67;454
5;203;10;3;8;454;26;480
5;204;10;4;10;480;23;503
5;205;10;5;1;517;55;572
5;206;10;6;19;590;14;604
5;207;10;7;17;604;77;681
5;208;10;8;0;691;77;768
5;209;10;9;13;768;82;850
5;210;10;10;2;850;34;884
5;211;10;11;4;884;1;885
5;212;10;12;5;890;64;954
5;213;10;13;12;954;90;1044
5;214;10;14;9;1124;37;1161
5;215;10;15;15;1264;47;1311
5;216;10;16;7;1347;27;1374
5;217;10;17;18;1374;54;1428
5;218;10;18;11;1428;3;1431
5;219;10;19;14;1431;94;1525
5;220;11;0;4;0;25;25
5;221;11;1;7;33;33;66
5;222;11;2;16;66;12;78
5;223;11;3;10;78;27;105
5;224;11;4;9;105;32;137
5;225;11;5;0;149;49;198
5;226;11;6;18;198;35;233
5;227;11;7;1;287;5;292
5;228;11;8;19;318;73;391
5;229;11;9;8;410;3;413
5;230;11;10;14;413;28;441
5;231;11;11;2;441;54;495
5;232;11;12;13;497;45;542
5;233;11;13;11;542;32;574
5;234;11;14;6;574;53;627
5;235;11;15;5;686;99;785
5;236;11;16;12;785;85;870
5;237;11;17;15;1014;86;1100
5;238;11;18;3;1100;13;1113
5;239;11;19;17;1158;99;1257
5;240;12;0;12;0;64;64
5;241;12;1;13;64;77;141
5;242;12;2;2;141;82;223
5;243;12;3;18;233;32;265
5;244;12;4;9;265;75;340
5;245;12;5;8;340;32;372
5;246;12;6;0;372;68;440
5;247;12;7;10;440;16;456
5;248;12;8;7;456;63;519
5;249;12;9;3;532;81;613
5;250;12;10;15;661;31;692
5;251;12;11;17;692;58;750
5;252;12;12;6;816;73;889
5;253;12;13;16;889;12;901
5;254;12;14;14;956;25;981
5;255;12;15;5;1059;64;1123
5;256;12;16;4;1249;98;1347
5;257;12;17;11;1347;72;1419
5;258;12;18;1;1419;47;1466
5;259;12;19;19;1466;84;1550
5;260;13;0;17;0;17;17
5;261;13;1;18;17;98;115
5;262;13;2;5;150;99;249
5;263;13;3;8;266;39;305
5;264;13;4;2;319;73;392
5;265;13;5;4;604;82;686
5;266;13;6;9;686;1;687
5;267;13;7;15;692;43;735
5;268;13;8;7;735;48;783
5;269;13;9;10;793;62;855
5;270;13;10;3;855;44;899
5;271;13;11;12;899;50;949
5;272;13;12;13;949;44;993
5;273;13;13;16;993;72;1065
5;274;13;14;14;1065;89;1154
5;275;13;15;1;1156;45;1201
5;276;13;16;0;1201;44;1245
5;277;13;17;6;1245;21;1266
5;278;13;18;11;1266;79;1345
5;279;13;19;19;1398;60;1458
5;280;14;0;12;64;87;151
5;281;14;1;7;151;63;214
5;282;14;2;10;214;8;222
5;283;14;3;2;223;20;243
5;284;14;4;18;265;88;353
5;285;14;5;4;368;88;456
5;286;14;6;19;470;77;547
5;287;14;7;14;594;88;682
5;288;14;8;13;716;46;762
5;289;14;9;3;762;30;792
5;290;14;10;6;889;44;933
5;291;14;11;1;933;42;975
5;292;14;12;5;975;84;1059
5;293;14;13;16;1065;41;1106
5;294;14;14;15;1106;74;1180
5;295;14;15;8;1200;52;1252
5;296;14;16;9;1328;25;1353
5;297;14;17;0;1353;87;1440
5;298;14;18;11;1440;43;1483
5;299;14;19;17;1483;77;1560
5;300;15;0;0;0;39;39
5;301;15;1;3;166;93;259
5;302;15;2;15;259;44;303
5;303;15;3;1;382;23;405
5;304;15;4;16;405;75;480
5;305;15;5;13;490;7;497
5;306;15;6;14;534;60;594
5;307;15;7;7;617;45;662
5;308;15;8;18;662;71;733
5;309;15;9;10;744;49;793
5;310;15;10;5;793;3;796
5;311;15;11;11;796;68;864
5;312;15;12;6;933;56;989
5;313;15;13;19;989;20;1009
5;314;15;14;2;1009;35;1044
5;315;15;15;17;1044;8;1052
5;316;15;16;8;1121;79;1200
5;317;15;17;9;1224;21;1245
5;318;15;18;12;1279;48;1327
5;319;15;19;4;1462;43;1505
5;320;16;0;3;259;75;334
5;321;16;1;15;334;92;426
5;322;16;2;1;434;83;517
