run;task;job;operation;machine;start;duration;completion
1;0;0;0;13;0;79;79
1;1;0;1;0;79;31;110
1;2;0;2;10;159;42;201
1;3;0;3;2;201;88;289
1;4;0;4;12;353;16;369
1;5;0;5;8;369;99;468
1;6;0;6;5;480;82;562
1;7;0;7;6;577;53;630
1;8;0;8;4;632;29;661
1;9;0;9;14;803;49;852
1;10;0;10;1;924;9;933
1;11;0;11;11;974;15;989
1;12;0;12;9;1049;92;1141
1;13;0;13;3;1499;73;1572
1;14;0;14;7;1663;98;1761
1;15;1;0;7;0;76;76
1;16;1;1;3;207;89;296
1;17;1;2;0;296;48;344
1;18;1;3;12;369;15;384
1;19;1;4;13;384;54;438
1;20;1;5;14;465;37;502
1;21;1;6;8;517;53;570
1;22;1;7;1;570;63;633
1;23;1;8;10;636;44;680
1;24;1;9;4;681;91;772
1;25;1;10;11;773;13;786
1;26;1;11;2;1013;73;1086
1;27;1;12;6;1145;42;1187
1;28;1;13;9;1187;99;1286
1;29;1;14;5;1447;41;1488
1;30;2;0;12;47;49;96
1;31;2;1;14;357;52;409
1;32;2;2;10;435;25;460
1;33;2;3;1;460;89;549
1;34;2;4;13;568;3;571
1;35;2;5;5;571;2;573
1;36;2;6;3;689;40;729
1;37;2;7;11;729;44;773
1;38;2;8;6;786;94;880
1;39;2;9;2;951;7;958
1;40;2;10;4;965;68;1033
1;41;2;11;7;1348;73;1421
1;42;2;12;8;1421;73;1494
1;43;2;13;0;1505;30;1535
1;44;2;14;9;1721;14;1735
1;45;3;0;14;127;28;155
1;46;3;1;13;204;49;253
1;47;3;2;1;253;13;266
1;48;3;3;12;266;87;353
1;49;3;4;7;360;62;422
1;50;3;5;0;422;10;432
1;51;3;6;4;454;29;483
1;52;3;7;5;917;62;979
1;53;3;8;3;1082;34;1116
1;54;3;9;2;1167;7;1174
1;55;3;10;6;1187;47;1234
1;56;3;11;8;1263;40;1303
1;57;3;12;11;1304;57;1361
1;58;3;13;10;1386;80;1466
1;59;3;14;9;1466;86;1552
1;60;4;0;7;81;39;120
1;61;4;1;5;237;12;249
1;62;4;2;1;266;34;300
1;63;4;3;3;378;91;469
1;64;4;4;8;469;48;517
1;65;4;5;12;517;71;588
1;66;4;6;2;623;45;668
1;67;4;7;13;671;98;769
1;68;4;8;0;818;23;841
1;69;4;9;4;849;91;940
1;70;4;10;6;957;90;1047
1;71;4;11;10;1077;41;1118
1;72;4;12;11;1132;90;1222
1;73;4;13;14;1224;54;1278
1;74;4;14;9;1287;87;1374
1;75;5;0;11;0;30;30
1;76;5;1;5;30;63;93
1;77;5;2;4;93;57;150
1;78;5;3;14;502;36;538
1;79;5;4;10;705;72;777
1;80;5;5;3;1269;54;1323
1;81;5;6;0;1323;69;1392
1;82;5;7;9;1401;9;1410
1;83;5;8;7;1421;53;1474
1;84;5;9;12;1474;72;1546
1;85;5;10;6;1546;68;1614
1;86;5;11;2;1614;33;1647
1;87;5;12;13;1647;61;1708
1;88;5;13;8;1708;12;1720
1;89;5;14;1;1720;89;1809
1;90;6;0;5;124;65;189
1;91;6;1;8;189;40;229
1;92;6;2;12;229;34;263
1;93;6;3;9;263;37;300
1;94;6;4;3;314;64;378
1;95;6;5;2;386;62;448
1;96;6;6;14;451;14;465
1;97;6;7;4;483;78;561
1;98;6;8;1;561;1;562
1;99;6;9;13;769;65;834
1;100;6;10;7;834;2;836
1;101;6;11;0;841;67;908
1;102;6;12;11;989;56;1045
1;103;6;13;6;1614;75;1689
1;104;6;14;10;1782;26;1808
1;105;7;0;7;120;22;142
1;106;7;1;14;254;98;352
1;107;7;2;5;413;67;480
1;108;7;3;9;617;56;673
1;109;7;4;3;729;41;770
1;110;7;5;1;784;89;873
1;111;7;6;4;940;25;965
1;112;7;7;10;983;94;1077
1;113;7;8;12;1111;76;1187
1;114;7;9;2;1206;37;1243
1;115;7;10;6;1243;8;1251
1;116;7;11;13;1258;84;1342
1;117;7;12;11;1361;73;1434
1;118;7;13;0;1439;65;1504
1;119;7;14;8;1504;74;1578
1;120;8;0;10;0;44;44
1;121;8;1;14;94;33;127
1;122;8;2;6;149;41;190
1;123;8;3;5;689;52;741
1;124;8;4;13;834;86;920
1;125;8;5;12;952;11;963
1;126;8;6;3;1116;60;1176
1;127;8;7;8;1176;87;1263
1;128;8;8;0;1295;13;1308
1;129;8;9;7;1308;40;1348
1;130;8;10;2;1348;62;1410
1;131;8;11;9;1410;47;1457
1;132;8;12;4;1458;39;1497
1;133;8;13;11;1505;65;1570
