run;task;job;operation;machine;start;duration;completion
1;0;0;0;7;0;86;86
1;1;0;1;13;89;43;132
1;2;0;2;17;143;61;204
1;3;0;3;6;204;99;303
1;4;0;4;8;311;7;318
1;5;0;5;11;318;70;388
1;6;0;6;4;409;21;430
1;7;0;7;3;430;2;432
1;8;0;8;12;495;88;583
1;9;0;9;18;583;38;621
1;10;0;10;9;621;65;686
1;11;0;11;2;686;81;767
1;12;0;12;0;767;38;805
1;13;0;13;1;805;51;856
1;14;0;14;10;856;81;937
1;15;0;15;16;956;37;993
1;16;0;16;15;994;72;1066
1;17;0;17;14;1112;94;1206
1;18;0;18;5;1206;44;1250
1;19;0;19;19;1467;99;1566
1;20;1;0;7;176;80;256
1;21;1;1;17;256;66;322
1;22;1;2;16;322;90;412
1;23;1;3;10;464;83;547
1;24;1;4;0;547;89;636
1;25;1;5;15;636;7;643
1;26;1;6;12;700;55;755
1;27;1;7;1;755;17;772
1;28;1;8;2;772;13;785
1;29;1;9;9;902;45;947
1;30;1;10;18;947;28;975
1;31;1;11;5;975;73;1048
1;32;1;12;3;1142;44;1186
1;33;1;13;6;1186;65;1251
1;34;1;14;19;1251;50;1301
1;35;1;15;14;1301;84;1385
1;36;1;16;4;1385;70;1455
1;37;1;17;11;1483;71;1554
1;38;1;18;8;1556;32;1588
1;39;1;19;13;1601;91;1692
1;40;2;0;11;0;90;90
1;41;2;1;17;90;43;133
1;42;2;2;19;133;37;170
1;43;2;3;0;179;71;250
1;44;2;4;2;278;64;342
1;45;2;5;4;430;88;518
1;46;2;6;8;536;27;563
1;47;2;7;14;563;30;593
1;48;2;8;10;593;34;627
1;49;2;9;3;642;99;741
1;50;2;10;5;741;10;751
1;51;2;11;12;756;44;800
1;52;2;12;18;800;99;899
1;53;2;13;15;900;94;994
1;54;2;14;1;1054;96;1150
1;55;2;15;16;1349;98;1447
1;56;2;16;6;1447;44;1491
1;57;2;17;7;1491;7;1498
1;58;2;18;9;1500;33;1533
1;59;2;19;13;1542;59;1601
1;60;3;0;2;0;34;34
1;61;3;1;7;86;52;138
1;62;3;2;17;138;5;143
1;63;3;3;12;143;4;147
1;64;3;4;1;153;84;237
1;65;3;5;16;237;54;291
1;66;3;6;13;291;3;294
1;67;3;7;6;451;97;548
1;68;3;8;19;548;39;587
1;69;3;9;3;587;9;596
1;70;3;10;18;621;9;630
1;71;3;11;11;740;91;831
1;72;3;12;5;831;60;891
1;73;3;13;0;945;4;949
1;74;3;14;4;968;63;1031
1;75;3;15;14;1059;3;1062
1;76;3;16;8;1085;35;1120
1;77;3;17;10;1120;79;1199
1;78;3;18;15;1232;66;1298
1;79;3;19;9;1533;97;1630
1;80;4;0;3;0;52;52
1;81;4;1;5;287;51;338
1;82;4;2;12;357;72;429
1;83;4;3;0;429;24;453
1;84;4;4;10;627;96;723
1;85;4;5;17;723;54;777
1;86;4;6;16;780;51;831
1;87;4;7;2;831;61;892
1;88;4;8;7;912;92;1004
1;89;4;9;8;1004;81;1085
1;90;4;10;9;1090;74;1164
1;91;4;11;18;1164;49;1213
1;92;4;12;19;1213;24;1237
1;93;4;13;4;1263;59;1322
1;94;4;14;13;1322;4;1326
1;95;4;15;11;1326;21;1347
1;96;4;16;1;1450;78;1528
1;97;4;17;6;1528;2;1530
1;98;4;18;15;1557;3;1560
1;99;4;19;14;1560;49;1609
1;100;5;0;9;0;42;42
1;101;5;1;13;42;47;89
1;102;5;2;6;96;10;106
1;103;5;3;0;106;27;133
1;104;5;4;7;138;38;176
1;105;5;5;18;177;92;269
1;106;5;6;12;269;88;357
1;107;5;7;17;389;16;405
1;108;5;8;19;405;3;408
1;109;5;9;10;408;56;464
1;110;5;10;3;464;80;544
1;111;5;11;4;544;10;554
1;112;5;12;16;554;26;580
1;113;5;13;1;580;78;658
1;114;5;14;15;658;69;727
1;115;5;15;8;862;91;953
1;116;5;16;2;953;82;1035
1;117;5;17;11;1048;77;1125
1;118;5;18;14;1385;73;1458
1;119;5;19;5;1458;96;1554
1;120;6;0;7;281;19;300
1;121;6;1;3;300;38;338
1;122;6;2;5;338;83;421
1;123;6;3;17;508;50;558
1;124;6;4;14;612;31;643
1;125;6;5;19;643;87;730
1;126;6;6;8;736;67;803
1;127;6;7;9;803;99;902
1;128;6;8;13;902;69;971
1;129;6;9;11;971;77;1048
1;130;6;10;1;1048;4;1052
1;131;6;11;12;1052;31;1083
1;132;6;12;16;1083;96;1179
1;133;6;13;0;1179;77;1256
1;134;6;14;2;1256;80;1336
1;135;6;15;18;1336;68;1404
1;136;6;16;15;1415;74;1489
1;137;6;17;4;1489;86;1575
1;138;6;18;10;1575;30;1605
1;139;6;19;6;1605;54;1659
1;140;7;0;15;0;25;25
1;141;7;1;16;117;47;164
1;142;7;2;12;164;10;174
1;143;7;3;5;178;16;194
1;144;7;4;4;194;83;277
1;145;7;5;9;277;62;339
1;146;7;6;18;339;3;342
1;147;7;7;3;342;38;380
1;148;7;8;8;449;87;536
1;149;7;9;19;587;19;606
1;150;7;10;17;606;98;704
1;151;7;11;6;754;2;756
1;152;7;12;13;794;58;852
1;153;7;13;11;857;30;887
1;154;7;14;0;887;22;909
1;155;7;15;7;1004;55;1059
1;156;7;16;14;1212;80;1292
1;157;7;17;10;1299;69;1368
1;158;7;18;1;1563;77;1640
1;159;7;19;2;1640;40;1680
1;160;8;0;2;34;17;51
1;161;8;1;5;80;98;178
1;162;8;2;6;178;25;203
1;163;8;3;19;203;41;244
1;164;8;4;4;347;62;409
1;165;8;5;18;430;28;458
1;166;8;6;1;458;52;510
1;167;8;7;0;510;5;515
1;168;8;8;8;563;25;588
1;169;8;9;9;686;37;723
1;170;8;10;7;765;93;858
1;171;8;11;12;897;63;960
1;172;8;12;13;971;23;994
1;173;8;13;14;1001;58;1059
1;174;8;14;17;1059;92;1151
1;175;8;15;15;1162;70;1232
1;176;8;16;16;1259;90;1349
1;177;8;17;3;1349;29;1378
1;178;8;18;10;1378;26;1404
1;179;8;19;11;1414;69;1483
1;180;9;0;19;0;41;41
1;181;9;1;0;41;65;106
1;182;9;2;17;405;34;439
1;183;9;3;14;439;4;443
1;184;9;4;7;443;73;516
1;185;9;5;11;516;79;595
1;186;9;6;8;595;58;653
1;187;9;7;6;689;14;703
1;188;9;8;12;800;97;897
1;189;9;9;4;897;71;968
1;190;9;10;10;968;97;1065
1;191;9;11;2;1065;95;1160
1;192;9;12;16;1188;58;1246
1;193;9;13;13;1246;12;1258
1;194;9;14;3;1258;17;1275
1;195;9;15;9;1275;66;1341
1;196;9;16;1;1341;78;1419
1;197;9;17;15;1489;68;1557
1;198;9;18;18;1557;69;1626
1;199;9;19;5;1626;53;1679
1;200;10;0;10;57;27;84
1;201;10;1;4;85;83;168
1;202;10;2;14;174;20;194
1;203;10;3;9;232;12;244
1;204;10;4;19;244;86;330
1;205;10;5;6;330;34;364
1;206;10;6;18;364;36;400
1;207;10;7;0;400;28;428
1;208;10;8;13;565;63;628
1;209;10;9;12;663;37;700
1;210;10;10;16;993;23;1016
1;211;10;11;5;1123;50;1173
1;212;10;12;7;1173;90;1263
1;213;10;13;8;1273;5;1278
1;214;10;14;17;1278;17;1295
1;215;10;15;3;1378;80;1458
1;216;10;16;1;1528;35;1563
1;217;10;17;2;1563;4;1567
1;218;10;18;15;1567;41;1608
1;219;10;19;11;1612;81;1693
1;220;11;0;4;0;85;85
1;221;11;1;18;85;92;177
1;222;11;2;12;177;90;267
1;223;11;3;15;284;95;379
1;224;11;4;3;380;19;399
1;225;11;5;8;803;59;862
1;226;11;6;19;862;94;956
1;227;11;7;9;956;75;1031
1;228;11;8;5;1048;75;1123
1;229;11;9;6;1123;47;1170
1;230;11;10;16;1179;9;1188
1;231;11;11;14;1206;6;1212
1;232;11;12;10;1212;43;1255
1;233;11;13;0;1256;30;1286
1;234;11;14;2;1336;88;1424
1;235;11;15;1;1431;19;1450
1;236;11;16;17;1450;10;1460
1;237;11;17;13;1460;76;1536
1;238;11;18;11;1554;58;1612
1;239;11;19;7;1612;29;1641
1;240;12;0;4;168;23;191
1;241;12;1;5;504;87;591
1;242;12;2;6;639;50;689
1;243;12;3;7;689;76;765
1;244;12;4;11;831;26;857
1;245;12;5;10;937;28;965
1;246;12;6;0;965;36;1001
1;247;12;7;17;1001;35;1036
1;248;12;8;2;1036;4;1040
1;249;12;9;9;1058;32;1090
1;250;12;10;14;1090;22;1112
1;251;12;11;13;1112;74;1186
1;252;12;12;1;1186;52;1238
1;253;12;13;16;1246;13;1259
1;254;12;14;8;1259;14;1273
1;255;12;15;19;1301;61;1362
1;256;12;16;15;1368;47;1415
1;257;12;17;12;1443;87;1530
1;258;12;18;3;1530;73;1603
1;259;12;19;18;1626;64;1690
1;260;13;0;5;0;80;80
1;261;13;1;0;136;43;179
1;262;13;2;17;204;45;249
1;263;13;3;14;249;92;341
1;264;13;4;8;341;68;409
1;265;13;5;12;429;66;495
1;266;13;6;2;495;60;555
1;267;13;7;9;555;37;592
1;268;13;8;18;630;60;690
1;269;13;9;6;703;51;754
1;270;13;10;19;754;41;795
1;271;13;11;3;795;61;856
1;272;13;12;13;994;98;1092
1;273;13;13;7;1092;59;1151
1;274;13;14;4;1168;95;1263
1;275;13;15;15;1298;38;1336
1;276;13;16;11;1347;67;1414
1;277;13;17;1;1419;12;1431
1;278;13;18;10;1431;95;1526
1;279;13;19;16;1526;22;1548
1;280;14;0;10;0;57;57
1;281;14;1;1;57;96;153
1;282;14;2;15;183;11;194
1;283;14;3;5;194;25;219
1;284;14;4;8;219;69;288
1;285;14;5;4;288;59;347
1;286;14;6;9;347;45;392
1;287;14;7;13;395;52;447
1;288;14;8;14;447;85;532
1;289;14;9;2;632;26;658
1;290;14;10;17;872;91;963
1;291;14;11;6;963;57;1020
1;292;14;12;3;1020;30;1050
1;293;14;13;16;1050;32;1082
1;294;14;14;19;1082;58;1140
1;295;14;15;11;1140;40;1180
1;296;14;16;7;1263;11;1274
1;297;14;17;18;1274;19;1293
1;298;14;18;0;1342;19;1361
1;299;14;19;12;1530;82;1612
1;300;15;0;1;340;81;421
1;301;15;1;5;421;83;504
1;302;15;2;2;555;77;632
1;303;15;3;16;632;45;677
1;304;15;4;11;677;63;740
1;305;15;5;17;777;95;872
1;306;15;6;14;872;25;897
1;307;15;7;8;953;48;1001
1;308;15;8;9;1031;27;1058
1;309;15;9;18;1058;56;1114
1;310;15;10;4;1114;54;1168
1;311;15;11;12;1223;82;1305
1;312;15;12;15;1336;32;1368
1;313;15;13;19;1368;99;1467
1;314;15;14;7;1498;41;1539
1;315;15;15;0;1539;1;1540
1;316;15;16;13;1540;2;1542
1;317;15;17;6;1542;61;1603
1;318;15;18;10;1605;23;1628
1;319;15;19;3;1628;26;1654
1;320;16;0;1;0;47;47
1;321;16;1;18;47;9;56
1;322;16;2;2;56;90;146
1;323;16;3;14;146;28;174
1;324;16;4;5;219;68;287
1;325;16;5;8;288;23;311
1;326;16;6;10;339;66;405
1;327;16;7;6;405;46;451
1;328;16;8;19;451;75;526
1;329;16;9;4;554;96;650
1;330;16;10;13;650;68;718
1;331;16;11;9;723;60;783
1;332;16;12;16;831;46;877
1;333;16;13;7;877;35;912
1;334;16;14;11;912;9;921
1;335;16;15;12;960;89;1049
1;336;16;16;15;1066;96;1162
1;337;16;17;0;1286;42;1328
1;338;16;18;3;1328;2;1330
1;339;16;19;17;1330;86;1416
1;340;17;0;11;90;90;180
1;341;17;1;3;180;52;232
1;342;17;2;14;232;10;242
1;343;17;3;7;256;25;281
1;344;17;4;1;281;59;340
1;345;17;5;13;340;55;395
1;346;17;6;18;400;30;430
1;347;17;7;9;430;33;463
1;348;17;8;19;526;18;544
1;349;17;9;12;583;80;663
1;350;17;10;8;663;73;736
1;351;17;11;15;736;41;777
1;352;17;12;4;777;9;786
1;353;17;13;6;786;64;850
1;354;17;14;16;877;79;956
1;355;17;15;17;963;31;994
1;356;17;16;2;1160;79;1239
1;357;17;17;10;1255;44;1299
1;358;17;18;0;1328;14;1342
1;359;17;19;5;1342;73;1415
1;360;18;0;10;84;59;143
1;361;18;1;2;221;57;278
1;362;18;2;17;322;67;389
1;363;18;3;7;389;47;436
1;364;18;4;8;436;13;449
1;365;18;5;18;458;35;493
1;366;18;6;13;493;72;565
1;367;18;7;6;565;74;639
1;368;18;8;5;639;56;695
1;369;18;9;16;695;85;780
1;370;18;10;0;805;52;857
1;371;18;11;15;875;25;900
1;372;18;12;1;900;92;992
1;373;18;13;3;1050;92;1142
1;374;18;14;12;1142;81;1223
1;375;18;15;11;1223;76;1299
1;376;18;16;9;1358;91;1449
1;377;18;17;14;1458;93;1551
1;378;18;18;19;1566;36;1602
1;379;18;19;4;1602;88;1690
1;380;19;0;8;0;28;28
1;381;19;1;16;28;89;117
1;382;19;2;0;133;3;136
1;383;19;3;2;146;75;221
1;384;19;4;11;221;31;252
1;385;19;5;10;252;87;339
1;386;19;6;19;339;66;405
1;387;19;7;17;439;67;506
1;388;19;8;7;516;34;550
1;389;19;9;14;593;19;612
1;390;19;10;3;612;30;642
1;391;19;11;4;650;91;741
