run;task;job;operation;machine;start;duration;completion
1;0;0;0;3;152;94;246
1;1;0;1;2;281;61;342
1;2;0;2;19;342;12;354
1;3;0;3;11;375;68;443
1;4;0;4;10;443;40;483
1;5;0;5;13;483;84;567
1;6;0;6;16;576;30;606
1;7;0;7;15;606;16;622
1;8;0;8;1;622;34;656
1;9;0;9;0;656;92;748
1;10;0;10;12;748;53;801
1;11;0;11;17;859;55;914
1;12;0;12;18;958;61;1019
1;13;0;13;9;1239;67;1306
1;14;0;14;5;1306;30;1336
1;15;0;15;7;1336;88;1424
1;16;0;16;14;1424;12;1436
1;17;0;17;4;1436;20;1456
1;18;0;18;8;1531;16;1547
1;19;0;19;6;1593;51;1644
1;20;1;0;14;0;22;22
1;21;1;1;12;243;75;318
1;22;1;2;4;350;29;379
1;23;1;3;17;379;87;466
1;24;1;4;7;527;47;574
1;25;1;5;2;574;48;622
1;26;1;6;10;674;21;695
1;27;1;7;15;753;46;799
1;28;1;8;8;799;77;876
1;29;1;9;9;912;35;947
1;30;1;10;3;947;10;957
1;31;1;11;6;957;92;1049
1;32;1;12;16;1065;9;1074
1;33;1;13;13;1181;75;1256
1;34;1;14;11;1256;40;1296
1;35;1;15;1;1296;89;1385
1;36;1;16;0;1397;86;1483
1;37;1;17;5;1483;33;1516
1;38;1;18;19;1516;2;1518
1;39;1;19;18;1642;1;1643
1;40;2;0;18;0;32;32
1;41;2;1;17;158;8;166
1;42;2;2;0;177;99;276
1;43;2;3;13;276;14;290
1;44;2;4;7;290;41;331
1;45;2;5;1;369;53;422
1;46;2;6;11;443;97;540
1;47;2;7;19;540;19;559
1;48;2;8;5;559;39;598
1;49;2;9;3;598;20;618
1;50;2;10;2;622;91;713
1;51;2;11;16;713;54;767
1;52;2;12;15;957;97;1054
1;53;2;13;4;1066;79;1145
1;54;2;14;8;1160;21;1181
1;55;2;15;14;1195;22;1217
1;56;2;16;9;1306;93;1399
1;57;2;17;12;1399;67;1466
1;58;2;18;10;1478;17;1495
1;59;2;19;6;1509;84;1593
1;60;3;0;17;0;13;13
1;61;3;1;10;13;43;56
1;62;3;2;8;67;97;164
1;63;3;3;12;354;41;395
1;64;3;4;5;425;4;429
1;65;3;5;16;430;35;465
1;66;3;6;14;512;6;518
1;67;3;7;11;542;93;635
