run;task;job;operation;machine;start;duration;completion
1;0;0;0;1;0;70;70
1;1;0;1;6;70;6;76
1;2;0;2;10;76;29;105
1;3;0;3;14;105;55;160
1;4;0;4;7;215;14;229
1;5;0;5;5;229;33;262
1;6;0;6;13;262;66;328
1;7;0;7;4;381;14;395
1;8;0;8;3;431;7;438
1;9;0;9;8;790;57;847
1;10;0;10;0;1057;55;1112
1;11;0;11;9;1112;18;1130
1;12;0;12;12;1136;62;1198
1;13;0;13;2;1247;46;1293
1;14;0;14;11;1308;92;1400
1;15;1;0;0;0;30;30
1;16;1;1;9;30;53;83
1;17;1;2;3;96;19;115
1;18;1;3;2;150;1;151
1;19;1;4;8;201;98;299
1;20;1;5;5;299;81;380
1;21;1;6;14;380;63;443
1;22;1;7;12;443;62;505
1;23;1;8;6;505;10;515
1;24;1;9;11;515;15;530
1;25;1;10;10;530;73;603
1;26;1;11;7;683;75;758
1;27;1;12;4;758;80;838
1;28;1;13;1;838;84;922
1;29;1;14;13;976;97;1073
1;30;2;0;1;182;42;224
1;31;2;1;6;247;61;308
1;32;2;2;2;308;6;314
1;33;2;3;11;412;60;472
1;34;2;4;3;472;24;496
1;35;2;5;4;650;70;720
1;36;2;6;10;725;78;803
1;37;2;7;9;803;11;814
1;38;2;8;12;814;35;849
1;39;2;9;8;849;38;887
1;40;2;10;7;916;61;977
1;41;2;11;5;1009;90;1099
1;42;2;12;0;1112;74;1186
1;43;2;13;14;1186;1;1187
1;44;2;14;13;1203;60;1263
1;45;3;0;12;13;76;89
1;46;3;1;14;296;84;380
1;47;3;2;8;405;72;477
1;48;3;3;9;505;17;522
1;49;3;4;5;535;27;562
1;50;3;5;3;579;86;665
1;51;3;6;0;665;84;749
1;52;3;7;1;749;71;820
1;53;3;8;13;842;90;932
1;54;3;9;10;945;27;972
1;55;3;10;6;972;13;985
1;56;3;11;11;995;98;1093
1;57;3;12;4;1093;3;1096
1;58;3;13;7;1193;57;1250
1;59;3;14;2;1293;66;1359
1;60;4;0;14;42;38;80
1;61;4;1;10;170;58;228
1;62;4;2;8;616;80;696
1;63;4;3;6;696;24;720
1;64;4;4;0;749;50;799
1;65;4;5;4;841;76;917
1;66;4;6;5;917;6;923
1;67;4;7;9;925;12;937
1;68;4;8;11;937;26;963
1;69;4;9;3;963;14;977
1;70;4;10;7;977;35;1012
1;71;4;11;13;1073;38;1111
1;72;4;12;1;1124;55;1179
1;73;4;13;12;1198;33;1231
1;74;4;14;2;1359;42;1401
1;75;5;0;8;0;77;77
1;76;5;1;2;151;87;238
1;77;5;2;9;238;59;297
1;78;5;3;12;297;19;316
1;79;5;4;3;316;84;400
1;80;5;5;0;570;85;655
1;81;5;6;13;703;63;766
1;82;5;7;14;897;51;948
1;83;5;8;5;948;18;966
1;84;5;9;11;966;29;995
1;85;5;10;7;1109;2;1111
1;86;5;11;1;1111;13;1124
1;87;5;12;4;1124;1;1125
1;88;5;13;6;1141;25;1166
1;89;5;14;10;1235;54;1289
1;90;6;0;5;38;19;57
1;91;6;1;3;496;83;579
1;92;6;2;8;696;71;767
1;93;6;3;7;767;22;789
1;94;6;4;0;799;4;803
1;95;6;5;12;849;68;917
1;96;6;6;4;917;68;985
1;97;6;7;2;985;88;1073
1;98;6;8;14;1074;80;1154
1;99;6;9;6;1166;55;1221
1;100;6;10;10;1224;11;1235
1;101;6;11;11;1235;19;1254
1;102;6;12;9;1254;39;1293
1;103;6;13;1;1293;68;1361
1;104;6;14;13;1364;37;1401
1;105;7;0;5;0;38;38
1;106;7;1;8;299;98;397
1;107;7;2;12;397;11;408
1;108;7;3;1;408;3;411
1;109;7;4;7;411;33;444
1;110;7;5;4;457;43;500
1;111;7;6;2;500;19;519
1;112;7;7;9;522;90;612
1;113;7;8;6;612;56;668
1;114;7;9;14;668;83;751
1;115;7;10;13;766;76;842
1;116;7;11;0;1205;97;1302
1;117;7;12;3;1321;2;1323
1;118;7;13;10;1323;76;1399
1;119;7;14;11;1400;1;1401
1;120;8;0;14;80;25;105
1;121;8;1;8;136;65;201
1;122;8;2;7;229;88;317
1;123;8;3;12;317;56;373
1;124;8;4;6;407;75;482
1;125;8;5;10;482;48;530
1;126;8;6;0;530;40;570
1;127;8;7;1;570;19;589
1;128;8;8;11;701;39;740
1;129;8;9;9;843;40;883
1;130;8;10;5;966;43;1009
1;131;8;11;4;1125;99;1224
1;132;8;12;2;1224;23;1247
1;133;8;13;3;1247;74;1321
1;134;8;14;13;1325;39;1364
1;135;9;0;0;335;97;432
1;136;9;1;14;500;66;566
1;137;9;2;2;614;54;668
1;138;9;3;5;668;29;697
1;139;9;4;10;697;23;720
1;140;9;5;4;720;9;729
1;141;9;6;9;729;74;803
1;142;9;7;7;803;46;849
1;143;9;8;11;852;85;937
1;144;9;9;6;985;98;1083
1;145;9;10;3;1085;74;1159
1;146;9;11;13;1191;12;1203
1;147;9;12;1;1203;71;1274
1;148;9;13;12;1305;65;1370
1;149;9;14;8;1370;25;1395
1;150;10;0;1;112;3;115
1;151;10;1;3;115;40;155
1;152;10;2;11;180;81;261
1;153;10;3;0;261;74;335
1;154;10;4;9;368;67;435
1;155;10;5;5;442;93;535
1;156;10;6;2;538;76;614
1;157;10;7;14;628;16;644
1;158;10;8;6;720;12;732
1;159;10;9;7;849;67;916
1;160;10;10;8;916;52;968
1;161;10;11;12;985;20;1005
1;162;10;12;13;1111;24;1135
1;163;10;13;10;1153;71;1224
1;164;10;14;4;1224;90;1314
1;165;11;0;12;0;13;13
1;166;11;1;8;77;59;136
1;167;11;2;3;155;95;250
1;168;11;3;10;307;79;386
1;169;11;4;2;386;46;432
1;170;11;5;0;432;16;448
1;171;11;6;7;448;67;515
1;172;11;7;9;619;67;686
1;173;11;8;14;751;64;815
1;174;11;9;5;832;85;917
1;175;11;10;4;996;85;1081
1;176;11;11;1;1081;27;1108
1;177;11;12;11;1108;26;1134
1;178;11;13;13;1135;56;1191
1;179;11;14;6;1221;1;1222
1;180;12;0;1;115;64;179
1;181;12;1;6;179;1;180
1;182;12;2;14;182;29;211
1;183;12;3;2;238;66;304
1;184;12;4;11;304;32;336
1;185;12;5;4;346;35;381
1;186;12;6;8;397;8;405
1;187;12;7;3;405;26;431
1;188;12;8;13;431;94;525
1;189;12;9;10;603;94;697
1;190;12;10;0;803;62;865
1;191;12;11;9;883;42;925
1;192;12;12;12;925;60;985
1;193;12;13;7;1012;56;1068
1;194;12;14;5;1196;7;1203
1;195;13;0;1;179;3;182
1;196;13;1;4;187;7;194
1;197;13;2;9;194;40;234
1;198;13;3;3;665;93;758
1;199;13;4;11;758;55;813
1;200;13;5;14;815;75;890
1;201;13;6;8;890;25;915
1;202;13;7;0;916;21;937
1;203;13;8;13;946;30;976
1;204;13;9;10;976;82;1058
1;205;13;10;2;1073;1;1074
1;206;13;11;6;1083;58;1141
1;207;13;12;5;1143;53;1196
1;208;13;13;7;1250;88;1338
1;209;13;14;12;1370;19;1389
1;210;14;0;2;61;66;127
1;211;14;1;7;127;88;215
1;212;14;2;3;250;48;298
1;213;14;3;1;411;77;488
1;214;14;4;8;488;38;526
1;215;14;5;4;566;78;644
1;216;14;6;14;644;16;660
1;217;14;7;11;660;41;701
1;218;14;8;12;701;93;794
1;219;14;9;5;794;38;832
1;220;14;10;10;832;25;857
1;221;14;11;0;865;51;916
1;222;14;12;13;932;14;946
1;223;14;13;6;1222;98;1320
1;224;14;14;9;1322;61;1383
1;225;15;0;10;0;33;33
1;226;15;1;2;127;23;150
1;227;15;2;4;150;7;157
1;228;15;3;6;180;60;240
1;229;15;4;1;240;74;314
1;230;15;5;9;314;54;368
1;231;15;6;7;401;2;403
1;232;15;7;12;418;22;440
1;233;15;8;3;440;32;472
1;234;15;9;11;500;15;515
1;235;15;10;13;525;79;604
1;236;15;11;14;991;83;1074
1;237;15;12;5;1203;69;1272
1;238;15;13;8;1272;41;1313
1;239;15;14;0;1313;19;1332
1;240;16;0;2;0;61;61
1;241;16;1;0;61;26;87
1;242;16;2;5;127;66;193
1;243;16;3;14;211;85;296
1;244;16;4;4;296;34;330
1;245;16;5;6;330;15;345
1;246;16;6;11;345;59;404
1;247;16;7;10;407;75;482
1;248;16;8;8;485;3;488
1;249;16;9;7;515;80;595
1;250;16;10;13;604;39;643
1;251;16;11;1;645;69;714
1;252;16;12;3;862;6;868
1;253;16;13;9;937;73;1010
1;254;16;14;12;1010;65;1075
1;255;17;0;3;0;96;96
1;256;17;1;0;96;6;102
1;257;17;2;11;102;52;154
1;258;17;3;14;160;22;182
1;259;17;4;5;193;35;228
1;260;17;5;10;228;79;307
1;261;17;6;4;330;16;346
1;262;17;7;13;346;72;418
1;263;17;8;9;814;29;843
1;264;17;9;6;843;26;869
1;265;17;10;8;968;52;1020
1;266;17;11;1;1020;58;1078
1;267;17;12;7;1136;57;1193
1;268;17;13;2;1193;31;1224
1;269;17;14;12;1231;74;1305
1;270;18;0;1;70;42;112
1;271;18;1;0;112;79;191
1;272;18;2;7;317;84;401
1;273;18;3;5;401;25;426
1;274;18;4;9;435;70;505
1;275;18;5;8;526;90;616
1;276;18;6;14;616;8;624
1;277;18;7;13;643;60;703
1;278;18;8;2;705;81;786
1;279;18;9;10;857;88;945
1;280;18;10;4;985;11;996
1;281;18;11;3;996;71;1067
1;282;18;12;12;1075;61;1136
1;283;18;13;11;1259;49;1308
1;284;18;14;6;1320;81;1401
1;285;19;0;1;356;52;408
1;286;19;1;12;408;3;411
1;287;19;2;14;443;57;500
1;288;19;3;4;500;66;566
1;289;19;4;7;595;88;683
1;290;19;5;9;686;42;728
1;291;19;6;8;767;23;790
1;292;19;7;3;790;72;862
1;293;19;8;6;869;97;966
1;294;19;9;0;966;91;1057
1;295;19;10;10;1058;50;1108
1;296;19;11;2;1108;43;1151
1;297;19;12;11;1151;82;1233
1;298;19;13;13;1263;62;1325
1;299;19;14;5;1327;27;1354
