# instance ta04, makespan 1175, lower bound 1175, best known 1175
# produced by baseline_quick run 1; recheck with verify_certificate.py
task;job;operation;machine;start;duration;completion
0;0;0;3;0;72;72
1;0;1;7;72;51;123
2;0;2;6;123;42;165
3;0;3;14;206;31;237
4;0;4;9;237;61;298
5;0;5;8;298;46;344
6;0;6;5;400;88;488
7;0;7;4;488;33;521
8;0;8;10;521;27;548
9;0;9;1;556;85;641
10;0;10;0;764;70;834
11;0;11;12;839;56;895
12;0;12;11;895;70;965
13;0;13;2;965;50;1015
14;0;14;13;1028;25;1053
15;1;0;1;45;19;64
16;1;1;11;195;79;274
17;1;2;0;274;79;353
18;1;3;5;353;47;400
19;1;4;8;400;40;440
20;1;5;13;440;67;507
21;1;6;3;507;43;550
22;1;7;10;550;65;615
23;1;8;9;716;84;800
24;1;9;2;801;61;862
25;1;10;12;895;30;925
26;1;11;6;925;56;981
27;1;12;4;981;19;1000
28;1;13;7;1003;91;1094
29;1;14;14;1094;68;1162
30;2;0;7;123;94;217
31;2;1;3;217;7;224
32;2;2;8;224;2;226
33;2;3;11;355;95;450
34;2;4;0;494;60;554
35;2;5;4;554;82;636
36;2;6;9;636;76;712
37;2;7;13;712;36;748
38;2;8;1;748;8;756
39;2;9;10;756;85;841
40;2;10;6;864;7;871
41;2;11;5;897;44;941
42;2;12;14;941;2;943
43;2;13;12;943;72;1015
44;2;14;2;1084;91;1175
45;3;0;6;9;58;67
46;3;1;11;84;67;151
47;3;2;5;151;84;235
48;3;3;13;235;34;269
49;3;4;3;269;19;288
50;3;5;2;288;19;307
51;3;6;1;307;94;401
52;3;7;4;401;41;442
53;3;8;9;452;98;550
54;3;9;12;550;96;646
55;3;10;8;646;25;671
56;3;11;0;683;40;723
57;3;12;14;723;74;797
58;3;13;7;874;88;962
59;3;14;10;1026;74;1100
60;4;0;1;0;45;45
61;4;1;11;450;60;510
62;4;2;6;550;8;558
63;4;3;5;558;29;587
64;4;4;8;601;32;633
65;4;5;7;638;42;680
66;4;6;12;680;25;705
67;4;7;9;712;4;716
68;4;8;2;730;71;801
69;4;9;14;801;79;880
70;4;10;13;880;93;973
71;4;11;3;981;28;1009
72;4;12;0;1009;30;1039
73;4;13;4;1066;17;1083
74;4;14;10;1100;43;1143
75;5;0;11;0;84;84
76;5;1;2;104;56;160
77;5;2;12;160;46;206
78;5;3;1;209;93;302
79;5;4;14;344;66;410
80;5;5;0;410;84;494
81;5;6;6;510;40;550
82;5;7;9;550;4;554
83;5;8;3;554;15;569
84;5;9;13;569;15;584
85;5;10;7;584;54;638
86;5;11;10;684;39;723
87;5;12;4;723;77;800
88;5;13;5;800;55;855
89;5;14;8;1045;31;1076
90;6;0;14;0;65;65
91;6;1;7;217;91;308
92;6;2;11;336;17;353
93;6;3;0;353;47;400
94;6;4;12;418;77;495
95;6;5;8;671;68;739
96;6;6;9;800;62;862
97;6;7;10;862;22;884
98;6;8;3;909;72;981
99;6;9;13;981;47;1028
100;6;10;4;1028;38;1066
101;6;11;1;1066;7;1073
102;6;12;2;1073;11;1084
103;6;13;6;1084;22;1106
104;6;14;5;1112;63;1175
105;7;0;7;0;12;12
106;7;1;4;12;21;33
107;7;2;13;33;60;93
108;7;3;5;93;42;135
109;7;4;14;410;22;432
110;7;5;11;572;84;656
111;7;6;2;670;60;730
112;7;7;12;787;52;839
