# instance ta06, makespan 1240, lower bound 1238, best known 1238
# produced by conf_jsp_abc_n2_tenure_60s run 10; recheck with verify_certificate.py
task;job;operation;machine;start;duration;completion
0;0;0;7;39;96;135
1;0;1;12;135;23;158
2;0;2;5;292;71;363
3;0;3;8;363;26;389
4;0;4;3;389;28;417
5;0;5;14;417;16;433
6;0;6;13;440;27;467
7;0;7;9;467;71;538
8;0;8;0;538;18;556
9;0;9;1;603;57;660
10;0;10;4;687;43;730
11;0;11;2;730;5;735
12;0;12;6;762;12;774
13;0;13;11;796;91;887
14;0;14;10;1010;63;1073
15;1;0;8;0;32;32
16;1;1;0;32;81;113
17;1;2;5;197;95;292
18;1;3;13;307;79;386
19;1;4;6;386;55;441
20;1;5;1;441;45;486
21;1;6;4;486;60;546
22;1;7;2;546;73;619
23;1;8;3;622;23;645
24;1;9;11;691;44;735
25;1;10;10;735;92;827
26;1;11;12;827;20;847
27;1;12;9;914;5;919
28;1;13;14;919;72;991
29;1;14;7;992;73;1065
30;2;0;6;0;63;63
31;2;1;8;131;93;224
32;2;2;7;224;63;287
33;2;3;1;287;79;366
34;2;4;9;386;10;396
35;2;5;5;396;66;462
36;2;6;12;500;27;527
37;2;7;4;730;93;823
38;2;8;0;823;24;847
39;2;9;2;847;26;873
40;2;10;14;873;8;881
41;2;11;11;887;69;956
42;2;12;3;967;29;996
43;2;13;13;996;66;1062
44;2;14;10;1140;97;1237
45;3;0;12;0;80;80
46;3;1;0;113;87;200
47;3;2;14;260;68;328
48;3;3;7;328;23;351
49;3;4;13;386;54;440
50;3;5;1;486;16;502
51;3;6;6;511;68;579
52;3;7;8;579;32;611
53;3;8;11;614;74;688
54;3;9;2;688;3;691
55;3;10;3;691;2;693
56;3;11;9;744;71;815
57;3;12;5;854;4;858
58;3;13;10;1073;67;1140
59;3;14;4;1140;28;1168
60;4;0;8;259;46;305
61;4;1;2;307;96;403
62;4;2;12;403;11;414
63;4;3;11;414;41;455
64;4;4;10;455;93;548
65;4;5;9;548;2;550
66;4;6;4;550;98;648
67;4;7;3;648;10;658
68;4;8;14;658;43;701
69;4;9;5;701;65;766
70;4;10;0;766;27;793
71;4;11;7;935;57;992
72;4;12;6;992;75;1067
73;4;13;13;1067;87;1154
74;4;14;1;1154;81;1235
75;5;0;13;9;5;14
76;5;1;8;40;91;131
77;5;2;6;177;92;269
78;5;3;11;269;87;356
79;5;4;14;433;66;499
80;5;5;9;589;36;625
81;5;6;12;689;67;756
82;5;7;7;756;88;844
83;5;8;0;847;92;939
84;5;9;1;939;27;966
85;5;10;10;997;13;1010
86;5;11;2;1010;7;1017
87;5;12;5;1029;95;1124
88;5;13;3;1124;66;1190
89;5;14;4;1190;13;1203
90;6;0;4;30;90;120
91;6;1;1;120;33;153
92;6;2;2;153;78;231
93;6;3;13;231;76;307
94;6;4;7;351;93;444
95;6;5;6;444;67;511
96;6;6;0;556;82;638
97;6;7;8;638;94;732
98;6;8;12;805;12;817
99;6;9;14;817;5;822
100;6;10;10;827;85;912
101;6;11;9;919;42;961
102;6;12;5;961;4;965
103;6;13;3;965;2;967
104;6;14;11;1018;70;1088
105;7;0;4;194;79;273
106;7;1;10;273;24;297
107;7;2;14;328;41;369
108;7;3;3;466;83;549
109;7;4;6;579;45;624
110;7;5;13;624;29;653
111;7;6;11;688;3;691
112;7;7;9;702;42;744
113;7;8;0;793;5;798
114;7;9;5;810;44;854
115;7;10;1;854;83;937
116;7;11;12;937;59;996
117;7;12;8;996;60;1056
118;7;13;7;1065;78;1143
119;7;14;2;1143;44;1187
120;8;0;7;0;19;19
121;8;1;1;19;55;74
122;8;2;5;74;20;94
123;8;3;4;120;74;194
124;8;4;14;194;66;260
125;8;5;8;305;37;342
126;8;6;0;342;55;397
127;8;7;9;397;63;460
128;8;8;12;460;40;500
129;8;9;3;549;73;622
130;8;10;10;639;55;694
131;8;11;2;735;84;819
132;8;12;13;819;54;873
133;8;13;11;956;62;1018
134;8;14;6;1067;6;1073
135;9;0;3;0;27;27
136;9;1;6;118;59;177
137;9;2;13;207;6;213
138;9;3;4;273;90;363
139;9;4;5;363;6;369
140;9;5;10;369;37;406
141;9;6;2;406;64;470
142;9;7;8;470;35;505
143;9;8;12;527;25;552
144;9;9;11;555;59;614
145;9;10;9;625;77;702
146;9;11;7;702;30;732
147;9;12;14;808;1;809
148;9;13;1;811;7;818
149;9;14;0;1027;70;1097
150;10;0;1;0;4;4
151;10;1;4;421;53;474
152;10;2;7;474;6;480
153;10;3;2;480;10;490
154;10;4;14;499;51;550
155;10;5;10;550;89;639
156;10;6;12;651;38;689
157;10;7;13;689;38;727
158;10;8;6;727;35;762
159;10;9;5;766;44;810
160;10;10;9;815;99;914
161;10;11;0;939;88;1027
162;10;12;3;1027;52;1079
163;10;13;8;1079;16;1095
164;10;14;11;1095;99;1194
165;11;0;0;0;28;28
166;11;1;7;28;11;39
167;11;2;14;80;76;156
168;11;3;13;156;51;207
169;11;4;8;224;35;259
170;11;5;3;259;60;319
171;11;6;6;336;44;380
172;11;7;9;550;39;589
173;11;8;5;631;66;697
174;11;9;12;756;49;805
175;11;10;10;935;40;975
176;11;11;4;975;34;1009
177;11;12;1;1009;80;1089
178;11;13;2;1089;38;1127
179;11;14;11;1194;29;1223
180;12;0;14;156;31;187
181;12;1;10;187;32;219
182;12;2;0;219;40;259
183;12;3;8;389;25;414
184;12;4;12;414;40;454
185;12;5;13;467;85;552
186;12;6;4;648;39;687
187;12;7;11;735;61;796
188;12;8;1;796;15;811
189;12;9;3;811;41;852
190;12;10;6;852;93;945
191;12;11;5;965;64;1029
192;12;12;2;1029;16;1045
193;12;13;9;1054;81;1135
194;12;14;7;1143;97;1240
195;13;0;13;0;9;9
196;13;1;4;9;21;30
197;13;2;8;32;8;40
198;13;3;6;63;55;118
199;13;4;5;118;79;197
200;13;5;2;231;76;307
201;13;6;9;307;79;386
202;13;7;0;397;61;458
203;13;8;11;458;68;526
204;13;9;12;552;99;651
205;13;10;1;660;24;684
206;13;11;3;693;23;716
207;13;12;14;716;92;808
208;13;13;7;844;91;935
209;13;14;10;975;22;997
210;14;0;14;0;80;80
211;14;1;2;80;30;110
212;14;2;6;269;67;336
213;14;3;4;363;58;421
214;14;4;3;421;45;466
215;14;5;11;526;29;555
216;14;6;1;555;48;603
217;14;7;5;603;28;631
218;14;8;7;631;64;695
219;14;9;0;695;63;758
220;14;10;8;758;80;838
221;14;11;10;912;23;935
222;14;12;9;961;93;1054
223;14;13;12;1054;55;1109
224;14;14;13;1154;48;1202
