# instance ta10, makespan 1241, lower bound 1241, best known 1241
# produced by conf_bj_j1_b10_60s run 4; recheck with verify_certificate.py
task;job;operation;machine;start;duration;completion
0;0;0;8;0;35;35
1;0;1;2;35;78;113
2;0;2;7;113;79;192
3;0;3;14;196;65;261
4;0;4;12;261;53;314
5;0;5;0;314;14;328
6;0;6;4;329;93;422
7;0;7;3;517;70;587
8;0;8;13;604;14;618
9;0;9;5;618;90;708
10;0;10;9;708;95;803
11;0;11;10;820;49;869
12;0;12;6;886;36;922
13;0;13;1;981;85;1066
14;0;14;11;1135;1;1136
15;1;0;2;113;83;196
16;1;1;8;237;41;278
17;1;2;6;278;22;300
18;1;3;4;300;29;329
19;1;4;11;329;52;381
20;1;5;0;381;71;452
21;1;6;9;452;16;468
22;1;7;7;468;93;561
23;1;8;5;561;54;615
24;1;9;3;625;63;688
25;1;10;1;723;12;735
26;1;11;10;735;85;820
27;1;12;13;820;62;882
28;1;13;14;1108;45;1153
29;1;14;12;1153;30;1183
30;2;0;5;0;60;60
31;2;1;11;93;43;136
32;2;2;8;278;71;349
33;2;3;14;349;2;351
34;2;4;12;351;50;401
35;2;5;1;401;37;438
36;2;6;4;438;86;524
37;2;7;9;524;81;605
38;2;8;10;605;60;665
39;2;9;6;665;57;722
40;2;10;13;735;66;801
41;2;11;0;803;24;827
42;2;12;2;868;98;966
43;2;13;3;991;92;1083
44;2;14;7;1096;69;1165
45;3;0;9;0;14;14
46;3;1;13;150;59;209
47;3;2;8;349;35;384
48;3;3;6;386;6;392
49;3;4;12;401;25;426
50;3;5;5;468;57;525
51;3;6;10;525;1;526
52;3;7;2;526;44;570
53;3;8;1;570;94;664
54;3;9;0;677;30;707
55;3;10;14;707;95;802
56;3;11;11;814;93;907
57;3;12;3;924;51;975
58;3;13;4;1028;52;1080
59;3;14;7;1080;16;1096
60;4;0;8;95;96;191
61;4;1;10;191;39;230
62;4;2;3;230;75;305
63;4;3;13;305;98;403
64;4;4;14;403;2;405
65;4;5;5;430;38;468
66;4;6;4;525;69;594
67;4;7;0;594;32;626
68;4;8;12;631;95;726
69;4;9;11;732;63;795
70;4;10;9;803;4;807
71;4;11;6;807;11;818
72;4;12;2;818;50;868
73;4;13;1;868;95;963
74;4;14;7;963;78;1041
75;5;0;7;0;73;73
76;5;1;2;264;28;292
77;5;2;9;340;43;383
78;5;3;5;383;47;430
79;5;4;10;430;57;487
80;5;5;4;673;88;761
81;5;6;3;761;33;794
82;5;7;1;794;13;807
83;5;8;11;807;7;814
84;5;9;8;814;49;863
85;5;10;6;863;23;886
86;5;11;14;891;38;929
87;5;12;13;929;21;950
88;5;13;0;950;99;1049
89;5;14;12;1049;72;1121
90;6;0;2;27;3;30
91;6;1;10;30;80;110
92;6;2;1;110;67;177
93;6;3;12;463;93;556
94;6;4;14;596;91;687
95;6;5;3;688;31;719
96;6;6;0;719;52;771
97;6;7;4;843;64;907
98;6;8;9;907;83;990
99;6;9;5;990;2;992
100;6;10;11;1001;90;1091
101;6;11;13;1091;64;1155
102;6;12;7;1165;16;1181
103;6;13;8;1181;18;1199
104;6;14;6;1199;25;1224
105;7;0;13;0;23;23
106;7;1;6;41;30;71
107;7;2;11;71;22;93
108;7;3;12;199;54;253
109;7;4;8;527;68;595
110;7;5;7;724;63;787
111;7;6;14;802;89;891
112;7;7;5;891;95;986
113;7;8;3;986;5;991
114;7;9;4;991;37;1028
115;7;10;0;1049;5;1054
116;7;11;10;1068;42;1110
117;7;12;2;1110;17;1127
118;7;13;1;1140;54;1194
119;7;14;9;1194;46;1240
120;8;0;8;191;44;235
121;8;1;4;235;59;294
122;8;2;6;392;87;479
123;8;3;7;561;62;623
124;8;4;0;626;51;677
125;8;5;11;677;55;732
126;8;6;13;732;3;735
127;8;7;12;735;40;775
128;8;8;2;775;26;801
129;8;9;3;813;18;831
130;8;10;10;869;15;884
131;8;11;1;963;18;981
132;8;12;5;992;72;1064
133;8;13;14;1073;35;1108
134;8;14;9;1108;60;1168
135;9;0;2;0;27;27
136;9;1;6;27;14;41
137;9;2;12;41;77;118
138;9;3;9;161;24;185
139;9;4;8;472;55;527
140;9;5;11;594;67;661
141;9;6;1;664;59;723
142;9;7;3;794;19;813
143;9;8;13;882;29;911
144;9;9;4;911;33;944
145;9;10;10;980;88;1068
146;9;11;5;1068;30;1098
147;9;12;0;1098;91;1189
148;9;13;7;1189;11;1200
149;9;14;14;1200;11;1211
150;10;0;0;0;67;67
151;10;1;9;67;94;161
152;10;2;4;161;50;211
153;10;3;8;235;2;237
154;10;4;10;237;83;320
155;10;5;2;320;19;339
156;10;6;11;381;29;410
157;10;7;12;426;37;463
158;10;8;14;463;58;521
159;10;9;6;521;32;553
160;10;10;3;587;38;625
161;10;11;7;625;99;724
162;10;12;5;724;88;812
163;10;13;1;812;49;861
164;10;14;13;950;70;1020
165;11;0;8;35;60;95
166;11;1;1;95;7;102
167;11;2;12;118;81;199
168;11;3;5;199;82;281
169;11;4;7;281;58;339
170;11;5;10;339;83;422
171;11;6;9;422;16;438
172;11;7;4;524;1;525
173;11;8;11;525;69;594
174;11;9;6;594;7;601
175;11;10;13;601;3;604
176;11;11;2;604;84;688
177;11;12;14;688;8;696
178;11;13;0;707;12;719
179;11;14;3;831;93;924
180;12;0;13;23;92;115
181;12;1;14;115;81;196
182;12;2;2;196;4;200
183;12;3;9;200;78;278
184;12;4;7;339;9;348
185;12;5;8;384;78;462
186;12;6;12;556;75;631
187;12;7;4;668;5;673
188;12;8;10;673;50;723
189;12;9;6;723;8;731
190;12;10;1;735;44;779
191;12;11;0;799;4;803
192;12;12;5;812;60;872
193;12;13;11;907;94;1001
194;12;14;3;1083;74;1157
195;13;0;1;0;32;32
196;13;1;0;67;88;155
197;13;2;12;314;31;345
198;13;3;2;345;68;413
199;13;4;13;413;31;444
200;13;5;8;462;10;472
201;13;6;3;472;45;517
202;13;7;14;521;75;596
203;13;8;4;761;82;843
204;13;9;7;843;51;894
205;13;10;6;922;55;977
206;13;11;9;990;99;1089
207;13;12;11;1091;44;1135
208;13;13;10;1135;84;1219
209;13;14;5;1219;22;1241
210;14;0;3;0;12;12
211;14;1;13;115;35;150
212;14;2;2;200;64;264
213;14;3;5;281;17;298
214;14;4;9;298;42;340
215;14;5;6;340;46;386
216;14;6;7;386;65;451
217;14;7;4;594;74;668
218;14;8;8;668;96;764
219;14;9;0;771;28;799
220;14;10;12;799;86;885
221;14;11;10;885;95;980
222;14;12;14;980;93;1073
223;14;13;1;1073;67;1140
224;14;14;11;1140;56;1196
