# instance ta18, makespan 1423, lower bound 1377, best known 1396
# produced by open_baseline_300s run 3; recheck with verify_certificate.py
task;job;operation;machine;start;duration;completion
0;0;0;1;109;70;179
1;0;1;6;179;6;185
2;0;2;10;185;29;214
3;0;3;14;269;55;324
4;0;4;7;326;14;340
5;0;5;5;354;33;387
6;0;6;13;387;66;453
7;0;7;4;453;14;467
8;0;8;3;744;7;751
9;0;9;8;867;57;924
10;0;10;0;924;55;979
11;0;11;9;979;18;997
12;0;12;12;1023;62;1085
13;0;13;2;1198;46;1244
14;0;14;11;1321;92;1413
15;1;0;0;103;30;133
16;1;1;9;133;53;186
17;1;2;3;202;19;221
18;1;3;2;237;1;238
19;1;4;8;299;98;397
20;1;5;5;397;81;478
21;1;6;14;478;63;541
22;1;7;12;541;62;603
23;1;8;6;603;10;613
24;1;9;11;613;15;628
25;1;10;10;685;73;758
26;1;11;7;758;75;833
27;1;12;4;871;80;951
28;1;13;1;956;84;1040
29;1;14;13;1061;97;1158
30;2;0;1;182;42;224
31;2;1;6;224;61;285
32;2;2;2;304;6;310
33;2;3;11;336;60;396
34;2;4;3;467;24;491
35;2;5;4;537;70;607
36;2;6;10;607;78;685
37;2;7;9;781;11;792
38;2;8;12;835;35;870
39;2;9;8;924;38;962
40;2;10;7;1005;61;1066
41;2;11;5;1077;90;1167
42;2;12;0;1218;74;1292
43;2;13;14;1292;1;1293
44;2;14;13;1326;60;1386
45;3;0;12;0;76;76
46;3;1;14;185;84;269
47;3;2;8;405;72;477
48;3;3;9;489;17;506
49;3;4;5;507;27;534
50;3;5;3;575;86;661
51;3;6;0;661;84;745
52;3;7;1;745;71;816
53;3;8;13;864;90;954
54;3;9;10;965;27;992
55;3;10;6;992;13;1005
56;3;11;11;1005;98;1103
57;3;12;4;1116;3;1119
58;3;13;7;1179;57;1236
59;3;14;2;1244;66;1310
60;4;0;14;0;38;38
61;4;1;10;38;58;96
62;4;2;8;608;80;688
63;4;3;6;688;24;712
64;4;4;0;745;50;795
65;4;5;4;795;76;871
66;4;6;5;871;6;877
67;4;7;9;877;12;889
68;4;8;11;889;26;915
69;4;9;3;915;14;929
70;4;10;7;970;35;1005
71;4;11;13;1023;38;1061
72;4;12;1;1061;55;1116
73;4;13;12;1231;33;1264
74;4;14;2;1310;42;1352
75;5;0;8;0;77;77
76;5;1;2;89;87;176
77;5;2;9;186;59;245
78;5;3;12;310;19;329
79;5;4;3;491;84;575
80;5;5;0;575;85;660
81;5;6;13;686;63;749
82;5;7;14;784;51;835
83;5;8;5;835;18;853
84;5;9;11;853;29;882
85;5;10;7;901;2;903
86;5;11;1;943;13;956
87;5;12;4;1030;1;1031
88;5;13;6;1103;25;1128
89;5;14;10;1128;54;1182
90;6;0;5;38;19;57
91;6;1;3;661;83;744
92;6;2;8;744;71;815
93;6;3;7;833;22;855
94;6;4;0;855;4;859
95;6;5;12;870;68;938
96;6;6;4;951;68;1019
97;6;7;2;1019;88;1107
98;6;8;14;1107;80;1187
99;6;9;6;1187;55;1242
100;6;10;10;1242;11;1253
101;6;11;11;1253;19;1272
102;6;12;9;1272;39;1311
103;6;13;1;1311;68;1379
104;6;14;13;1386;37;1423
105;7;0;5;0;38;38
106;7;1;8;201;98;299
107;7;2;12;299;11;310
108;7;3;1;310;3;313
109;7;4;7;340;33;373
110;7;5;4;373;43;416
111;7;6;2;441;19;460
112;7;7;9;506;90;596
113;7;8;6;613;56;669
114;7;9;14;701;83;784
115;7;10;13;788;76;864
116;7;11;0;1121;97;1218
117;7;12;3;1218;2;1220
118;7;13;10;1324;76;1400
119;7;14;11;1413;1;1414
120;8;0;14;38;25;63
121;8;1;8;77;65;142
122;8;2;7;154;88;242
123;8;3;12;242;56;298
124;8;4;6;298;75;373
125;8;5;10;395;48;443
126;8;6;0;457;40;497
127;8;7;1;497;19;516
128;8;8;11;539;39;578
129;8;9;9;596;40;636
130;8;10;5;636;43;679
131;8;11;4;694;99;793
132;8;12;2;793;23;816
133;8;13;3;823;74;897
134;8;14;13;984;39;1023
135;9;0;0;0;97;97
136;9;1;14;97;66;163
137;9;2;2;310;54;364
138;9;3;5;478;29;507
139;9;4;10;507;23;530
140;9;5;4;685;9;694
