# instance ta44, makespan 2049, lower bound 1948, best known 1979
# produced by open_backjump_300s run 3; recheck with verify_certificate.py
task;job;operation;machine;start;duration;completion
0;0;0;5;0;51;51
1;0;1;0;233;93;326
2;0;2;6;382;49;431
3;0;3;16;434;1;435
4;0;4;2;507;52;559
5;0;5;15;602;26;628
6;0;6;19;628;74;702
7;0;7;10;702;59;761
8;0;8;12;774;44;818
9;0;9;13;880;8;888
10;0;10;4;1016;81;1097
11;0;11;3;1242;95;1337
12;0;12;9;1355;68;1423
13;0;13;17;1423;57;1480
14;0;14;18;1522;57;1579
15;0;15;1;1579;40;1619
16;0;16;7;1624;17;1641
17;0;17;8;1641;92;1733
18;0;18;14;1733;88;1821
19;0;19;11;1821;6;1827
20;1;0;17;0;75;75
21;1;1;11;75;22;97
22;1;2;16;97;11;108
23;1;3;13;401;49;450
24;1;4;1;469;31;500
25;1;5;7;500;32;532
26;1;6;4;532;5;537
27;1;7;14;537;51;588
28;1;8;10;615;14;629
29;1;9;8;785;43;828
30;1;10;2;828;43;871
31;1;11;19;871;24;895
32;1;12;3;895;83;978
33;1;13;12;1269;67;1336
34;1;14;6;1356;2;1358
35;1;15;5;1358;45;1403
36;1;16;0;1456;75;1531
37;1;17;15;1602;35;1637
38;1;18;9;1704;50;1754
39;1;19;18;1820;95;1915
40;2;0;15;31;80;111
41;2;1;9;111;13;124
42;2;2;18;124;36;160
43;2;3;19;212;51;263
44;2;4;1;406;63;469
45;2;5;16;469;58;527
46;2;6;17;559;30;589
47;2;7;8;596;75;671
48;2;8;0;674;72;746
49;2;9;14;778;92;870
50;2;10;13;888;13;901
51;2;11;2;901;13;914
52;2;12;7;958;92;1050
53;2;13;3;1072;12;1084
54;2;14;12;1560;76;1636
55;2;15;11;1636;29;1665
56;2;16;5;1702;64;1766
57;2;17;6;1766;58;1824
58;2;18;10;1966;26;1992
59;2;19;4;1992;21;2013
60;3;0;13;44;91;135
61;3;1;1;135;95;230
62;3;2;19;272;51;323
63;3;3;2;432;75;507
64;3;4;10;507;89;596
65;3;5;6;931;56;987
66;3;6;8;989;74;1063
67;3;7;3;1084;60;1144
68;3;8;0;1187;86;1273
69;3;9;16;1368;70;1438
70;3;10;9;1473;97;1570
71;3;11;5;1605;11;1616
72;3;12;14;1616;61;1677
73;3;13;17;1677;68;1745
74;3;14;15;1745;43;1788
75;3;15;11;1788;5;1793
76;3;16;12;1817;17;1834
77;3;17;4;1854;18;1872
78;3;18;18;1915;14;1929
79;3;19;7;1955;93;2048
80;4;0;13;0;40;40
81;4;1;3;41;9;50
82;4;2;2;50;80;130
83;4;3;19;130;82;212
84;4;4;1;339;67;406
85;4;5;0;406;33;439
86;4;6;15;518;84;602
87;4;7;6;725;39;764
88;4;8;18;767;48;815
89;4;9;14;870;89;959
90;4;10;5;974;95;1069
91;4;11;16;1069;60;1129
92;4;12;17;1129;4;1133
93;4;13;9;1133;99;1232
94;4;14;11;1250;92;1342
95;4;15;10;1394;52;1446
96;4;16;12;1481;79;1560
97;4;17;7;1611;9;1620
98;4;18;4;1620;89;1709
99;4;19;8;1733;54;1787
100;5;0;6;0;55;55
101;5;1;17;248;70;318
102;5;2;14;331;95;426
103;5;3;19;467;60;527
104;5;4;7;532;9;541
105;5;5;12;584;82;666
106;5;6;3;753;52;805
107;5;7;18;815;30;845
108;5;8;5;861;6;867
109;5;9;11;867;27;894
110;5;10;8;916;57;973
111;5;11;0;997;89;1086
112;5;12;1;1127;63;1190
113;5;13;15;1190;29;1219
114;5;14;16;1219;55;1274
115;5;15;10;1357;37;1394
116;5;16;13;1394;66;1460
117;5;17;4;1597;16;1613
118;5;18;2;1620;87;1707
119;5;19;9;1754;63;1817
120;6;0;0;176;44;220
121;6;1;10;220;47;267
122;6;2;15;347;90;437
123;6;3;11;437;35;472
124;6;4;17;635;79;714
125;6;5;14;714;57;771
126;6;6;5;916;58;974
127;6;7;6;1071;98;1169
128;6;8;8;1172;62;1234
129;6;9;3;1234;8;1242
130;6;10;9;1242;31;1273
131;6;11;16;1274;94;1368
132;6;12;12;1368;49;1417
133;6;13;2;1417;90;1507
134;6;14;1;1516;11;1527
135;6;15;19;1538;63;1601
136;6;16;18;1601;22;1623
137;6;17;13;1623;44;1667
138;6;18;7;1678;96;1774
139;6;19;4;1872;86;1958
140;7;0;9;0;63;63
141;7;1;10;137;80;217
142;7;2;8;413;72;485
143;7;3;13;485;83;568
144;7;4;16;568;25;593
145;7;5;18;712;55;767
146;7;6;15;816;68;884
147;7;7;3;1030;42;1072
148;7;8;6;1358;70;1428
149;7;9;5;1428;64;1492
150;7;10;1;1492;24;1516
151;7;11;11;1516;7;1523
152;7;12;14;1533;45;1578
153;7;13;0;1628;12;1640
154;7;14;7;1661;17;1678
155;7;15;17;1745;8;1753
156;7;16;2;1770;41;1811
157;7;17;12;1834;88;1922
158;7;18;4;1958;7;1965
159;7;19;19;1965;83;2048
160;8;0;4;0;68;68
161;8;1;6;227;99;326
162;8;2;19;326;37;363
163;8;3;5;467;33;500
164;8;4;2;559;72;631
165;8;5;9;631;98;729
166;8;6;16;802;92;894
167;8;7;18;894;28;922
168;8;8;7;922;14;936
169;8;9;8;973;16;989
170;8;10;12;1128;99;1227
171;8;11;1;1227;9;1236
172;8;12;15;1352;93;1445
173;8;13;13;1460;25;1485
174;8;14;17;1485;8;1493
175;8;15;10;1566;64;1630
176;8;16;0;1695;4;1699
177;8;17;14;1821;74;1895
178;8;18;3;1927;35;1962
179;8;19;11;1962;37;1999
180;9;0;17;138;79;217
181;9;1;1;230;34;264
182;9;2;12;264;36;300
183;9;3;5;301;83;384
184;9;4;2;384;48;432
185;9;5;3;432;23;455
186;9;6;8;485;2;487
187;9;7;7;487;5;492
188;9;8;6;505;16;521
189;9;9;9;521;76;597
190;9;10;19;702;10;712
191;9;11;15;721;95;816
192;9;12;14;959;12;971
193;9;13;10;1021;94;1115
194;9;14;4;1115;46;1161
195;9;15;18;1316;53;1369
196;9;16;11;1385;35;1420
197;9;17;16;1438;73;1511
198;9;18;13;1511;78;1589
199;9;19;0;1640;55;1695
200;10;0;17;217;31;248
201;10;1;15;272;75;347
202;10;2;11;391;11;402
203;10;3;0;476;92;568
204;10;4;7;568;46;614
205;10;5;6;764;84;848
206;10;6;5;877;39;916
207;10;7;9;916;17;933
208;10;8;4;933;83;1016
209;10;9;12;1041;87;1128
210;10;10;10;1144;86;1230
211;10;11;2;1268;93;1361
212;10;12;14;1419;68;1487
213;10;13;16;1562;67;1629
214;10;14;19;1653;83;1736
215;10;15;3;1736;4;1740
216;10;16;13;1740;96;1836
217;10;17;8;1836;3;1839
218;10;18;1;1839;7;1846
219;10;19;18;1929;51;1980
220;11;0;13;40;4;44
221;11;1;14;55;50;105
222;11;2;2;169;20;189
223;11;3;5;227;74;301
224;11;4;0;439;37;476
225;11;5;11;476;95;571
226;11;6;16;668;65;733
227;11;7;17;808;83;891
228;11;8;15;1006;98;1104
229;11;9;9;1107;25;1132
230;11;10;18;1188;64;1252
231;11;11;6;1266;90;1356
232;11;12;19;1487;51;1538
233;11;13;7;1550;61;1611
234;11;14;12;1673;97;1770
235;11;15;3;1770;70;1840
236;11;16;4;1840;14;1854
237;11;17;1;1854;13;1867
