instance,jobs,machines,lb,bks,status
ta01,15,15,1231,1231,closed
ta02,15,15,1244,1244,closed
ta03,15,15,1218,1218,closed
ta04,15,15,1175,1175,closed
ta05,15,15,1224,1224,closed
ta06,15,15,1238,1238,closed
ta07,15,15,1227,1227,closed
ta08,15,15,1217,1217,closed
ta09,15,15,1274,1274,closed
ta10,15,15,1241,1241,closed
ta11,20,15,1357,1357,closed
ta12,20,15,1367,1367,closed
ta13,20,15,1342,1342,closed
ta14,20,15,1345,1345,closed
ta15,20,15,1339,1339,closed
ta16,20,15,1360,1360,closed
ta17,20,15,1462,1462,closed
ta18,20,15,1377,1396,open
ta19,20,15,1332,1332,closed
ta20,20,15,1348,1348,closed
ta21,20,20,1642,1642,closed
ta22,20,20,1561,1600,open
ta23,20,20,1518,1557,open
ta24,20,20,1644,1644,closed
ta25,20,20,1558,1595,open
ta26,20,20,1591,1643,open
ta27,20,20,1652,1680,open
ta28,20,20,1603,1603,closed
ta29,20,20,1573,1625,open
ta30,20,20,1519,1584,open
ta31,30,15,1764,1764,closed
ta32,30,15,1774,1784,open
ta33,30,15,1788,1791,open
ta34,30,15,1828,1829,open
ta35,30,15,2007,2007,closed
ta36,30,15,1819,1819,closed
ta37,30,15,1771,1771,closed
ta38,30,15,1673,1673,closed
ta39,30,15,1795,1795,closed
ta40,30,15,1651,1669,open
ta41,30,20,1906,2005,open
ta42,30,20,1884,1937,open
ta43,30,20,1809,1846,open
ta44,30,20,1948,1979,open
ta45,30,20,1997,2000,open
ta46,30,20,1957,2004,open
ta47,30,20,1807,1889,open
ta48,30,20,1912,1937,open
ta49,30,20,1931,1961,open
ta50,30,20,1833,1923,open
ta51,50,15,2760,2760,closed
ta52,50,15,2756,2756,closed
ta53,50,15,2717,2717,closed
ta54,50,15,2839,2839,closed
ta55,50,15,2679,2679,closed
ta56,50,15,2781,2781,closed
ta57,50,15,2943,2943,closed
ta58,50,15,2885,2885,closed
ta59,50,15,2655,2655,closed
ta60,50,15,2723,2723,closed
ta61,50,20,2868,2868,closed
ta62,50,20,2869,2869,closed
ta63,50,20,2755,2755,closed
ta64,50,20,2702,2702,closed
ta65,50,20,2725,2725,closed
ta66,50,20,2845,2845,closed
ta67,50,20,2825,2825,closed
ta68,50,20,2784,2784,closed
ta69,50,20,3071,3071,closed
ta70,50,20,2995,2995,closed
ta71,100,20,5464,5464,closed
ta72,100,20,5181,5181,closed
ta73,100,20,5568,5568,closed
ta74,100,20,5339,5339,closed
ta75,100,20,5392,5392,closed
ta76,100,20,5342,5342,closed
ta77,100,20,5436,5436,closed
ta78,100,20,5394,5394,closed
ta79,100,20,5358,5358,closed
ta80,100,20,5183,5183,closed
