config,neigh,comp,instance,run,lower,upper,midpoint
n1_TS,n1,TS,F0.15.0.abz7_06,1,642.0,725.0,683.5
n1_TS,n1,TS,F0.15.0.abz7_06,2,650.0,725.0,687.5
n1_TS,n1,TS,F0.15.0.abz7_06,3,652.0,719.0,685.5
n1_TS,n1,TS,F0.15.0.abz7_06,4,643.0,712.0,677.5
n1_TS,n1,TS,F0.15.0.abz7_06,5,655.0,725.0,690.0
n1_TS,n1,TS,F0.15.0.abz7_06,6,641.0,724.0,682.5
n1_TS,n1,TS,F0.15.0.abz7_06,7,636.0,717.0,676.5
n1_TS,n1,TS,F0.15.0.abz7_06,8,630.0,717.0,673.5
n1_TS,n1,TS,F0.15.0.abz7_06,9,634.0,711.0,672.5
n1_TS,n1,TS,F0.15.0.abz7_06,10,643.0,721.0,682.0
n1_TS,n1,TS,F0.15.0.abz7_06,11,639.0,717.0,678.0
n1_TS,n1,TS,F0.15.0.abz7_06,12,642.0,727.0,684.5
n1_TS,n1,TS,F0.15.0.abz7_06,13,646.0,725.0,685.5
n1_TS,n1,TS,F0.15.0.abz7_06,14,636.0,720.0,678.0
n1_TS,n1,TS,F0.15.0.abz7_06,15,642.0,720.0,681.0
n1_TS,n1,TS,F0.15.0.abz7_06,16,638.0,719.0,678.5
n1_TS,n1,TS,F0.15.0.abz7_06,17,640.0,717.0,678.5
n1_TS,n1,TS,F0.15.0.abz7_06,18,640.0,723.0,681.5
n1_TS,n1,TS,F0.15.0.abz7_06,19,635.0,714.0,674.5
n1_TS,n1,TS,F0.15.0.abz7_06,20,641.0,713.0,677.0
n1_TS,n1,TS,F0.15.0.abz7_06,21,637.0,719.0,678.0
n1_TS,n1,TS,F0.15.0.abz7_06,22,637.0,718.0,677.5
n1_TS,n1,TS,F0.15.0.abz7_06,23,643.0,720.0,681.5
n1_TS,n1,TS,F0.15.0.abz7_06,24,627.0,715.0,671.0
n1_TS,n1,TS,F0.15.0.abz7_06,25,633.0,714.0,673.5
n1_TS,n1,TS,F0.15.0.abz7_06,26,636.0,716.0,676.0
n1_TS,n1,TS,F0.15.0.abz7_06,27,637.0,717.0,677.0
n1_TS,n1,TS,F0.15.0.abz7_06,28,637.0,713.0,675.0
n1_TS,n1,TS,F0.15.0.abz7_06,29,639.0,717.0,678.0
n1_TS,n1,TS,F0.15.0.abz7_06,30,636.0,717.0,676.5
n1_TS,n1,TS,F0.15.0.abz8_05,1,651.0,722.0,686.5
n1_TS,n1,TS,F0.15.0.abz8_05,2,656.0,720.0,688.0
n1_TS,n1,TS,F0.15.0.abz8_05,3,671.0,742.0,706.5
n1_TS,n1,TS,F0.15.0.abz8_05,4,648.0,730.0,689.0
n1_TS,n1,TS,F0.15.0.abz8_05,5,662.0,729.0,695.5
n1_TS,n1,TS,F0.15.0.abz8_05,6,652.0,718.0,685.0
n1_TS,n1,TS,F0.15.0.abz8_05,7,663.0,729.0,696.0
n1_TS,n1,TS,F0.15.0.abz8_05,8,661.0,716.0,688.5
