instance,eps_permil,cmax_cap_x2,npe_x2,status,time_s
F0.15.0.ft10_10,0,1860,10862,OPTIMAL,48.9
F0.15.0.ft10_10,5,1869,10862,OPTIMAL,95.5
F0.15.0.ft10_10,10,1878,8934,OPTIMAL,87.7
F0.15.0.ft10_10,15,1887,8562,FEASIBLE,120.0
F0.15.0.ft10_10,20,1897,8342,FEASIBLE,120.0
F0.15.0.ft10_10,30,1915,7142,FEASIBLE,120.0
F0.15.0.ft10_10,40,1934,6192,FEASIBLE,120.1
F0.15.0.ft10_10,50,1953,5638,FEASIBLE,120.0
F0.15.0.ft10_10,60,1971,6328,FEASIBLE,120.0
F0.15.0.ft10_10,80,2008,5202,FEASIBLE,120.1
F0.15.0.ft10_10,100,2046,4800,FEASIBLE,120.0
F0.15.0.la21_04,0,2092,14844,FEASIBLE,120.0
F0.15.0.la21_04,5,2102,13340,FEASIBLE,120.0
F0.15.0.la21_04,10,2112,13782,FEASIBLE,120.0
F0.15.0.la21_04,15,2123,11912,FEASIBLE,120.0
F0.15.0.la21_04,20,2133,11265,FEASIBLE,120.0
F0.15.0.la21_04,30,2154,11876,FEASIBLE,120.0
F0.15.0.la21_04,40,2175,13384,FEASIBLE,120.0
F0.15.0.la21_04,50,2196,10746,FEASIBLE,120.0
F0.15.0.la21_04,60,2217,10542,FEASIBLE,120.0
F0.15.0.la21_04,80,2259,9848,FEASIBLE,120.0
F0.15.0.la21_04,100,2301,11024,FEASIBLE,120.0
F0.15.0.la24_03,0,1870,8746,FEASIBLE,120.0
F0.15.0.la24_03,5,1879,7468,FEASIBLE,120.0
F0.15.0.la24_03,10,1888,7868,FEASIBLE,120.1
F0.15.0.la24_03,15,1898,6828,FEASIBLE,120.1
F0.15.0.la24_03,20,1907,7387,FEASIBLE,120.0
F0.15.0.la24_03,30,1926,7466,FEASIBLE,120.0
F0.15.0.la24_03,40,1944,6410,FEASIBLE,120.0
F0.15.0.la24_03,50,1963,6174,FEASIBLE,120.1
F0.15.0.la24_03,60,1982,6524,FEASIBLE,120.0
F0.15.0.la24_03,80,2019,5108,FEASIBLE,120.0
F0.15.0.la24_03,100,2057,5916,FEASIBLE,120.0
F0.15.0.la25_04,0,1954,12326,FEASIBLE,120.0
F0.15.0.la25_04,5,1963,11974,FEASIBLE,120.0
F0.15.0.la25_04,10,1973,12418,FEASIBLE,120.0
F0.15.0.la25_04,15,1983,11932,FEASIBLE,120.0
F0.15.0.la25_04,20,1993,11570,FEASIBLE,120.0
F0.15.0.la25_04,30,2012,11002,FEASIBLE,120.0
F0.15.0.la25_04,40,2032,11756,FEASIBLE,120.0
F0.15.0.la25_04,50,2051,12730,FEASIBLE,120.0
F0.15.0.la25_04,60,2071,11120,FEASIBLE,120.1
F0.15.0.la25_04,80,2110,11476,FEASIBLE,120.0
F0.15.0.la25_04,100,2149,12364,FEASIBLE,120.0
F0.15.0.la29_03,0,2312,-1,UNKNOWN,120.0
F0.15.0.la29_03,5,2323,-1,UNKNOWN,120.0
F0.15.0.la29_03,10,2335,-1,UNKNOWN,120.0
F0.15.0.la29_03,15,2346,-1,UNKNOWN,120.0
F0.15.0.la29_03,20,2358,-1,UNKNOWN,120.0
F0.15.0.la29_03,30,2381,-1,UNKNOWN,120.0
F0.15.0.la29_03,40,2404,-1,UNKNOWN,120.0
F0.15.0.la29_03,50,2427,-1,UNKNOWN,120.0
F0.15.0.la29_03,60,2450,2688,FEASIBLE,120.0
F0.15.0.la29_03,80,2496,7019,FEASIBLE,120.0
F0.15.0.la29_03,100,2543,9610,FEASIBLE,120.0
tai15_15_01.F.15_01,0,2462,45330,OPTIMAL,49.0
tai15_15_01.F.15_01,5,2474,44858,FEASIBLE,120.0
tai15_15_01.F.15_01,10,2486,42378,FEASIBLE,120.0
tai15_15_01.F.15_01,15,2498,45122,FEASIBLE,120.0
tai15_15_01.F.15_01,20,2511,42589,FEASIBLE,120.0
tai15_15_01.F.15_01,30,2535,44010,FEASIBLE,120.1
tai15_15_01.F.15_01,40,2560,43494,FEASIBLE,120.1
tai15_15_01.F.15_01,50,2585,42164,FEASIBLE,120.0
tai15_15_01.F.15_01,60,2609,43293,FEASIBLE,120.0
tai15_15_01.F.15_01,80,2658,41742,FEASIBLE,120.0
tai15_15_01.F.15_01,100,2708,34740,FEASIBLE,120.0
