instance,eps_permil,cmax_cap_x2,npe_x2,status,time_s
F0.15.0.ft20_05,0,2330,152,OPTIMAL,3.1
F0.15.0.ft20_05,5,2341,108,OPTIMAL,2.1
F0.15.0.ft20_05,10,2353,0,OPTIMAL,0.2
F0.15.0.ft20_05,15,2364,0,OPTIMAL,1.5
F0.15.0.ft20_05,20,2376,0,OPTIMAL,0.1
F0.15.0.ft20_05,30,2399,0,OPTIMAL,1.1
F0.15.0.ft20_05,40,2423,0,OPTIMAL,0.0
F0.15.0.ft20_05,50,2446,0,OPTIMAL,0.9
F0.15.0.ft20_05,60,2469,0,OPTIMAL,0.2
F0.15.0.ft20_05,80,2516,0,OPTIMAL,0.1
F0.15.0.ft20_05,100,2563,0,OPTIMAL,0.6
F0.15.0.abz7_06,0,1332,-1,UNKNOWN,120.0
F0.15.0.abz7_06,5,1338,-1,UNKNOWN,120.0
F0.15.0.la29_03,0,2334,-1,UNKNOWN,180.1
F0.15.0.abz7_06,10,1345,-1,UNKNOWN,120.0
F0.15.0.la29_03,5,2345,-1,UNKNOWN,180.0
F0.15.0.abz7_06,15,1351,-1,UNKNOWN,120.0
F0.15.0.abz7_06,20,1358,-1,UNKNOWN,120.0
F0.15.0.la29_03,10,2357,-1,UNKNOWN,180.0
F0.15.0.abz7_06,30,1371,-1,UNKNOWN,120.0
F0.15.0.la29_03,15,2369,-1,UNKNOWN,180.1
F0.15.0.abz7_06,40,1385,-1,UNKNOWN,120.0
F0.15.0.abz7_06,50,1398,-1,UNKNOWN,120.1
F0.15.0.la29_03,20,2380,-1,UNKNOWN,180.0
F0.15.0.abz7_06,60,1411,16720,FEASIBLE,120.0
F0.15.0.la29_03,30,2404,11302,FEASIBLE,180.0
F0.15.0.abz7_06,80,1438,17168,FEASIBLE,120.0
F0.15.0.abz7_06,100,1465,14638,FEASIBLE,120.0
F0.15.0.la29_03,40,2427,9766,FEASIBLE,180.0
F0.15.0.la29_03,50,2450,6980,FEASIBLE,180.1
tai15_15_02.F.15_01,0,2488,-1,UNKNOWN,120.0
tai15_15_02.F.15_01,5,2500,49554,FEASIBLE,120.0
F0.15.0.la29_03,60,2474,7960,FEASIBLE,180.0
tai15_15_02.F.15_01,10,2512,50390,FEASIBLE,120.0
F0.15.0.la29_03,80,2520,5916,FEASIBLE,180.0
tai15_15_02.F.15_01,15,2525,48630,FEASIBLE,120.1
tai15_15_02.F.15_01,20,2537,47009,FEASIBLE,120.0
F0.15.0.la29_03,100,2567,4622,FEASIBLE,180.1
tai15_15_02.F.15_01,30,2562,47466,FEASIBLE,120.0
tai15_15_02.F.15_01,40,2587,45328,FEASIBLE,120.1
tai15_15_02.F.15_01,50,2612,46428,FEASIBLE,120.0
tai15_15_02.F.15_01,60,2637,43394,FEASIBLE,120.0
tai15_15_02.F.15_01,80,2687,43980,FEASIBLE,120.0
tai15_15_02.F.15_01,100,2736,47454,FEASIBLE,120.0
