config,neigh,comp,instance,run,lower,upper,midpoint
n1_LEX2,n1,LEX2,tai15_15_04.F.15_01,4,1133,1315,1224.0000
n1_EV,n1,EV,tai20_20_05.F.15_01,1,1572,1832,1702.0000
n1_EV,n1,EV,tai20_20_05.F.15_01,2,1604,1815,1709.5000
n1_EV,n1,EV,tai20_20_05.F.15_01,3,1606,1813,1709.5000
n1_EV,n1,EV,tai20_20_05.F.15_01,4,1600,1815,1707.5000
n1_EV,n1,EV,tai20_20_05.F.15_01,5,1611,1834,1722.5000
n1_EV,n1,EV,tai20_20_05.F.15_01,6,1570,1816,1693.0000
n1_EV,n1,EV,tai20_20_05.F.15_01,7,1538,1816,1677.0000
n1_EV,n1,EV,tai20_20_05.F.15_01,8,1576,1812,1694.0000
n1_EV,n1,EV,tai20_20_05.F.15_01,9,1555,1798,1676.5000
n1_EV,n1,EV,tai20_20_05.F.15_01,10,1557,1788,1672.5000
n1_EV,n1,EV,tai20_20_05.F.15_01,11,1569,1798,1683.5000
n1_EV,n1,EV,tai20_20_05.F.15_01,12,1593,1803,1698.0000
n1_EV,n1,EV,tai20_20_05.F.15_01,13,1576,1802,1689.0000
n1_EV,n1,EV,tai20_20_05.F.15_01,14,1564,1803,1683.5000
n1_EV,n1,EV,tai20_20_05.F.15_01,15,1546,1785,1665.5000
n1_EV,n1,EV,tai20_20_05.F.15_01,16,1556,1793,1674.5000
n1_EV,n1,EV,tai20_20_05.F.15_01,17,1558,1785,1671.5000
n1_EV,n1,EV,tai20_20_05.F.15_01,18,1564,1809,1686.5000
n1_EV,n1,EV,tai20_20_05.F.15_01,19,1579,1789,1684.0000
n1_EV,n1,EV,tai20_20_05.F.15_01,20,1555,1794,1674.5000
n1_EV,n1,EV,tai20_20_05.F.15_01,21,1583,1781,1682.0000
n1_EV,n1,EV,tai20_20_05.F.15_01,22,1572,1772,1672.0000
n1_EV,n1,EV,tai20_20_05.F.15_01,23,1582,1806,1694.0000
n1_EV,n1,EV,tai20_20_05.F.15_01,24,1548,1792,1670.0000
n1_EV,n1,EV,tai20_20_05.F.15_01,25,1538,1792,1665.0000
n1_EV,n1,EV,tai20_20_05.F.15_01,26,1594,1834,1714.0000
n1_EV,n1,EV,tai20_20_05.F.15_01,27,1563,1795,1679.0000
n1_EV,n1,EV,tai20_20_05.F.15_01,28,1565,1820,1692.5000
n1_EV,n1,EV,tai20_20_05.F.15_01,29,1549,1795,1672.0000
n1_EV,n1,EV,tai20_20_05.F.15_01,30,1553,1792,1672.5000
n1_EV,n1,EV,tai50_15_02.F.15_01,1,2625,3067,2846.0000
n1_EV,n1,EV,tai50_15_02.F.15_01,2,2639,3038,2838.5000
n1_EV,n1,EV,tai50_15_02.F.15_01,3,2642,3055,2848.5000
n1_EV,n1,EV,tai50_15_02.F.15_01,4,2640,3052,2846.0000
n1_EV,n1,EV,tai50_15_02.F.15_01,5,2661,3080,2870.5000
n1_EV,n1,EV,tai50_15_02.F.15_01,6,2608,3009,2808.5000
n1_EV,n1,EV,tai50_15_02.F.15_01,7,2685,3063,2874.0000
n1_EV,n1,EV,tai50_15_02.F.15_01,8,2581,2957,2769.0000
n1_EV,n1,EV,tai50_15_02.F.15_01,9,2644,3047,2845.5000
n1_EV,n1,EV,tai50_15_02.F.15_01,10,2600,2985,2792.5000
n1_EV,n1,EV,tai50_15_02.F.15_01,11,2737,3091,2914.0000
n1_EV,n1,EV,tai50_15_02.F.15_01,12,2650,3041,2845.5000
n1_EV,n1,EV,tai50_15_02.F.15_01,13,2651,3025,2838.0000
n1_EV,n1,EV,tai50_15_02.F.15_01,14,2656,3034,2845.0000
n1_EV,n1,EV,tai50_15_02.F.15_01,15,2631,3016,2823.5000
n1_EV,n1,EV,tai50_15_02.F.15_01,16,2650,3050,2850.0000
n1_EV,n1,EV,tai50_15_02.F.15_01,17,2643,3059,2851.0000
n1_EV,n1,EV,tai50_15_02.F.15_01,18,2606,3012,2809.0000
n1_EV,n1,EV,tai50_15_02.F.15_01,19,2610,3018,2814.0000
n1_EV,n1,EV,tai50_15_02.F.15_01,20,2586,2981,2783.5000
n1_EV,n1,EV,tai50_15_02.F.15_01,21,2613,3043,2828.0000
n1_EV,n1,EV,tai50_15_02.F.15_01,22,2631,3028,2829.5000
n1_EV,n1,EV,tai50_15_02.F.15_01,23,2626,3021,2823.5000
n1_EV,n1,EV,tai50_15_02.F.15_01,24,2631,3043,2837.0000
n1_EV,n1,EV,tai50_15_02.F.15_01,25,2617,3011,2814.0000
n1_EV,n1,EV,tai50_15_02.F.15_01,26,2635,3060,2847.5000
n1_EV,n1,EV,tai50_15_02.F.15_01,27,2608,3029,2818.5000
n1_EV,n1,EV,tai50_15_02.F.15_01,28,2604,3002,2803.0000
n1_EV,n1,EV,tai50_15_02.F.15_01,29,2616,3016,2816.0000
n1_EV,n1,EV,tai50_15_02.F.15_01,30,2639,3052,2845.5000
n1_LEX2,n1,LEX2,tai15_15_04.F.15_01,5,1121,1296,1208.5000
n1_EV,n1,EV,tai50_20_07.F.15_01,1,2813,3343,3078.0000
n1_EV,n1,EV,tai50_20_07.F.15_01,2,2769,3258,3013.5000
n1_EV,n1,EV,tai50_20_07.F.15_01,3,2782,3257,3019.5000
n1_EV,n1,EV,tai50_20_07.F.15_01,4,2764,3217,2990.5000
n1_EV,n1,EV,tai50_20_07.F.15_01,5,2780,3256,3018.0000
