"A","B","n_pairs","mean_A","mean_B","mean_diff","W","p_raw","Z","effect_r","p_adj","sig"
"n1","nh",2460,1890.13,1944.85,-54.71,1779,0,Inf,Inf,0,"***"
"n2","nh",2460,1890.07,1944.85,-54.77,1410,0,Inf,Inf,0,"***"
"n3","nh",2460,1908.72,1944.85,-36.13,10619.5,0,Inf,Inf,0,"***"
"nh","next",2460,1944.85,1889.91,54.94,3020847.5,0,-Inf,Inf,0,"***"
"n3","next",2460,1908.72,1889.91,18.81,2786056.5,1.48701349757633e-286,-36.1753,0.7294,8.92208098545798e-286,"***"
"n1","n3",2460,1890.13,1908.72,-18.59,242617.5,4.21664449668863e-283,35.9551,0.7249,2.10832224834432e-282,"***"
"n2","n3",2460,1890.07,1908.72,-18.65,247424.5,1.42492993993668e-281,35.8571,0.7229,5.69971975974672e-281,"***"
"n1","n2",2460,1890.13,1890.07,0.06,1489899,0.826434954860491,-0.2193,0.0044,1,""
"n1","next",2460,1890.13,1889.91,0.22,1537123,0.358596692510643,-0.918,0.0185,1,""
"n2","next",2460,1890.07,1889.91,0.17,1517731.5,0.637638352002936,-0.471,0.0095,1,""
