"A","B","n_pairs","mean_A","mean_B","mean_diff","W","p_raw","Z","effect_r","p_adj","sig","neigh"
"LEX1","YX",2460,1894.61,1887.04,7.57,1876810.5,4.6844868433917e-37,-12.7182,0.2564,2.81069210603502e-36,"***","n1"
"EV","LEX1",2460,1888.94,1894.61,-5.67,1113813,2.6503164240747e-22,9.7131,0.1958,1.32515821203735e-21,"***","n1"
"LEX1","LEX2",2460,1894.61,1889.51,5.1,1779920.5,3.9097191329662e-18,-8.6814,0.175,1.56388765318648e-17,"***","n1"
"LEX2","YX",2460,1889.51,1887.04,2.47,1619726.5,5.42705187891601e-06,-4.5476,0.0917,1.6281155636748e-05,"***","n1"
"EV","YX",2460,1888.94,1887.04,1.9,1532215.5,0.00165986440185689,-3.1452,0.0634,0.00331972880371378,"**","n1"
"EV","LEX2",2460,1888.94,1889.51,-0.57,1413137,0.343107846465999,0.948,0.0191,0.343107846465999,"","n1"
"LEX1","YX",2460,1895.22,1887.11,8.11,1941047,2.85441495623844e-45,-14.1201,0.2847,1.71264897374306e-44,"***","n2"
"EV","LEX1",2460,1888.71,1895.22,-6.51,1058884,6.94181981187807e-33,11.9444,0.2408,3.47090990593903e-32,"***","n2"
"LEX1","LEX2",2460,1895.22,1889.25,5.97,1792698.5,2.09554460923619e-21,-9.5002,0.1915,8.38217843694476e-21,"***","n2"
"LEX2","YX",2460,1889.25,1887.11,2.14,1610147,8.25647580643578e-06,-4.4584,0.0899,2.47694274193073e-05,"***","n2"
"EV","YX",2460,1888.71,1887.11,1.6,1548497,0.00501301035614698,-2.8062,0.0566,0.010026020712294,"*","n2"
"EV","LEX2",2460,1888.71,1889.25,-0.53,1417759.5,0.141946793015797,1.4686,0.0296,0.141946793015797,"","n2"
"LEX1","YX",2460,1914.15,1904.86,9.29,2003818.5,1.63988436246643e-54,-15.5481,0.3135,9.83930617479857e-54,"***","n3"
"EV","LEX1",2460,1907.32,1914.15,-6.83,1062289,2.28805769217339e-31,11.6502,0.2349,1.1440288460867e-30,"***","n3"
"LEX1","LEX2",2460,1914.15,1908.54,5.61,1801053,1.03462121330169e-20,-9.3324,0.1882,4.13848485320674e-20,"***","n3"
"LEX2","YX",2460,1908.54,1904.86,3.67,1681216,2.14472859792e-09,-5.9864,0.1207,6.43418579376e-09,"***","n3"
"EV","YX",2460,1907.32,1904.86,2.45,1597997,1.48413337392997e-05,-4.331,0.0873,2.96826674785994e-05,"***","n3"
"EV","LEX2",2460,1907.32,1908.54,-1.22,1409232,0.122293270221531,1.5452,0.0312,0.122293270221531,"","n3"
"LEX1","YX",2358,1981.15,1973.08,8.06,1728616.5,1.05004538800689e-28,-11.1159,0.2289,6.30027232804135e-28,"***","nh"
"EV","LEX1",2358,1975.02,1981.15,-6.12,1090765,2.53188279988621e-17,8.4664,0.1744,1.2659413999431e-16,"***","nh"
"LEX1","LEX2",2358,1981.15,1976.67,4.48,1584753.5,1.00667330580996e-10,-6.4659,0.1332,4.02669322323985e-10,"***","nh"
"LEX2","YX",2358,1976.67,1973.08,3.59,1523401,2.49101995599315e-06,-4.7089,0.097,7.47305986797945e-06,"***","nh"
"EV","YX",2358,1975.02,1973.08,1.94,1440909.5,0.0129992702724749,-2.4838,0.0511,0.0259985405449498,"*","nh"
"EV","LEX2",2358,1975.02,1976.67,-1.65,1303434.5,0.0552291066978141,1.9171,0.0395,0.0552291066978141,"","nh"
"LEX1","YX",2432,1893.27,1886.43,6.85,1828622,1.20450925561258e-32,-11.8985,0.2413,7.22705553367549e-32,"***","next"
"EV","LEX1",2432,1888.22,1893.27,-5.06,1135873.5,1.41061446591911e-18,8.7966,0.1784,7.05307232959556e-18,"***","next"
"LEX1","LEX2",2432,1893.27,1888.46,4.81,1708549.5,4.09644091299893e-15,-7.8519,0.1592,1.63857636519957e-14,"***","next"
"LEX2","YX",2432,1888.46,1886.43,2.03,1550799.5,0.000253267959068447,-3.6589,0.0742,0.00075980387720534,"***","next"
"EV","YX",2432,1888.22,1886.43,1.79,1521241.5,0.000628590266032992,-3.419,0.0693,0.00125718053206598,"**","next"
"EV","LEX2",2432,1888.22,1888.46,-0.24,1399696,0.517315144746077,0.6475,0.0131,0.517315144746077,"","next"
