neigh,step,mean_best_norm,sd_best_norm,n_obs
n1,0,1.0,0.0,2460
n1,1,0.890496,0.023429,1460
n1,2,0.868362,0.025079,1889
n1,3,0.855331,0.025288,2224
n1,4,0.852621,0.025607,1748
n1,5,0.843332,0.025557,2208
n1,6,0.841378,0.025933,1885
n1,7,0.838728,0.025753,1814
n1,8,0.833629,0.025276,2094
n1,9,0.833287,0.025693,1775
n1,10,0.829796,0.025782,1855
n1,11,0.828501,0.025216,1852
n1,12,0.826657,0.02518,1869
n1,13,0.82532,0.025082,1794
n1,14,0.823385,0.025145,1815
n1,15,0.822893,0.024778,1765
n1,16,0.821431,0.02505,1757
n1,17,0.820577,0.024727,1728
n1,18,0.819866,0.024557,1718
n1,19,0.818455,0.024728,1713
n1,20,0.818252,0.024318,1682
n1,21,0.817628,0.024545,1638
n1,22,0.816983,0.024291,1622
n1,23,0.816246,0.024482,1600
n1,24,0.816193,0.024448,1552
n1,25,0.815407,0.024448,1557
n1,26,0.815485,0.024722,1473
n1,27,0.814579,0.0245,1484
n1,28,0.814671,0.02484,1402
n1,29,0.814461,0.024508,1394
n1,30,0.814092,0.024525,1324
n1,31,0.813982,0.024228,1286
n1,32,0.813819,0.024358,1244
n1,33,0.813435,0.024263,1241
n1,34,0.813859,0.024195,1199
n1,35,0.812822,0.02358,1137
n1,36,0.812857,0.023471,1117
n1,37,0.813373,0.023575,1075
n1,38,0.813125,0.023573,1064
n1,39,0.812707,0.023514,1059
n1,40,0.813501,0.023362,1015
n1,41,0.813672,0.023253,987
n1,42,0.813775,0.023276,974
n1,43,0.81449,0.023208,924
n1,44,0.815423,0.022673,886
n1,45,0.81644,0.022756,829
n1,46,0.818102,0.022799,741
n1,47,0.818951,0.022498,701
n1,48,0.819094,0.022345,606
n1,49,0.818741,0.021751,554
n1,50,0.820116,0.021473,500
n1,51,0.81865,0.021481,428
n1,52,0.81793,0.021252,357
n1,53,0.816824,0.021608,330
n1,54,0.817166,0.021115,325
n1,55,0.817146,0.02159,316
n1,56,0.815946,0.020689,276
n1,57,0.816232,0.020502,272
