neigh,instance,group,n_runs,best_E,avg_E,sd_E,med_rt
n1,F0.15.0.abz7_06,abz7,30,671.0,679.0667,4.5764,21.898
n1,F0.15.0.abz8_05,abz8,30,680.0,689.5833,5.5431,24.609
n1,F0.15.0.abz9_10,abz9,30,694.0,706.05,5.9572,23.008
n1,F0.15.0.ft10_10,ft10,30,935.5,940.7333,4.8061,4.508
n1,F0.15.0.ft20_05,ft20,30,1166.0,1174.1667,5.6999,7.828
n1,F0.15.0.la21_04,la21,30,1055.5,1066.35,8.7653,7.523
n1,F0.15.0.la24_03,la24,30,944.5,948.9167,4.4375,7.109
n1,F0.15.0.la25_04,la25,30,980.0,990.9,6.1538,7.953
n1,F0.15.0.la27_09,la27,30,1248.5,1262.5833,6.6722,14.203
n1,F0.15.0.la29_03,la29,30,1174.0,1191.5,10.1336,16.797
n1,F0.15.0.la38_06,la38,30,1204.5,1233.1167,11.302,12.406
n1,F0.15.0.la40_05,la40,30,1233.5,1240.4833,7.3067,11.109
n1,tai15_15_01.F.15_01,tai15_15,30,1247.0,1255.4167,6.6515,12.328
n1,tai15_15_02.F.15_01,tai15_15,30,1252.5,1269.3333,7.5388,10.445
n1,tai15_15_03.F.15_01,tai15_15,30,1231.5,1245.9,5.607,12.234
n1,tai15_15_04.F.15_01,tai15_15,30,1186.0,1199.7333,9.0208,13.195
n1,tai15_15_05.F.15_01,tai15_15,30,1243.0,1253.7,5.2434,10.406
n1,tai15_15_06.F.15_01,tai15_15,30,1257.0,1268.15,7.8588,13.359
n1,tai15_15_07.F.15_01,tai15_15,30,1242.0,1259.5333,7.7936,10.609
n1,tai15_15_08.F.15_01,tai15_15,30,1231.0,1250.7333,13.6506,9.148
n1,tai15_15_09.F.15_01,tai15_15,30,1301.0,1311.7,11.187,9.836
n1,tai15_15_10.F.15_01,tai15_15,30,1244.0,1266.9833,21.5541,12.039
n1,tai20_15_01.F.15_01,tai20_15,30,1401.0,1422.5167,17.2329,23.398
n1,tai20_15_02.F.15_01,tai20_15,30,1390.5,1406.5833,9.9932,24.359
n1,tai20_15_03.F.15_01,tai20_15,30,1371.5,1405.8333,14.4397,26.32
n1,tai20_15_04.F.15_01,tai20_15,30,1352.5,1373.9167,8.6882,20.672
n1,tai20_15_05.F.15_01,tai20_15,30,1383.5,1398.85,10.8542,22.188
n1,tai20_15_06.F.15_01,tai20_15,30,1392.0,1414.1,14.5682,26.148
n1,tai20_15_07.F.15_01,tai20_15,30,1492.5,1518.6167,14.1505,21.094
n1,tai20_15_08.F.15_01,tai20_15,30,1437.0,1466.4167,12.6941,26.367
n1,tai20_15_09.F.15_01,tai20_15,30,1367.0,1404.5667,13.9455,25.172
n1,tai20_15_10.F.15_01,tai20_15,30,1383.5,1400.5333,10.7951,23.094
n1,tai20_20_01.F.15_01,tai20_20,30,1685.0,1710.0167,15.7094,33.062
n1,tai20_20_02.F.15_01,tai20_20,30,1630.0,1660.7167,11.2355,32.445
n1,tai20_20_03.F.15_01,tai20_20,30,1598.0,1624.5333,14.4347,33.508
n1,tai20_20_04.F.15_01,tai20_20,30,1666.0,1700.95,17.8757,38.25
n1,tai20_20_05.F.15_01,tai20_20,30,1643.5,1671.8,12.2858,32.742
n1,tai20_20_06.F.15_01,tai20_20,30,1701.0,1721.8,11.649,32.477
n1,tai20_20_07.F.15_01,tai20_20,30,1716.5,1740.6833,11.0262,32.75
n1,tai20_20_08.F.15_01,tai20_20,30,1640.0,1659.3833,9.7261,35.734
