A,B,meanA,meanB,diff,p_raw,p_adj,r,Z,n,magnitude,winner
n2,n3,1846.50,1891.94,-45.45,0.000e+00,0.000e+00,0.8437,-41.44,2413,large,n3
n3,n8,1891.94,1847.94,+44.00,0.000e+00,0.000e+00,0.8346,-40.95,2407,large,n3
n3,next,1891.94,1853.75,+38.19,0.000e+00,0.000e+00,0.8067,-39.62,2412,large,n3
n1,n3,1868.63,1891.94,-23.32,3.612e-234,2.528e-233,0.6663,-32.67,2405,large,n3
n1,n2,1868.63,1846.50,+22.13,4.194e-223,2.516e-222,0.6631,-31.89,2312,large,n1
n1,n8,1868.63,1847.94,+20.68,3.890e-200,1.945e-199,0.6275,-30.18,2314,large,n1
n1,next,1868.63,1853.75,+14.87,2.158e-123,8.632e-123,0.4908,-23.62,2317,medium,n1
n2,next,1846.50,1853.75,-7.25,1.322e-62,3.966e-62,0.3562,-16.70,2198,medium,next
next,n8,1853.75,1847.94,+5.81,2.080e-39,4.160e-39,0.2813,-13.13,2180,small,next
n2,n8,1846.50,1847.94,-1.45,3.910e-04,3.910e-04,0.0769,-3.55,2128,negligible,n8
