config,neigh,comp,instance,run,lower,upper,midpoint
n1_HC,n1,HC,F0.15.0.abz7_06,1,646.0,733.0,689.5
n1_HC,n1,HC,F0.15.0.abz7_06,2,642.0,724.0,683.0
n1_HC,n1,HC,F0.15.0.abz7_06,3,655.0,731.0,693.0
n1_HC,n1,HC,F0.15.0.abz7_06,4,653.0,730.0,691.5
n1_HC,n1,HC,F0.15.0.abz7_06,5,651.0,738.0,694.5
n1_HC,n1,HC,F0.15.0.abz7_06,6,636.0,721.0,678.5
n1_HC,n1,HC,F0.15.0.abz7_06,7,649.0,736.0,692.5
n1_HC,n1,HC,F0.15.0.abz7_06,8,640.0,720.0,680.0
n1_HC,n1,HC,F0.15.0.abz7_06,9,647.0,726.0,686.5
n1_HC,n1,HC,F0.15.0.abz7_06,10,655.0,735.0,695.0
n1_HC,n1,HC,F0.15.0.abz7_06,11,642.0,725.0,683.5
n1_HC,n1,HC,F0.15.0.abz7_06,12,646.0,731.0,688.5
n1_HC,n1,HC,F0.15.0.abz7_06,13,647.0,728.0,687.5
n1_HC,n1,HC,F0.15.0.abz7_06,14,639.0,717.0,678.0
n1_HC,n1,HC,F0.15.0.abz7_06,15,641.0,725.0,683.0
n1_HC,n1,HC,F0.15.0.abz7_06,16,645.0,732.0,688.5
n1_HC,n1,HC,F0.15.0.abz7_06,17,641.0,731.0,686.0
n1_HC,n1,HC,F0.15.0.abz7_06,18,649.0,735.0,692.0
n1_HC,n1,HC,F0.15.0.abz7_06,19,640.0,718.0,679.0
n1_HC,n1,HC,F0.15.0.abz7_06,20,642.0,725.0,683.5
n1_HC,n1,HC,F0.15.0.abz7_06,21,645.0,722.0,683.5
n1_HC,n1,HC,F0.15.0.abz7_06,22,636.0,721.0,678.5
n1_HC,n1,HC,F0.15.0.abz7_06,23,637.0,727.0,682.0
n1_HC,n1,HC,F0.15.0.abz7_06,24,661.0,725.0,693.0
n1_HC,n1,HC,F0.15.0.abz7_06,25,652.0,730.0,691.0
n1_HC,n1,HC,F0.15.0.abz7_06,26,644.0,731.0,687.5
n1_HC,n1,HC,F0.15.0.abz7_06,27,648.0,723.0,685.5
n1_HC,n1,HC,F0.15.0.abz7_06,28,643.0,735.0,689.0
n1_HC,n1,HC,F0.15.0.abz7_06,29,635.0,723.0,679.0
n1_HC,n1,HC,F0.15.0.abz7_06,30,644.0,721.0,682.5
n1_HC,n1,HC,F0.15.0.abz8_05,1,660.0,730.0,695.0
n1_HC,n1,HC,F0.15.0.abz8_05,2,663.0,740.0,701.5
n1_HC,n1,HC,F0.15.0.abz8_05,3,659.0,732.0,695.5
n1_HC,n1,HC,F0.15.0.abz8_05,4,654.0,728.0,691.0
n1_HC,n1,HC,F0.15.0.abz8_05,5,667.0,743.0,705.0
n1_HC,n1,HC,F0.15.0.abz8_05,6,665.0,742.0,703.5
n1_HC,n1,HC,F0.15.0.abz8_05,7,673.0,738.0,705.5
n1_HC,n1,HC,F0.15.0.abz8_05,8,672.0,727.0,699.5
n1_HC,n1,HC,F0.15.0.abz8_05,9,677.0,733.0,705.0
n1_HC,n1,HC,F0.15.0.abz8_05,10,657.0,723.0,690.0
n1_HC,n1,HC,F0.15.0.abz8_05,11,658.0,725.0,691.5
n1_HC,n1,HC,F0.15.0.abz8_05,12,667.0,742.0,704.5
n1_HC,n1,HC,F0.15.0.abz8_05,13,667.0,742.0,704.5
n1_HC,n1,HC,F0.15.0.abz8_05,14,679.0,737.0,708.0
n1_HC,n1,HC,F0.15.0.abz8_05,15,655.0,737.0,696.0
n1_HC,n1,HC,F0.15.0.abz8_05,16,662.0,736.0,699.0
n1_HC,n1,HC,F0.15.0.abz8_05,17,660.0,732.0,696.0
n1_HC,n1,HC,F0.15.0.abz8_05,18,674.0,742.0,708.0
n1_HC,n1,HC,F0.15.0.abz8_05,19,667.0,736.0,701.5
n1_HC,n1,HC,F0.15.0.abz8_05,20,663.0,746.0,704.5
n1_HC,n1,HC,F0.15.0.abz8_05,21,654.0,728.0,691.0
n1_HC,n1,HC,F0.15.0.abz8_05,22,670.0,746.0,708.0
n1_HC,n1,HC,F0.15.0.abz8_05,23,663.0,733.0,698.0
n1_HC,n1,HC,F0.15.0.abz8_05,24,662.0,726.0,694.0
n1_HC,n1,HC,F0.15.0.abz8_05,25,660.0,730.0,695.0
n1_HC,n1,HC,F0.15.0.abz8_05,26,663.0,732.0,697.5
n1_HC,n1,HC,F0.15.0.abz8_05,27,668.0,736.0,702.0
n1_HC,n1,HC,F0.15.0.abz8_05,28,663.0,741.0,702.0
n1_HC,n1,HC,F0.15.0.abz8_05,29,655.0,732.0,693.5
n1_HC,n1,HC,F0.15.0.abz8_05,30,661.0,738.0,699.5
n1_HC,n1,HC,F0.15.0.abz9_10,1,692.0,764.0,728.0
n1_HC,n1,HC,F0.15.0.abz9_10,2,666.0,739.0,702.5
n1_HC,n1,HC,F0.15.0.abz9_10,3,690.0,756.0,723.0
n1_HC,n1,HC,F0.15.0.abz9_10,4,702.0,768.0,735.0
n1_HC,n1,HC,F0.15.0.abz9_10,5,688.0,757.0,722.5
n1_HC,n1,HC,F0.15.0.abz9_10,6,695.0,753.0,724.0
n1_HC,n1,HC,F0.15.0.abz9_10,7,695.0,770.0,732.5
n1_HC,n1,HC,F0.15.0.abz9_10,8,686.0,754.0,720.0
n1_HC,n1,HC,F0.15.0.abz9_10,9,690.0,764.0,727.0
n1_HC,n1,HC,F0.15.0.abz9_10,10,680.0,751.0,715.5
n1_HC,n1,HC,F0.15.0.abz9_10,11,667.0,749.0,708.0
n1_HC,n1,HC,F0.15.0.abz9_10,12,677.0,746.0,711.5
n1_HC,n1,HC,F0.15.0.abz9_10,13,688.0,753.0,720.5
n1_HC,n1,HC,F0.15.0.abz9_10,14,680.0,749.0,714.5
n1_HC,n1,HC,F0.15.0.abz9_10,15,698.0,767.0,732.5
n1_HC,n1,HC,F0.15.0.abz9_10,16,683.0,758.0,720.5
n1_HC,n1,HC,F0.15.0.abz9_10,17,698.0,778.0,738.0
n1_HC,n1,HC,F0.15.0.abz9_10,18,662.0,737.0,699.5
n1_HC,n1,HC,F0.15.0.abz9_10,19,668.0,728.0,698.0
n1_HC,n1,HC,F0.15.0.abz9_10,20,691.0,773.0,732.0
n1_HC,n1,HC,F0.15.0.abz9_10,21,696.0,764.0,730.0
n1_HC,n1,HC,F0.15.0.abz9_10,22,674.0,745.0,709.5
n1_HC,n1,HC,F0.15.0.abz9_10,23,689.0,754.0,721.5
n1_HC,n1,HC,F0.15.0.abz9_10,24,687.0,750.0,718.5
n1_HC,n1,HC,F0.15.0.abz9_10,25,695.0,760.0,727.5
n1_HC,n1,HC,F0.15.0.abz9_10,26,694.0,759.0,726.5
n1_HC,n1,HC,F0.15.0.abz9_10,27,686.0,758.0,722.0
n1_HC,n1,HC,F0.15.0.abz9_10,28,681.0,758.0,719.5
n1_HC,n1,HC,F0.15.0.abz9_10,29,697.0,747.0,722.0
n1_HC,n1,HC,F0.15.0.abz9_10,30,691.0,758.0,724.5
n1_HC,n1,HC,F0.15.0.ft10_10,1,913.0,1025.0,969.0
n1_HC,n1,HC,F0.15.0.ft10_10,2,913.0,1025.0,969.0
n1_HC,n1,HC,F0.15.0.ft10_10,3,892.0,998.0,945.0
n1_HC,n1,HC,F0.15.0.ft10_10,4,882.0,989.0,935.5
n1_HC,n1,HC,F0.15.0.ft10_10,5,910.0,1038.0,974.0
n1_HC,n1,HC,F0.15.0.ft10_10,6,933.0,1029.0,981.0
n1_HC,n1,HC,F0.15.0.ft10_10,7,906.0,1004.0,955.0
n1_HC,n1,HC,F0.15.0.ft10_10,8,913.0,1027.0,970.0
n1_HC,n1,HC,F0.15.0.ft10_10,9,897.0,1001.0,949.0
n1_HC,n1,HC,F0.15.0.ft10_10,10,907.0,1003.0,955.0
n1_HC,n1,HC,F0.15.0.ft10_10,11,905.0,993.0,949.0
n1_HC,n1,HC,F0.15.0.ft10_10,12,913.0,1025.0,969.0
n1_HC,n1,HC,F0.15.0.ft10_10,13,892.0,990.0,941.0
n1_HC,n1,HC,F0.15.0.ft10_10,14,908.0,1015.0,961.5
n1_HC,n1,HC,F0.15.0.ft10_10,15,909.0,1003.0,956.0
n1_HC,n1,HC,F0.15.0.ft10_10,16,883.0,995.0,939.0
n1_HC,n1,HC,F0.15.0.ft10_10,17,910.0,1032.0,971.0
n1_HC,n1,HC,F0.15.0.ft10_10,18,905.0,994.0,949.5
n1_HC,n1,HC,F0.15.0.ft10_10,19,905.0,993.0,949.0
n1_HC,n1,HC,F0.15.0.ft10_10,20,905.0,1013.0,959.0
n1_HC,n1,HC,F0.15.0.ft10_10,21,913.0,1025.0,969.0
n1_HC,n1,HC,F0.15.0.ft10_10,22,882.0,989.0,935.5
n1_HC,n1,HC,F0.15.0.ft10_10,23,907.0,1003.0,955.0
n1_HC,n1,HC,F0.15.0.ft10_10,24,900.0,1006.0,953.0
n1_HC,n1,HC,F0.15.0.ft10_10,25,882.0,989.0,935.5
n1_HC,n1,HC,F0.15.0.ft10_10,26,901.0,1003.0,952.0
n1_HC,n1,HC,F0.15.0.ft10_10,27,907.0,1000.0,953.5
n1_HC,n1,HC,F0.15.0.ft10_10,28,913.0,1025.0,969.0
n1_HC,n1,HC,F0.15.0.ft10_10,29,913.0,1025.0,969.0
n1_HC,n1,HC,F0.15.0.ft10_10,30,882.0,989.0,935.5
n1_HC,n1,HC,F0.15.0.ft20_05,1,1109.0,1251.0,1180.0
n1_HC,n1,HC,F0.15.0.ft20_05,2,1109.0,1251.0,1180.0
n1_HC,n1,HC,F0.15.0.ft20_05,3,1106.0,1250.0,1178.0
n1_HC,n1,HC,F0.15.0.ft20_05,4,1109.0,1251.0,1180.0
n1_HC,n1,HC,F0.15.0.ft20_05,5,1128.0,1272.0,1200.0
n1_HC,n1,HC,F0.15.0.ft20_05,6,1106.0,1250.0,1178.0
n1_HC,n1,HC,F0.15.0.ft20_05,7,1111.0,1253.0,1182.0
n1_HC,n1,HC,F0.15.0.ft20_05,8,1109.0,1251.0,1180.0
n1_HC,n1,HC,F0.15.0.ft20_05,9,1109.0,1251.0,1180.0
n1_HC,n1,HC,F0.15.0.ft20_05,10,1094.0,1238.0,1166.0
n1_HC,n1,HC,F0.15.0.ft20_05,11,1118.0,1245.0,1181.5
n1_HC,n1,HC,F0.15.0.ft20_05,12,1109.0,1251.0,1180.0
n1_HC,n1,HC,F0.15.0.ft20_05,13,1109.0,1251.0,1180.0
n1_HC,n1,HC,F0.15.0.ft20_05,14,1109.0,1251.0,1180.0
