"A","B","n_pairs","mean_A","mean_B","mean_diff","W","p_raw","Z","effect_r","p_adj","sig"
"n3","next",2460,1898.77,1882.07,16.7,2377534,2.12038128629271e-152,-26.2962,0.5302,2.12038128629271e-151,"***"
"n1","n3",2460,1884.02,1898.77,-14.74,662455.5,1.29094041614476e-119,23.2542,0.4688,1.16184637453029e-118,"***"
"next","n8",2460,1882.07,1896.93,-14.87,690366.5,3.11944656593672e-114,22.7159,0.458,2.49555725274938e-113,"***"
"n1","n8",2460,1884.02,1896.93,-12.91,757192.5,1.0320329250543e-90,20.1974,0.4072,7.2242304753801e-90,"***"
"n2","n3",2460,1887.57,1898.77,-11.2,813998.5,1.85357087400301e-81,19.1161,0.3854,1.1121425244018e-80,"***"
"n2","n8",2460,1887.57,1896.93,-9.36,918265,1.01551793734084e-56,15.8704,0.32,5.07758968670418e-56,"***"
"n2","next",2460,1887.57,1882.07,5.51,1714589,2.3340636721104e-17,-8.4758,0.1709,9.33625468844159e-17,"***"
"n1","next",2460,1884.02,1882.07,1.96,1601990,1.36312317917684e-06,-4.8303,0.0974,4.08936953753051e-06,"***"
"n1","n2",2460,1884.02,1887.57,-3.55,1313977,0.000168176937860224,3.7626,0.0759,0.000336353875720448,"***"
"n3","n8",2460,1898.77,1896.93,1.84,1563467,0.000903301917972996,-3.319,0.0669,0.000903301917972996,"***"
