"group","neigh","n_inst","rpd_mean","rpd_median","rpd_max","n_optimal"
"abz7","n1",1,2.744,2.744,2.744,0
"abz7","n2",1,3.506,3.506,3.506,0
"abz7","n3",1,3.049,3.049,3.049,0
"abz7","next",1,2.896,2.896,2.896,0
"abz7","n8",1,3.049,3.049,3.049,0
"abz8","n1",1,3.308,3.308,3.308,0
"abz8","n2",1,4.06,4.06,4.06,0
"abz8","n3",1,4.812,4.812,4.812,0
"abz8","next",1,2.857,2.857,2.857,0
"abz8","n8",1,3.158,3.158,3.158,0
"abz9","n1",1,4.271,4.271,4.271,0
"abz9","n2",1,4.418,4.418,4.418,0
"abz9","n3",1,4.566,4.566,4.566,0
"abz9","next",1,2.946,2.946,2.946,0
"abz9","n8",1,4.418,4.418,4.418,0
"ft10","n1",1,0,0,0,1
"ft10","n2",1,0,0,0,1
"ft10","n3",1,0,0,0,1
"ft10","next",1,0,0,0,1
"ft10","n8",1,0,0,0,1
"ft20","n1",1,0.687,0.687,0.687,0
"ft20","n2",1,0.687,0.687,0.687,0
"ft20","n3",1,0,0,0,1
"ft20","next",1,0,0,0,1
"ft20","n8",1,0,0,0,1
"la21","n1",1,0.86,0.86,0.86,0
"la21","n2",1,0.574,0.574,0.574,0
"la21","n3",1,1.147,1.147,1.147,0
"la21","next",1,0.574,0.574,0.574,0
"la21","n8",1,0.096,0.096,0.096,0
"la24","n1",1,0.428,0.428,0.428,0
"la24","n2",1,0.642,0.642,0.642,0
"la24","n3",1,0.642,0.642,0.642,0
"la24","next",1,0.963,0.963,0.963,0
"la24","n8",1,0.856,0.856,0.856,0
"la25","n1",1,0.716,0.716,0.716,0
"la25","n2",1,0.716,0.716,0.716,0
"la25","n3",1,0.716,0.716,0.716,0
"la25","next",1,0.205,0.205,0.205,0
"la25","n8",1,0.716,0.716,0.716,0
"la27","n1",1,1.215,1.215,1.215,0
"la27","n2",1,1.7,1.7,1.7,0
"la27","n3",1,2.753,2.753,2.753,0
"la27","next",1,0.243,0.243,0.243,0
"la27","n8",1,1.538,1.538,1.538,0
"la29","n1",1,2.951,2.951,2.951,0
"la29","n2",1,3.819,3.819,3.819,0
"la29","n3",1,4.167,4.167,4.167,0
"la29","next",1,1.302,1.302,1.302,0
"la29","n8",1,2.951,2.951,2.951,0
"la38","n1",1,2.843,2.843,2.843,0
"la38","n2",1,1.923,1.923,1.923,0
"la38","n3",1,3.094,3.094,3.094,0
"la38","next",1,1.589,1.589,1.589,0
"la38","n8",1,1.589,1.589,1.589,0
"la40","n1",1,0.982,0.982,0.982,0
"la40","n2",1,1.391,1.391,1.391,0
"la40","n3",1,1.637,1.637,1.637,0
"la40","next",1,1.473,1.473,1.473,0
"la40","n8",1,0.491,0.491,0.491,0
"tai15_15","n1",10,1.287,1.402,2.433,0
"tai15_15","n2",10,1.684,1.632,3.062,0
"tai15_15","n3",10,1.387,1.462,2.433,0
"tai15_15","next",10,1.168,1.174,2.119,0
"tai15_15","n8",10,1.035,1.092,2.433,0
"tai20_15","n1",10,3.522,3.506,5.781,0
"tai20_15","n2",10,3.468,3.722,5.48,0
"tai20_15","n3",10,3.603,3.388,5.706,0
"tai20_15","next",10,3.047,3.291,4.024,0
"tai20_15","n8",10,2.938,2.844,4.805,0
"tai20_20","n1",10,3.308,3.202,4.62,0
"tai20_20","n2",10,3.266,3.351,4.11,0
"tai20_20","n3",10,3.286,3.447,4.138,0
"tai20_20","next",10,2.909,2.988,3.789,0
"tai20_20","n8",10,3.01,2.882,4.075,0
"tai30_15","n1",10,4.894,5.052,7.365,0
"tai30_15","n2",10,4.364,4.796,6.946,0
"tai30_15","n3",10,5.283,5.774,8.072,1
"tai30_15","next",10,4.327,4.68,5.928,1
"tai30_15","n8",10,4.395,5.054,6.726,1
"tai30_20","n1",10,7.246,7.613,9.158,0
"tai30_20","n2",10,7.423,7.679,9.751,0
"tai30_20","n3",10,8.177,8.472,10.13,0
"tai30_20","next",10,6.848,6.863,9.101,0
"tai30_20","n8",10,7.407,7.694,9.751,0
"tai50_15","n1",10,1.053,0.888,3.695,3
"tai50_15","n2",10,1.008,0.928,2.65,3
"tai50_15","n3",10,1.984,1.554,4.703,1
"tai50_15","next",10,1.41,1.283,3.352,1
"tai50_15","n8",10,1.321,1.351,2.949,3
"tai50_20","n1",10,4.138,3.858,7.18,0
"tai50_20","n2",10,4.109,4.25,6.867,0
"tai50_20","n3",10,4.795,4.625,7.668,0
"tai50_20","next",10,4.821,5.11,6.797,0
"tai50_20","n8",10,4.989,5.133,6.832,0
