config,neigh,instance,run,makespan
n1_HC,n1,F0.15.0.abz7_06,1,689
n1_HC,n1,F0.15.0.abz7_06,2,687
n1_HC,n1,F0.15.0.abz7_06,3,698
n1_HC,n1,F0.15.0.abz7_06,4,682
n1_HC,n1,F0.15.0.abz7_06,5,687
n1_HC,n1,F0.15.0.abz7_06,6,694
n1_HC,n1,F0.15.0.abz7_06,7,693
n1_HC,n1,F0.15.0.abz7_06,8,694
n1_HC,n1,F0.15.0.abz7_06,9,683
n1_HC,n1,F0.15.0.abz7_06,10,689
n1_HC,n1,F0.15.0.abz7_06,11,685
n1_HC,n1,F0.15.0.abz7_06,12,692
n1_HC,n1,F0.15.0.abz7_06,13,686
n1_HC,n1,F0.15.0.abz7_06,14,684
n1_HC,n1,F0.15.0.abz7_06,15,698
n1_HC,n1,F0.15.0.abz7_06,16,690
n1_HC,n1,F0.15.0.abz7_06,17,688
n1_HC,n1,F0.15.0.abz7_06,18,698
n1_HC,n1,F0.15.0.abz7_06,19,674
n1_HC,n1,F0.15.0.abz7_06,20,687
n1_HC,n1,F0.15.0.abz7_06,21,682
n1_HC,n1,F0.15.0.abz7_06,22,687
n1_HC,n1,F0.15.0.abz7_06,23,674
n1_HC,n1,F0.15.0.abz7_06,24,688
n1_HC,n1,F0.15.0.abz7_06,25,680
n1_HC,n1,F0.15.0.abz7_06,26,695
n1_HC,n1,F0.15.0.abz7_06,27,689
n1_HC,n1,F0.15.0.abz7_06,28,679
n1_HC,n1,F0.15.0.abz7_06,29,688
n1_HC,n1,F0.15.0.abz7_06,30,687
n1_HC,n1,F0.15.0.abz8_05,1,705
n1_HC,n1,F0.15.0.abz8_05,2,702
n1_HC,n1,F0.15.0.abz8_05,3,696
n1_HC,n1,F0.15.0.abz8_05,4,698
n1_HC,n1,F0.15.0.abz8_05,5,712
n1_HC,n1,F0.15.0.abz8_05,6,703
n1_HC,n1,F0.15.0.abz8_05,7,690
n1_HC,n1,F0.15.0.abz8_05,8,694
n1_HC,n1,F0.15.0.abz8_05,9,698
n1_HC,n1,F0.15.0.abz8_05,10,690
n1_HC,n1,F0.15.0.abz8_05,11,699
n1_HC,n1,F0.15.0.abz8_05,12,687
n1_HC,n1,F0.15.0.abz8_05,13,698
n1_HC,n1,F0.15.0.abz8_05,14,706
n1_HC,n1,F0.15.0.abz8_05,15,699
n1_HC,n1,F0.15.0.abz8_05,16,705
