"A","B","n_pairs","mean_A","mean_B","mean_diff","W","p_raw","Z","effect_r","p_adj","sig"
"n1","n3",2460,1896.28,1909.26,-12.99,748700.5,6.23771848783473e-88,19.8786,0.4008,6.23771848783473e-87,"***"
"n3","next",2460,1909.26,1899.09,10.17,1999581.5,3.12059942745027e-63,-16.7854,0.3384,2.80853948470524e-62,"***"
"n3","n8",2460,1909.26,1899.23,10.04,1994750,7.1738770195041e-61,-16.4595,0.3319,5.73910161560328e-60,"***"
"n2","n3",2460,1899.23,1909.26,-10.03,923012.5,4.10910645903582e-51,15.0385,0.3032,2.87637452132508e-50,"***"
"n1","n2",2460,1896.28,1899.23,-2.95,1240719.5,5.78251070997544e-06,4.5342,0.0914,3.46950642598527e-05,"***"
"n1","n8",2460,1896.28,1899.23,-2.95,1351170,0.0113107911368886,2.5329,0.0511,0.0565539556844431,""
"n1","next",2460,1896.28,1899.09,-2.81,1348630,0.0161759048723012,2.4049,0.0485,0.0647036194892047,""
"n2","next",2460,1899.23,1899.09,0.14,1502156.5,0.0180819504792466,-2.3639,0.0477,0.0647036194892047,""
"n2","n8",2460,1899.23,1899.23,0,1488096.5,0.1058932121052,-1.6169,0.0326,0.211786424210399,""
"next","n8",2460,1899.09,1899.23,-0.14,1387988.5,0.769481187905925,0.2931,0.0059,0.769481187905925,""
