"A","B","n_pairs","mean_A","mean_B","mean_diff","W","p_raw","Z","effect_r","p_adj","sig"
"n3","next",82,1870.71,1860.21,10.5,2409,2.04915776014415e-07,-5.1948,0.5737,2.04915776014415e-06,"***"
"n3","n8",82,1870.71,1862.27,8.44,2168.5,1.6336514550183e-06,-4.7942,0.5294,1.47028630951647e-05,"***"
"n2","n3",82,1860.99,1870.71,-9.72,465.5,3.25885770613174e-06,4.6538,0.5139,2.60708616490539e-05,"***"
"n1","n3",82,1861.4,1870.71,-9.3,557.5,4.64037488984249e-06,4.5804,0.5058,3.24826242288974e-05,"***"
"n2","next",82,1860.99,1860.21,0.78,1692,0.159165308348402,-1.4079,0.1555,0.954991850090414,""
"n1","n2",82,1861.4,1860.99,0.41,1427.5,0.673942984737098,-0.4207,0.0465,1,""
"n1","next",82,1861.4,1860.21,1.2,1750,0.297761729727724,-1.0412,0.115,1,""
"n1","n8",82,1861.4,1862.27,-0.87,1354,0.665194438842579,0.4328,0.0478,1,""
"n2","n8",82,1860.99,1862.27,-1.28,1268.5,0.881322703182202,0.1493,0.0165,1,""
"next","n8",82,1860.21,1862.27,-2.06,1095.5,0.296786987444035,1.0433,0.1152,1,""
