"inst","algo","arm","frac_ok","conv","clase"
"ft10","ga","A0",1,TRUE,"10x10"
"ft10","ga","V2",1,TRUE,"10x10"
"ft10","ga","MIX",1,TRUE,"10x10"
"ft10","abce3","A0",0.933333333333333,TRUE,"10x10"
"ft10","abce3","GT",1,TRUE,"10x10"
"ft10","abce3","MIX",0.933333333333333,TRUE,"10x10"
"ft10","feabcls","V2",1,TRUE,"10x10"
"ft10","feabcls","GT",0.8,FALSE,"10x10"
"ft10","tsn2","A0",1,TRUE,"10x10"
"ft10","tsn2","V2",1,TRUE,"10x10"
"ft10","tsn2","MIX",0.966666666666667,TRUE,"10x10"
"ft10","tsn2","GT",1,TRUE,"10x10"
"ft10","abce3","GP",1,TRUE,"10x10"
"ft10","abce3","MIXH",1,TRUE,"10x10"
"ft10","feabcls","MOR",0.866666666666667,FALSE,"10x10"
"ft10","feabcls","GP",0.866666666666667,FALSE,"10x10"
"ft10","tsn2","V2H",1,TRUE,"10x10"
"ft10","tsn2","MOR",0.933333333333333,TRUE,"10x10"
"ft10","tsn2","MIXH",1,TRUE,"10x10"
"ft10","tsn2","GP",0.9,TRUE,"10x10"
"ft10","abce3","V2H",0.966666666666667,TRUE,"10x10"
"ft10","ga","V2H",0.966666666666667,TRUE,"10x10"
"ft10","ga","MOR",0.966666666666667,TRUE,"10x10"
"ft10","ga","MIXH",0.9,TRUE,"10x10"
"ft10","abce3","V2",1,TRUE,"10x10"
"ft10","ga","GP",1,TRUE,"10x10"
"ft10","ga","GT",1,TRUE,"10x10"
"ft10","abce3","MOR",0.966666666666667,TRUE,"10x10"
"ft10","feabcls","MIX",0.966666666666667,TRUE,"10x10"
"ft10","feabcls","V2H",1,TRUE,"10x10"
"ft10","feabcls","A0",1,TRUE,"10x10"
"ft10","feabcls","MIXH",1,TRUE,"10x10"
"tai15_15_01","tsn2","GP",1,TRUE,"15x15"
"tai15_15_01","abce3","GT",0.6,FALSE,"15x15"
"tai15_15_01","tsn2","V2",0.933333333333333,TRUE,"15x15"
"tai15_15_01","feabcls","V2",1,TRUE,"15x15"
"tai15_15_01","abce3","GP",0.633333333333333,FALSE,"15x15"
"tai15_15_01","tsn2","A0",0.966666666666667,TRUE,"15x15"
"tai15_15_01","tsn2","GT",0.766666666666667,FALSE,"15x15"
"tai15_15_01","ga","MIXH",0.966666666666667,TRUE,"15x15"
"tai15_15_01","ga","MOR",0.933333333333333,TRUE,"15x15"
"tai15_15_01","ga","GP",0.866666666666667,FALSE,"15x15"
"tai15_15_01","ga","A0",1,TRUE,"15x15"
"tai15_15_01","feabcls","MOR",0.733333333333333,FALSE,"15x15"
"tai15_15_01","ga","MIX",0.966666666666667,TRUE,"15x15"
"tai15_15_01","tsn2","V2H",1,TRUE,"15x15"
"tai15_15_01","tsn2","MIXH",0.966666666666667,TRUE,"15x15"
"tai15_15_01","tsn2","MOR",0.966666666666667,TRUE,"15x15"
"tai15_15_01","abce3","V2",0.7,FALSE,"15x15"
"tai15_15_01","abce3","MIX",0.533333333333333,FALSE,"15x15"
"tai15_15_01","ga","V2H",1,TRUE,"15x15"
"tai15_15_01","tsn2","MIX",1,TRUE,"15x15"
"tai15_15_01","feabcls","MIX",0.9,TRUE,"15x15"
"tai15_15_01","abce3","MIXH",0.7,FALSE,"15x15"
"tai15_15_01","ga","V2",0.966666666666667,TRUE,"15x15"
"tai15_15_01","abce3","V2H",0.633333333333333,FALSE,"15x15"
"tai15_15_01","abce3","MOR",0.5,FALSE,"15x15"
"tai15_15_01","feabcls","MIXH",0.966666666666667,TRUE,"15x15"
"tai15_15_01","ga","GT",0.966666666666667,TRUE,"15x15"
"tai15_15_01","abce3","A0",0.666666666666667,FALSE,"15x15"
"tai15_15_01","feabcls","A0",1,TRUE,"15x15"
"tai15_15_01","feabcls","GT",0.9,TRUE,"15x15"
"tai15_15_01","feabcls","V2H",1,TRUE,"15x15"
"tai15_15_01","feabcls","GP",0.966666666666667,TRUE,"15x15"
"tai15_15_02","feabcls","MIX",1,TRUE,"15x15"
"tai15_15_02","tsn2","A0",0.9,TRUE,"15x15"
"tai15_15_02","feabcls","MIXH",0.966666666666667,TRUE,"15x15"
"tai15_15_02","tsn2","V2H",0.933333333333333,TRUE,"15x15"
"tai15_15_02","tsn2","V2",1,TRUE,"15x15"
"tai15_15_02","tsn2","GT",0.966666666666667,TRUE,"15x15"
"tai15_15_02","ga","MOR",0.966666666666667,TRUE,"15x15"
"tai15_15_02","feabcls","GT",0.933333333333333,TRUE,"15x15"
"tai15_15_02","feabcls","A0",0.933333333333333,TRUE,"15x15"
"tai15_15_02","ga","V2H",0.933333333333333,TRUE,"15x15"
"tai15_15_02","tsn2","MOR",0.933333333333333,TRUE,"15x15"
"tai15_15_02","feabcls","GP",0.933333333333333,TRUE,"15x15"
"tai15_15_02","ga","MIX",1,TRUE,"15x15"
"tai15_15_02","abce3","A0",0.766666666666667,FALSE,"15x15"
"tai15_15_02","abce3","GT",0.6,FALSE,"15x15"
"tai15_15_02","tsn2","MIX",0.933333333333333,TRUE,"15x15"
"tai15_15_02","feabcls","V2",0.9,TRUE,"15x15"
"tai15_15_02","abce3","V2H",0.533333333333333,FALSE,"15x15"
"tai15_15_02","tsn2","GP",0.966666666666667,TRUE,"15x15"
"tai15_15_02","tsn2","MIXH",0.966666666666667,TRUE,"15x15"
"tai15_15_02","ga","MIXH",0.966666666666667,TRUE,"15x15"
"tai15_15_02","feabcls","V2H",0.866666666666667,FALSE,"15x15"
"tai15_15_02","abce3","MOR",0.566666666666667,FALSE,"15x15"
"tai15_15_02","ga","GT",0.866666666666667,FALSE,"15x15"
"tai15_15_02","ga","V2",0.933333333333333,TRUE,"15x15"
"tai15_15_02","abce3","V2",0.7,FALSE,"15x15"
"tai15_15_02","abce3","GP",0.8,FALSE,"15x15"
"tai15_15_02","abce3","MIX",0.533333333333333,FALSE,"15x15"
"tai15_15_02","feabcls","MOR",0.933333333333333,TRUE,"15x15"
"tai15_15_02","ga","A0",0.966666666666667,TRUE,"15x15"
"tai15_15_02","abce3","MIXH",0.866666666666667,FALSE,"15x15"
"tai15_15_02","ga","GP",0.966666666666667,TRUE,"15x15"
"tai15_15_03","feabcls","GT",0.9,TRUE,"15x15"
"tai15_15_03","feabcls","GP",1,TRUE,"15x15"
"tai15_15_03","abce3","MIX",0.633333333333333,FALSE,"15x15"
"tai15_15_03","tsn2","A0",0.9,TRUE,"15x15"
"tai15_15_03","feabcls","A0",0.933333333333333,TRUE,"15x15"
"tai15_15_03","feabcls","MIX",1,TRUE,"15x15"
"tai15_15_03","ga","V2H",0.866666666666667,FALSE,"15x15"
"tai15_15_03","feabcls","V2H",0.9,TRUE,"15x15"
"tai15_15_03","abce3","V2",0.666666666666667,FALSE,"15x15"
"tai15_15_03","ga","MIX",0.966666666666667,TRUE,"15x15"
"tai15_15_03","feabcls","MIXH",1,TRUE,"15x15"
"tai15_15_03","tsn2","V2",0.866666666666667,FALSE,"15x15"
"tai15_15_03","abce3","MIXH",0.8,FALSE,"15x15"
"tai15_15_03","abce3","MOR",0.666666666666667,FALSE,"15x15"
"tai15_15_03","tsn2","GT",0.866666666666667,FALSE,"15x15"
"tai15_15_03","tsn2","V2H",0.933333333333333,TRUE,"15x15"
"tai15_15_03","feabcls","V2",0.833333333333333,FALSE,"15x15"
"tai15_15_03","tsn2","MIX",0.9,TRUE,"15x15"
"tai15_15_03","ga","MIXH",1,TRUE,"15x15"
"tai15_15_03","ga","V2",0.9,TRUE,"15x15"
"tai15_15_03","feabcls","MOR",0.8,FALSE,"15x15"
"tai15_15_03","ga","A0",1,TRUE,"15x15"
"tai15_15_03","abce3","A0",0.633333333333333,FALSE,"15x15"
"tai15_15_03","tsn2","GP",1,TRUE,"15x15"
"tai15_15_03","abce3","GT",0.8,FALSE,"15x15"
"tai15_15_03","ga","GT",0.833333333333333,FALSE,"15x15"
"tai15_15_03","tsn2","MIXH",1,TRUE,"15x15"
"tai15_15_03","abce3","V2H",0.7,FALSE,"15x15"
"tai15_15_03","tsn2","MOR",1,TRUE,"15x15"
"tai15_15_03","abce3","GP",0.766666666666667,FALSE,"15x15"
"tai15_15_03","ga","GP",1,TRUE,"15x15"
"tai15_15_03","ga","MOR",0.833333333333333,FALSE,"15x15"
"tai15_15_04","abce3","V2",0.7,FALSE,"15x15"
"tai15_15_04","feabcls","A0",0.9,TRUE,"15x15"
"tai15_15_04","abce3","MIX",0.8,FALSE,"15x15"
"tai15_15_04","abce3","GT",0.733333333333333,FALSE,"15x15"
"tai15_15_04","abce3","A0",0.766666666666667,FALSE,"15x15"
"tai15_15_04","feabcls","V2",0.9,TRUE,"15x15"
"tai15_15_04","feabcls","V2H",0.933333333333333,TRUE,"15x15"
"tai15_15_04","abce3","MIXH",0.733333333333333,FALSE,"15x15"
"tai15_15_04","abce3","MOR",0.566666666666667,FALSE,"15x15"
"tai15_15_04","ga","GT",0.833333333333333,FALSE,"15x15"
"tai15_15_04","feabcls","GT",1,TRUE,"15x15"
"tai15_15_04","tsn2","A0",1,TRUE,"15x15"
"tai15_15_04","tsn2","V2",0.866666666666667,FALSE,"15x15"
"tai15_15_04","ga","MIX",0.933333333333333,TRUE,"15x15"
"tai15_15_04","feabcls","MOR",0.8,FALSE,"15x15"
"tai15_15_04","feabcls","GP",1,TRUE,"15x15"
"tai15_15_04","abce3","GP",0.9,TRUE,"15x15"
"tai15_15_04","abce3","V2H",0.733333333333333,FALSE,"15x15"
"tai15_15_04","ga","GP",0.966666666666667,TRUE,"15x15"
"tai15_15_04","feabcls","MIX",0.9,TRUE,"15x15"
"tai15_15_04","tsn2","GT",0.966666666666667,TRUE,"15x15"
"tai15_15_04","tsn2","MIX",1,TRUE,"15x15"
"tai15_15_04","ga","MIXH",1,TRUE,"15x15"
"tai15_15_04","ga","MOR",0.9,TRUE,"15x15"
"tai15_15_04","tsn2","V2H",0.933333333333333,TRUE,"15x15"
"tai15_15_04","tsn2","MOR",0.933333333333333,TRUE,"15x15"
