"algo","arm","n","a0","brazo","dif"
"ga","V2H",9,4.47268998667286,3.85287248526731,-0.619817501405547
"ga","V2",11,4.44369257872207,4.04311636986316,-0.400576208858913
"ga","MOR",8,3.87838430292281,5.98082996365234,2.10244566072953
"ga","GT",5,4.22641742473238,5.50668928227029,1.2802718575379
"ga","GP",9,4.26867190303639,3.63546387930258,-0.633208023733812
"ga","MIX",10,4.14236592288343,3.45384837129622,-0.688517551587216
"ga","MIXH",11,4.44369257872207,3.71955584784958,-0.724136730872497
"abce3","V2H",46,11.6102639516476,10.4586182336038,-1.1516457180438
"abce3","V2",46,11.6102639516476,10.3425996181795,-1.26766433346813
"abce3","MOR",43,11.6875951103148,11.9489837498836,0.261388639568851
"abce3","GT",44,11.693379897925,11.3564994644537,-0.336880433471247
"abce3","GP",45,11.6448264463327,10.7349375537399,-0.909888892592729
"abce3","MIX",46,11.6102639516476,10.3512378625329,-1.25902608911472
"abce3","MIXH",46,11.6102639516476,10.4304848117754,-1.17977913987224
"feabcls","V2H",27,3.53527217433242,3.53304401102338,-0.00222816330903974
"feabcls","V2",31,3.26392595089447,3.21519455941039,-0.0487313914840843
"feabcls","MOR",19,3.85968236672416,5.27144015273324,1.41175778600908
"feabcls","GT",27,3.48839023766257,4.1060222371757,0.617631999513127
"feabcls","GP",23,2.61508222618059,2.81335141939019,0.198269193209603
"feabcls","MIX",34,3.45931061865298,3.48022725514107,0.0209166364880828
"feabcls","MIXH",33,3.40419681905676,3.36436972627725,-0.0398270927795137
"tsn2","V2H",35,2.37042274078675,2.41097210406257,0.0405493632758192
"tsn2","V2",30,2.49064827257145,2.56927078068314,0.0786225081116947
"tsn2","MOR",33,2.79654441447544,3.57185152736112,0.775307112885688
"tsn2","GT",30,2.41759210570741,2.95427083063144,0.536678724924024
"tsn2","GP",34,2.43318846313857,2.77601494555405,0.342826482415481
"tsn2","MIX",35,2.31717322387878,2.33878924226807,0.0216160183892891
"tsn2","MIXH",37,2.58902144898203,2.63089726060161,0.0418758116195836
