"algo","arm","umbral","frac","n","dif"
"ga","MIX",0.05,0.5,22,-0.440776174125946
"ga","MIX",0.05,0.8,12,-0.46840124382367
"ga","MIX",0.05,0.9,8,-0.719643799536603
"ga","MIX",0.1,0.5,23,-0.388392825420569
"ga","MIX",0.1,0.8,16,-0.379456149044477
"ga","MIX",0.1,0.9,10,-0.688517551587216
"ga","MIX",0.25,0.5,39,-0.130251254873465
"ga","MIX",0.25,0.8,23,-0.388392825420569
"ga","MIX",0.25,0.9,13,-0.499667915256179
"ga","MIX",0.25,1,3,-0.633225477427639
"ga","MIXH",0.05,0.5,24,-0.49230629131539
"ga","MIXH",0.05,0.8,14,-0.635611975454879
"ga","MIXH",0.05,0.9,10,-0.596488176206169
"ga","MIXH",0.1,0.5,27,-0.418126441726451
"ga","MIXH",0.1,0.8,19,-0.457418599173388
"ga","MIXH",0.1,0.9,11,-0.724136730872497
"ga","MIXH",0.25,0.5,44,-0.328573585746208
"ga","MIXH",0.25,0.8,23,-0.446147113488013
"ga","MIXH",0.25,0.9,16,-0.532674949354567
"tsn2","MIX",0.05,0.5,51,-0.00491385200857586
"tsn2","MIX",0.05,0.8,37,0.0237409685672705
"tsn2","MIX",0.05,0.9,26,0.0836769503081474
"tsn2","MIX",0.05,1,10,0.0341760818653472
"tsn2","MIX",0.1,0.5,51,-0.00491385200857586
"tsn2","MIX",0.1,0.8,44,0.0261839117986358
"tsn2","MIX",0.1,0.9,35,0.0216160183892891
"tsn2","MIX",0.1,1,11,-0.00956744344386529
"tsn2","MIX",0.25,0.5,53,-0.0401700480348675
"tsn2","MIX",0.25,0.8,50,0.0250044546991797
"tsn2","MIX",0.25,0.9,44,0.0303788900801401
"tsn2","MIX",0.25,1,19,-0.000129435129426092
"tsn2","MIXH",0.05,0.5,51,-0.00967541271540284
"tsn2","MIXH",0.05,0.8,40,0.0239593108898681
"tsn2","MIXH",0.05,0.9,31,0.0524910659852993
"tsn2","MIXH",0.05,1,8,0.142217543608456
"tsn2","MIXH",0.1,0.5,51,-0.00967541271540284
"tsn2","MIXH",0.1,0.8,44,0.0169113106296899
"tsn2","MIXH",0.1,0.9,37,0.0418758116195836
"tsn2","MIXH",0.1,1,13,0.0396232447021303
"tsn2","MIXH",0.25,0.5,53,-0.0688919144701261
"tsn2","MIXH",0.25,0.8,50,0.0196501503404054
"tsn2","MIXH",0.25,0.9,45,0.0142149495226063
"tsn2","MIXH",0.25,1,19,0.0713906869267737
