algo,inst,arm,t,hamming
ga,tai20_20_01,A0,0.1,0.9355
ga,tai20_20_01,A0,10.0,0.8691
ga,tai20_20_01,A0,20.0,0.6298
ga,tai20_20_01,A0,30.0,0.3653
ga,tai20_20_01,A0,40.0,0.3333
ga,tai20_20_01,A0,50.0,0.3656
ga,tai20_20_01,V2,0.0,0.9090
ga,tai20_20_01,V2,10.0,0.9102
ga,tai20_20_01,V2,20.0,0.8615
ga,tai20_20_01,V2,30.0,0.7224
ga,tai20_20_01,V2,40.0,0.5564
ga,tai20_20_01,V2,50.0,0.4811
ga,tai20_20_01,MIX,0.0,0.9134
ga,tai20_20_01,MIX,10.0,0.9149
ga,tai20_20_01,MIX,20.0,0.8842
ga,tai20_20_01,MIX,30.0,0.7058
ga,tai20_20_01,MIX,40.0,0.4925
ga,tai20_20_01,MIX,50.0,0.3987
ga,tai20_20_05,A0,0.1,0.9336
ga,tai20_20_05,A0,10.0,0.8965
ga,tai20_20_05,A0,20.0,0.8489
ga,tai20_20_05,A0,30.0,0.6318
ga,tai20_20_05,A0,40.0,0.4198
ga,tai20_20_05,A0,50.0,0.3813
ga,tai20_20_05,V2,0.0,0.9162
ga,tai20_20_05,V2,10.0,0.9185
ga,tai20_20_05,V2,20.0,0.9188
ga,tai20_20_05,V2,30.0,0.9125
ga,tai20_20_05,V2,40.0,0.8653
ga,tai20_20_05,V2,50.0,0.7850
ga,tai20_20_05,MIX,0.0,0.9168
ga,tai20_20_05,MIX,10.0,0.9027
ga,tai20_20_05,MIX,20.0,0.8557
ga,tai20_20_05,MIX,30.0,0.6577
ga,tai20_20_05,MIX,40.0,0.4929
ga,tai20_20_05,MIX,50.0,0.4111
ga,tai30_20_01,A0,0.1,0.9598
ga,tai30_20_01,A0,10.0,0.9380
ga,tai30_20_01,A0,20.0,0.9309
ga,tai30_20_01,A0,30.0,0.9220
ga,tai30_20_01,A0,40.0,0.9126
ga,tai30_20_01,A0,50.0,0.9046
ga,tai30_20_01,A0,60.0,0.8963
ga,tai30_20_01,A0,70.0,0.8841
ga,tai30_20_01,A0,80.0,0.8663
ga,tai30_20_01,A0,90.0,0.8304
ga,tai30_20_01,A0,100.0,0.7884
ga,tai30_20_01,A0,110.0,0.7430
ga,tai30_20_01,A0,120.0,0.7129
ga,tai30_20_01,A0,130.0,0.6663
ga,tai30_20_01,A0,140.0,0.5970
ga,tai30_20_01,A0,150.0,0.5503
ga,tai30_20_01,V2,0.0,0.9486
ga,tai30_20_01,V2,10.0,0.9502
ga,tai30_20_01,V2,20.0,0.9495
ga,tai30_20_01,V2,30.0,0.9481
ga,tai30_20_01,V2,40.0,0.9441
ga,tai30_20_01,V2,50.0,0.9384
ga,tai30_20_01,V2,60.0,0.9315
ga,tai30_20_01,V2,70.0,0.9239
ga,tai30_20_01,V2,80.0,0.9174
ga,tai30_20_01,V2,90.0,0.9084
ga,tai30_20_01,V2,100.0,0.8973
ga,tai30_20_01,V2,110.0,0.8827
ga,tai30_20_01,V2,120.0,0.8574
ga,tai30_20_01,V2,130.0,0.8311
ga,tai30_20_01,V2,140.0,0.7930
ga,tai30_20_01,V2,150.0,0.7527
ga,tai30_20_01,MIX,0.0,0.9461
ga,tai30_20_01,MIX,10.0,0.9486
ga,tai30_20_01,MIX,20.0,0.9431
ga,tai30_20_01,MIX,30.0,0.9361
ga,tai30_20_01,MIX,40.0,0.9271
ga,tai30_20_01,MIX,50.0,0.9169
ga,tai30_20_01,MIX,60.0,0.9097
ga,tai30_20_01,MIX,70.0,0.9022
ga,tai30_20_01,MIX,80.0,0.8911
ga,tai30_20_01,MIX,90.0,0.8803
ga,tai30_20_01,MIX,100.0,0.8640
ga,tai30_20_01,MIX,110.0,0.8284
ga,tai30_20_01,MIX,120.0,0.7758
ga,tai30_20_01,MIX,130.0,0.7382
ga,tai30_20_01,MIX,140.0,0.6913
ga,tai30_20_01,MIX,150.0,0.6336
ga,tai30_20_05,A0,0.1,0.9608
ga,tai30_20_05,A0,10.0,0.9368
ga,tai30_20_05,A0,20.0,0.9287
ga,tai30_20_05,A0,30.0,0.9202
ga,tai30_20_05,A0,40.0,0.9132
ga,tai30_20_05,A0,50.0,0.9054
ga,tai30_20_05,A0,60.0,0.8980
ga,tai30_20_05,A0,70.0,0.8840
ga,tai30_20_05,A0,80.0,0.8620
ga,tai30_20_05,A0,90.0,0.8326
ga,tai30_20_05,A0,100.0,0.7887
ga,tai30_20_05,A0,110.0,0.7194
ga,tai30_20_05,A0,120.0,0.6412
ga,tai30_20_05,A0,130.0,0.6033
ga,tai30_20_05,A0,140.0,0.5779
ga,tai30_20_05,A0,150.0,0.5583
ga,tai30_20_05,V2,0.0,0.9502
ga,tai30_20_05,V2,10.0,0.9512
ga,tai30_20_05,V2,20.0,0.9515
ga,tai30_20_05,V2,30.0,0.9515
ga,tai30_20_05,V2,40.0,0.9504
ga,tai30_20_05,V2,50.0,0.9478
ga,tai30_20_05,V2,60.0,0.9434
ga,tai30_20_05,V2,70.0,0.9374
ga,tai30_20_05,V2,80.0,0.9315
ga,tai30_20_05,V2,90.0,0.9242
ga,tai30_20_05,V2,100.0,0.9155
ga,tai30_20_05,V2,110.0,0.9087
ga,tai30_20_05,V2,120.0,0.8990
ga,tai30_20_05,V2,130.0,0.8892
