"algo","a","b","dif","lo","hi","p"
"ga","MIXH","MIX",-0.331386873689866,-0.43889481240306,-0.227445565739378,3.85817723886575e-07
"ga","MIXH","V2H",-0.416868824506746,-0.605039621217796,-0.240286294695713,6.1238017586144e-05
"ga","MIXH","A0",-0.276319022348412,-0.461647425962944,-0.0962990028324694,0.00738037387750039
"abce3","MIXH","MIX",0.0665906644910664,-0.00575204584878408,0.139013408147911,0.0956329835318734
"abce3","MIXH","V2H",-0.0764250001547011,-0.200073986491282,0.0501797664137103,0.294323006126595
"abce3","MIXH","A0",-1.07355007062681,-1.29572131334329,-0.863383875240452,2.63557864318361e-11
"feabcls","MIXH","MIX",-0.0893475334955754,-0.13820329502954,-0.0424689578297564,0.000812552185165991
"feabcls","MIXH","V2H",-0.0787151902496233,-0.204814907595525,0.0377157355097073,0.4214781560797
"feabcls","MIXH","A0",-0.0944186917143755,-0.221368287150256,0.024587961664628,0.225722931292813
"tsn2","MIXH","MIX",-0.0499653959639444,-0.102450538434783,0.00219552174760214,0.0811600261425916
"tsn2","MIXH","V2H",-0.284904882434238,-0.445844561259856,-0.138708180544754,0.00195529975670038
"tsn2","MIXH","A0",-0.237166220219482,-0.409967853815318,-0.0835989229011525,0.0332281441197007
