algo,inst,run,t,v
feabcls,ft10,1,0.016,1131.000
feabcls,ft10,1,5.031,935.500
feabcls,ft10,1,10.047,935.500
feabcls,ft10,1,15.000,935.500
feabcls,ft10,1,20.016,935.500
feabcls,ft10,1,25.062,935.500
feabcls,ft10,1,30.047,935.500
feabcls,ft10,1,35.016,935.500
feabcls,ft10,1,40.047,935.500
feabcls,ft10,1,45.031,935.500
feabcls,ft10,1,50.031,935.500
feabcls,ft10,1,55.000,935.500
feabcls,ft10,2,0.000,1124.500
feabcls,ft10,2,5.078,940.000
feabcls,ft10,2,10.000,940.000
feabcls,ft10,2,15.031,940.000
feabcls,ft10,2,20.078,940.000
feabcls,ft10,2,25.000,940.000
feabcls,ft10,2,30.078,940.000
feabcls,ft10,2,35.016,940.000
feabcls,ft10,2,40.031,940.000
feabcls,ft10,2,45.016,940.000
feabcls,ft10,2,50.047,940.000
feabcls,ft10,2,55.047,940.000
feabcls,ft10,3,0.016,1148.500
feabcls,ft10,3,5.000,940.000
feabcls,ft10,3,10.078,940.000
feabcls,ft10,3,15.047,940.000
feabcls,ft10,3,20.062,940.000
feabcls,ft10,3,25.000,940.000
feabcls,ft10,3,30.016,940.000
feabcls,ft10,3,35.078,940.000
feabcls,ft10,3,40.078,940.000
feabcls,ft10,3,45.016,940.000
feabcls,ft10,3,50.047,940.000
feabcls,ft10,3,55.062,940.000
feabcls,ft10,3,60.000,940.000
feabcls,ft10,4,0.016,1156.000
feabcls,ft10,4,5.000,946.500
feabcls,ft10,4,10.000,946.500
feabcls,ft10,4,15.000,946.500
feabcls,ft10,4,20.016,946.500
feabcls,ft10,4,25.062,946.500
feabcls,ft10,4,30.000,946.500
feabcls,ft10,4,35.016,946.500
feabcls,ft10,4,40.062,946.500
feabcls,ft10,4,45.062,946.500
feabcls,ft10,4,50.047,946.500
feabcls,ft10,4,55.047,946.500
feabcls,ft10,4,60.000,946.500
feabcls,ft10,5,0.016,1113.500
feabcls,ft10,5,5.062,940.000
feabcls,ft10,5,10.031,940.000
feabcls,ft10,5,15.062,940.000
feabcls,ft10,5,20.016,940.000
feabcls,ft10,5,25.016,940.000
feabcls,ft10,5,30.047,940.000
feabcls,ft10,5,35.000,940.000
feabcls,ft10,5,40.000,940.000
feabcls,ft10,5,45.047,940.000
feabcls,ft10,5,50.078,940.000
feabcls,ft10,5,55.000,940.000
feabcls,ft10,5,60.016,940.000
feabcls,ft10,6,0.000,1143.000
feabcls,ft10,6,5.047,940.000
feabcls,ft10,6,10.000,940.000
feabcls,ft10,6,15.016,940.000
feabcls,ft10,6,20.047,940.000
feabcls,ft10,6,25.078,940.000
feabcls,ft10,6,30.000,940.000
feabcls,ft10,6,35.000,940.000
feabcls,ft10,6,40.016,940.000
feabcls,ft10,6,45.062,940.000
feabcls,ft10,6,50.000,940.000
feabcls,ft10,6,55.047,940.000
feabcls,ft10,6,60.000,940.000
feabcls,ft10,7,0.000,1146.500
feabcls,ft10,7,5.000,935.500
feabcls,ft10,7,10.016,935.500
feabcls,ft10,7,15.031,935.500
feabcls,ft10,7,20.047,935.500
feabcls,ft10,7,25.047,935.500
feabcls,ft10,7,30.062,935.500
feabcls,ft10,7,35.062,935.500
feabcls,ft10,7,40.031,935.500
feabcls,ft10,7,45.062,935.500
feabcls,ft10,7,50.047,935.500
feabcls,ft10,7,55.016,935.500
feabcls,ft10,7,60.000,935.500
feabcls,ft10,8,0.000,1135.500
feabcls,ft10,8,5.047,935.500
feabcls,ft10,8,10.031,935.500
feabcls,ft10,8,15.047,935.500
feabcls,ft10,8,20.000,935.500
feabcls,ft10,8,25.047,935.500
feabcls,ft10,8,30.031,935.500
feabcls,ft10,8,35.016,935.500
feabcls,ft10,8,40.078,935.500
feabcls,ft10,8,45.016,935.500
feabcls,ft10,8,50.031,935.500
feabcls,ft10,8,55.016,935.500
feabcls,ft10,8,60.016,935.500
feabcls,ft10,9,0.016,1154.000
feabcls,ft10,9,5.078,945.000
feabcls,ft10,9,10.031,939.000
feabcls,ft10,9,15.047,935.500
feabcls,ft10,9,20.062,935.500
feabcls,ft10,9,25.016,935.500
feabcls,ft10,9,30.031,935.500
feabcls,ft10,9,35.000,935.500
feabcls,ft10,9,40.000,935.500
feabcls,ft10,9,45.000,935.500
feabcls,ft10,9,50.031,935.500
feabcls,ft10,9,55.000,935.500
feabcls,ft10,9,60.031,935.500
feabcls,ft10,10,0.016,1133.000
feabcls,ft10,10,5.016,935.500
feabcls,ft10,10,10.062,935.500
feabcls,ft10,10,15.016,935.500
feabcls,ft10,10,20.062,935.500
feabcls,ft10,10,25.062,935.500
feabcls,ft10,10,30.000,935.500
feabcls,ft10,10,35.000,935.500
feabcls,ft10,10,40.047,935.500
feabcls,ft10,10,45.047,935.500
feabcls,ft10,10,50.047,935.500
feabcls,ft10,10,55.062,935.500
feabcls,ft10,10,60.047,935.500
feabcls,ft10,11,0.016,1152.500
feabcls,ft10,11,5.062,939.000
feabcls,ft10,11,10.000,935.500
feabcls,ft10,11,15.016,935.500
feabcls,ft10,11,20.016,935.500
feabcls,ft10,11,25.062,935.500
feabcls,ft10,11,30.000,935.500
feabcls,ft10,11,35.016,935.500
feabcls,ft10,11,40.062,935.500
feabcls,ft10,11,45.031,935.500
feabcls,ft10,11,50.047,935.500
feabcls,ft10,11,55.062,935.500
feabcls,ft10,11,60.031,935.500
feabcls,ft10,12,0.000,1143.000
feabcls,ft10,12,5.016,935.500
feabcls,ft10,12,10.000,935.500
feabcls,ft10,12,15.062,935.500
feabcls,ft10,12,20.000,935.500
