algo,inst,run,t,v
ga,ft10,1,0.000,1131.000
ga,ft10,1,5.000,939.000
ga,ft10,1,10.000,939.000
ga,ft10,1,15.000,939.000
ga,ft10,1,20.000,939.000
ga,ft10,1,25.000,939.000
ga,ft10,1,30.000,939.000
ga,ft10,1,35.000,939.000
ga,ft10,1,40.000,939.000
ga,ft10,1,45.000,939.000
ga,ft10,1,50.000,939.000
ga,ft10,1,55.000,939.000
ga,ft10,1,60.000,939.000
ga,ft10,2,0.000,1124.500
ga,ft10,2,5.000,939.000
ga,ft10,2,10.000,939.000
ga,ft10,2,15.000,939.000
ga,ft10,2,20.000,939.000
ga,ft10,2,25.000,939.000
ga,ft10,2,30.000,939.000
ga,ft10,2,35.000,939.000
ga,ft10,2,40.000,939.000
ga,ft10,2,45.000,939.000
ga,ft10,2,50.000,939.000
ga,ft10,2,55.000,939.000
ga,ft10,2,60.000,939.000
ga,ft10,3,0.000,1148.500
ga,ft10,3,5.000,955.000
ga,ft10,3,10.000,955.000
ga,ft10,3,15.000,955.000
ga,ft10,3,20.000,955.000
ga,ft10,3,25.000,955.000
ga,ft10,3,30.000,950.500
ga,ft10,3,35.000,950.000
ga,ft10,3,40.000,950.000
ga,ft10,3,45.000,950.000
ga,ft10,3,50.000,950.000
ga,ft10,3,55.000,950.000
ga,ft10,3,60.000,950.000
ga,ft10,4,0.000,1156.000
ga,ft10,4,5.000,960.500
ga,ft10,4,10.000,960.500
ga,ft10,4,15.000,960.500
ga,ft10,4,20.000,960.500
ga,ft10,4,25.000,960.500
ga,ft10,4,30.000,960.500
ga,ft10,4,35.000,960.500
ga,ft10,4,40.000,960.500
ga,ft10,4,45.000,959.500
ga,ft10,4,50.000,959.500
ga,ft10,4,55.000,959.500
ga,ft10,4,60.000,959.500
ga,ft10,5,0.000,1113.500
ga,ft10,5,5.000,949.000
ga,ft10,5,10.000,948.000
ga,ft10,5,15.000,946.500
ga,ft10,5,20.000,946.500
ga,ft10,5,25.000,946.500
ga,ft10,5,30.000,946.500
ga,ft10,5,35.000,946.500
ga,ft10,5,40.000,946.500
ga,ft10,5,45.000,946.500
ga,ft10,5,50.000,946.500
ga,ft10,5,55.000,946.500
ga,ft10,5,60.000,946.500
ga,ft10,6,0.000,1143.000
ga,ft10,6,5.000,939.000
ga,ft10,6,10.000,939.000
ga,ft10,6,15.000,939.000
ga,ft10,6,20.000,939.000
ga,ft10,6,25.000,939.000
ga,ft10,6,30.000,939.000
ga,ft10,6,35.000,939.000
ga,ft10,6,40.000,939.000
ga,ft10,6,45.000,939.000
ga,ft10,6,50.000,939.000
ga,ft10,6,55.000,939.000
ga,ft10,6,60.000,939.000
ga,ft10,7,0.000,1146.500
ga,ft10,7,5.000,939.000
ga,ft10,7,10.000,939.000
ga,ft10,7,15.000,939.000
ga,ft10,7,20.000,939.000
ga,ft10,7,25.000,939.000
ga,ft10,7,30.000,939.000
ga,ft10,7,35.000,939.000
ga,ft10,7,40.000,939.000
ga,ft10,7,45.000,939.000
ga,ft10,7,50.000,939.000
ga,ft10,7,55.000,939.000
ga,ft10,7,60.000,939.000
ga,ft10,8,0.000,1135.500
ga,ft10,8,5.000,948.000
ga,ft10,8,10.000,948.000
ga,ft10,8,15.000,948.000
ga,ft10,8,20.000,948.000
ga,ft10,8,25.000,948.000
ga,ft10,8,30.000,948.000
ga,ft10,8,35.000,948.000
ga,ft10,8,40.000,948.000
ga,ft10,8,45.000,948.000
ga,ft10,8,50.000,948.000
ga,ft10,8,55.000,948.000
ga,ft10,8,60.000,948.000
ga,ft10,9,0.000,1154.000
ga,ft10,9,5.000,946.000
ga,ft10,9,10.000,946.000
ga,ft10,9,15.000,946.000
ga,ft10,9,20.000,945.500
ga,ft10,9,25.000,945.000
ga,ft10,9,30.000,945.000
ga,ft10,9,35.000,940.000
ga,ft10,9,40.000,940.000
ga,ft10,9,45.000,935.500
ga,ft10,9,50.000,935.500
ga,ft10,9,55.000,935.500
ga,ft10,9,60.000,935.500
ga,ft10,10,0.000,1133.000
ga,ft10,10,5.000,952.500
ga,ft10,10,10.000,952.500
ga,ft10,10,15.000,952.500
ga,ft10,10,20.000,952.500
ga,ft10,10,25.000,952.500
ga,ft10,10,30.000,952.500
ga,ft10,10,35.000,952.500
ga,ft10,10,40.000,952.500
ga,ft10,10,45.000,952.500
ga,ft10,10,50.000,952.500
ga,ft10,10,55.000,952.500
ga,ft10,10,60.000,952.500
ga,ft10,11,0.016,1152.500
ga,ft10,11,5.000,939.000
ga,ft10,11,10.000,939.000
ga,ft10,11,15.000,939.000
ga,ft10,11,20.000,939.000
ga,ft10,11,25.000,939.000
ga,ft10,11,30.000,939.000
ga,ft10,11,35.000,939.000
ga,ft10,11,40.000,939.000
ga,ft10,11,45.000,939.000
ga,ft10,11,50.000,939.000
ga,ft10,11,55.000,939.000
ga,ft10,11,60.000,939.000
ga,ft10,12,0.000,1143.000
ga,ft10,12,5.000,952.500
ga,ft10,12,10.000,952.500
ga,ft10,12,15.000,952.500
ga,ft10,12,20.000,952.500
