algo,inst,run,t,v
tsn2,ft10,1,0.000,1118.500
tsn2,ft10,1,5.391,935.500
tsn2,ft10,1,10.141,935.500
tsn2,ft10,1,15.234,935.500
tsn2,ft10,1,20.000,935.500
tsn2,ft10,1,25.469,935.500
tsn2,ft10,1,30.531,935.500
tsn2,ft10,1,35.438,935.500
tsn2,ft10,1,40.328,935.500
tsn2,ft10,1,45.469,935.500
tsn2,ft10,1,50.297,935.500
tsn2,ft10,1,55.438,935.500
tsn2,ft10,1,60.000,935.500
tsn2,ft10,2,0.000,1124.500
tsn2,ft10,2,5.000,940.000
tsn2,ft10,2,10.484,940.000
tsn2,ft10,2,15.188,940.000
tsn2,ft10,2,20.547,940.000
tsn2,ft10,2,25.359,940.000
tsn2,ft10,2,30.062,940.000
tsn2,ft10,2,35.219,940.000
tsn2,ft10,2,40.078,940.000
tsn2,ft10,2,45.078,940.000
tsn2,ft10,2,50.281,940.000
tsn2,ft10,2,55.266,940.000
tsn2,ft10,2,60.094,940.000
tsn2,ft10,3,0.000,1146.000
tsn2,ft10,3,5.281,935.500
tsn2,ft10,3,10.062,935.500
tsn2,ft10,3,15.188,935.500
tsn2,ft10,3,20.062,935.500
tsn2,ft10,3,25.062,935.500
tsn2,ft10,3,30.047,935.500
tsn2,ft10,3,35.016,935.500
tsn2,ft10,3,40.016,935.500
tsn2,ft10,3,45.031,935.500
tsn2,ft10,3,50.266,935.500
tsn2,ft10,3,55.172,935.500
tsn2,ft10,3,60.141,935.500
tsn2,ft10,4,0.000,1116.000
tsn2,ft10,4,5.797,935.500
tsn2,ft10,4,10.109,935.500
tsn2,ft10,4,15.266,935.500
tsn2,ft10,4,20.562,935.500
tsn2,ft10,4,25.266,935.500
tsn2,ft10,4,30.203,935.500
tsn2,ft10,4,35.266,935.500
tsn2,ft10,4,40.406,935.500
tsn2,ft10,4,45.328,935.500
tsn2,ft10,4,50.500,935.500
tsn2,ft10,4,55.203,935.500
tsn2,ft10,4,60.156,935.500
tsn2,ft10,5,0.016,1113.500
tsn2,ft10,5,5.234,940.000
tsn2,ft10,5,10.016,940.000
tsn2,ft10,5,15.078,940.000
tsn2,ft10,5,20.328,940.000
tsn2,ft10,5,25.047,940.000
tsn2,ft10,5,30.031,940.000
tsn2,ft10,5,35.344,940.000
tsn2,ft10,5,40.281,940.000
tsn2,ft10,5,45.141,940.000
tsn2,ft10,5,50.125,940.000
tsn2,ft10,5,55.203,940.000
tsn2,ft10,6,0.000,1143.000
tsn2,ft10,6,5.047,935.500
tsn2,ft10,6,10.172,935.500
tsn2,ft10,6,15.250,935.500
tsn2,ft10,6,20.438,935.500
tsn2,ft10,6,25.125,935.500
tsn2,ft10,6,30.016,935.500
tsn2,ft10,6,35.094,935.500
tsn2,ft10,6,40.281,935.500
tsn2,ft10,6,45.453,935.500
tsn2,ft10,6,50.016,935.500
tsn2,ft10,6,55.203,935.500
tsn2,ft10,7,0.016,1151.500
tsn2,ft10,7,5.016,949.000
tsn2,ft10,7,10.172,949.000
tsn2,ft10,7,15.078,949.000
tsn2,ft10,7,20.328,949.000
tsn2,ft10,7,25.312,949.000
tsn2,ft10,7,30.219,949.000
tsn2,ft10,7,35.328,949.000
tsn2,ft10,7,40.406,949.000
tsn2,ft10,7,45.500,949.000
tsn2,ft10,7,50.141,949.000
tsn2,ft10,7,55.062,949.000
tsn2,ft10,7,60.078,949.000
tsn2,ft10,8,0.016,1176.000
tsn2,ft10,8,5.328,949.000
tsn2,ft10,8,10.359,949.000
tsn2,ft10,8,15.188,949.000
tsn2,ft10,8,20.469,949.000
tsn2,ft10,8,25.422,949.000
tsn2,ft10,8,30.281,949.000
tsn2,ft10,8,35.438,949.000
tsn2,ft10,8,40.281,949.000
tsn2,ft10,8,45.172,949.000
tsn2,ft10,8,50.156,949.000
tsn2,ft10,8,55.078,949.000
tsn2,ft10,8,60.250,949.000
tsn2,ft10,9,0.000,1169.000
tsn2,ft10,9,5.203,935.500
tsn2,ft10,9,10.125,935.500
tsn2,ft10,9,15.094,935.500
tsn2,ft10,9,20.125,935.500
tsn2,ft10,9,25.109,935.500
tsn2,ft10,9,30.156,935.500
tsn2,ft10,9,35.094,935.500
tsn2,ft10,9,40.172,935.500
tsn2,ft10,9,45.156,935.500
tsn2,ft10,9,50.078,935.500
tsn2,ft10,9,55.188,935.500
tsn2,ft10,10,0.016,1142.000
tsn2,ft10,10,5.203,935.500
tsn2,ft10,10,10.312,935.500
tsn2,ft10,10,15.156,935.500
tsn2,ft10,10,20.281,935.500
tsn2,ft10,10,25.125,935.500
tsn2,ft10,10,30.156,935.500
tsn2,ft10,10,35.141,935.500
tsn2,ft10,10,40.219,935.500
tsn2,ft10,10,45.078,935.500
tsn2,ft10,10,50.234,935.500
tsn2,ft10,10,55.188,935.500
tsn2,ft10,11,0.016,1164.000
tsn2,ft10,11,5.266,935.500
tsn2,ft10,11,10.172,935.500
tsn2,ft10,11,15.156,935.500
tsn2,ft10,11,20.125,935.500
tsn2,ft10,11,25.078,935.500
tsn2,ft10,11,30.094,935.500
tsn2,ft10,11,35.172,935.500
tsn2,ft10,11,40.438,935.500
tsn2,ft10,11,45.031,935.500
tsn2,ft10,11,50.328,935.500
tsn2,ft10,11,55.234,935.500
tsn2,ft10,11,60.062,935.500
tsn2,ft10,12,0.000,1143.000
tsn2,ft10,12,5.375,941.500
tsn2,ft10,12,10.438,935.500
tsn2,ft10,12,15.344,935.500
tsn2,ft10,12,20.047,935.500
tsn2,ft10,12,25.250,935.500
