algo,inst,arm,t,bestcmax
abce3,ft10,A0,0.2,1136.80
abce3,ft10,A0,0.4,1136.80
abce3,ft10,A0,0.6,1136.80
abce3,ft10,A0,0.8,1136.80
abce3,ft10,A0,1.0,1136.80
abce3,ft10,A0,1.2,1136.80
abce3,ft10,A0,1.4,1136.80
abce3,ft10,A0,1.6,1136.80
abce3,ft10,A0,1.8,1136.80
abce3,ft10,A0,2.0,1136.80
abce3,ft10,A0,2.2,1136.80
abce3,ft10,A0,2.4,1136.80
abce3,ft10,A0,2.6,1136.80
abce3,ft10,A0,2.8,1136.80
abce3,ft10,A0,3.0,1136.80
abce3,ft10,A0,3.2,1136.80
abce3,ft10,A0,3.4,1136.80
abce3,ft10,A0,3.6,1136.80
abce3,ft10,A0,3.8,1136.80
abce3,ft10,A0,4.0,1136.80
abce3,ft10,A0,4.2,1136.80
abce3,ft10,A0,4.4,1136.80
abce3,ft10,A0,4.6,1136.80
abce3,ft10,A0,4.8,1136.80
abce3,ft10,A0,5.0,1136.80
abce3,ft10,A0,5.2,1136.80
abce3,ft10,A0,5.4,1136.80
abce3,ft10,A0,5.6,1136.80
abce3,ft10,A0,5.8,1136.80
abce3,ft10,A0,6.0,1136.80
abce3,ft10,A0,6.2,1136.80
abce3,ft10,A0,6.4,1136.80
abce3,ft10,A0,6.6,1136.80
abce3,ft10,A0,6.8,1136.80
abce3,ft10,A0,7.0,1136.80
abce3,ft10,A0,7.2,1136.80
abce3,ft10,A0,7.4,1136.80
abce3,ft10,A0,7.6,1136.80
abce3,ft10,A0,7.8,1136.80
abce3,ft10,A0,8.0,1136.80
abce3,ft10,A0,8.2,1136.80
abce3,ft10,A0,8.4,1136.80
abce3,ft10,A0,8.6,1136.80
abce3,ft10,A0,8.8,1136.80
abce3,ft10,A0,9.0,1136.80
abce3,ft10,A0,9.2,1136.80
abce3,ft10,A0,9.4,1136.80
abce3,ft10,A0,9.6,1136.80
abce3,ft10,A0,9.8,1136.80
abce3,ft10,A0,10.0,1136.80
abce3,ft10,A0,10.2,1136.80
abce3,ft10,A0,10.4,1136.80
abce3,ft10,A0,10.6,1136.80
abce3,ft10,A0,10.8,1136.80
abce3,ft10,A0,11.0,1136.80
abce3,ft10,A0,11.2,1136.80
abce3,ft10,A0,11.4,1136.80
abce3,ft10,A0,11.6,1136.80
abce3,ft10,A0,11.8,1136.80
abce3,ft10,A0,12.0,1136.80
abce3,ft10,A0,12.2,1136.80
abce3,ft10,A0,12.4,1136.80
abce3,ft10,A0,12.6,1136.80
abce3,ft10,A0,12.8,1136.80
abce3,ft10,A0,13.0,1136.80
abce3,ft10,A0,13.2,1136.80
abce3,ft10,A0,13.4,1136.80
abce3,ft10,A0,13.6,1136.80
abce3,ft10,A0,13.8,1136.80
abce3,ft10,A0,14.0,1136.80
abce3,ft10,A0,14.2,1136.80
abce3,ft10,A0,14.4,1136.80
abce3,ft10,A0,14.6,1136.80
abce3,ft10,A0,14.8,1136.80
abce3,ft10,A0,15.0,1136.80
abce3,ft10,A0,15.2,967.40
abce3,ft10,A0,15.4,967.40
abce3,ft10,A0,15.6,967.40
abce3,ft10,A0,15.8,967.40
abce3,ft10,A0,16.0,967.40
abce3,ft10,A0,16.2,967.40
abce3,ft10,A0,16.4,967.40
abce3,ft10,A0,16.6,967.40
abce3,ft10,A0,16.8,967.40
abce3,ft10,A0,17.0,967.40
abce3,ft10,A0,17.2,967.40
abce3,ft10,A0,17.4,967.40
abce3,ft10,A0,17.6,967.40
abce3,ft10,A0,17.8,967.40
abce3,ft10,A0,18.0,967.40
abce3,ft10,A0,18.2,967.40
abce3,ft10,A0,18.4,967.40
abce3,ft10,A0,18.6,967.40
abce3,ft10,A0,18.8,967.40
abce3,ft10,A0,19.0,967.40
abce3,ft10,A0,19.2,967.40
abce3,ft10,A0,19.4,967.40
abce3,ft10,A0,19.6,967.40
abce3,ft10,A0,19.8,967.40
abce3,ft10,A0,20.0,967.40
abce3,ft10,A0,20.2,954.90
abce3,ft10,A0,20.4,954.90
abce3,ft10,A0,20.6,954.90
abce3,ft10,A0,20.8,954.90
abce3,ft10,A0,21.0,954.90
abce3,ft10,A0,21.2,954.90
abce3,ft10,A0,21.4,954.90
abce3,ft10,A0,21.6,954.90
abce3,ft10,A0,21.8,954.90
abce3,ft10,A0,22.0,954.90
abce3,ft10,A0,22.2,954.90
abce3,ft10,A0,22.4,954.90
abce3,ft10,A0,22.6,954.90
abce3,ft10,A0,22.8,954.90
abce3,ft10,A0,23.0,954.90
abce3,ft10,A0,23.2,954.90
abce3,ft10,A0,23.4,954.90
abce3,ft10,A0,23.6,954.90
abce3,ft10,A0,23.8,954.90
abce3,ft10,A0,24.0,954.90
abce3,ft10,A0,24.2,954.90
abce3,ft10,A0,24.4,954.90
abce3,ft10,A0,24.6,954.90
abce3,ft10,A0,24.8,954.90
abce3,ft10,A0,25.0,954.90
abce3,ft10,A0,25.2,949.90
abce3,ft10,A0,25.4,949.90
abce3,ft10,A0,25.6,949.90
abce3,ft10,A0,25.8,949.90
abce3,ft10,A0,26.0,949.90
abce3,ft10,A0,26.2,949.90
abce3,ft10,A0,26.4,949.90
abce3,ft10,A0,26.6,949.90
abce3,ft10,A0,26.8,949.90
abce3,ft10,A0,27.0,949.90
abce3,ft10,A0,27.2,949.90
abce3,ft10,A0,27.4,949.90
abce3,ft10,A0,27.6,949.90
abce3,ft10,A0,27.8,949.90
abce3,ft10,A0,28.0,949.90
abce3,ft10,A0,28.2,949.90
abce3,ft10,A0,28.4,949.90
abce3,ft10,A0,28.6,949.90
abce3,ft10,A0,28.8,949.90
abce3,ft10,A0,29.0,949.90
abce3,ft10,A0,29.2,949.90
abce3,ft10,A0,29.4,949.90
abce3,ft10,A0,29.6,949.90
abce3,ft10,A0,29.8,949.90
abce3,ft10,A0,30.0,949.90
abce3,ft10,A0,30.2,956.80
abce3,ft10,A0,30.4,956.80
abce3,ft10,A0,30.6,956.80
abce3,ft10,A0,30.8,956.80
abce3,ft10,A0,31.0,956.80
abce3,ft10,A0,31.2,956.80
abce3,ft10,A0,31.4,956.80
abce3,ft10,A0,31.6,956.80
abce3,ft10,A0,31.8,956.80
abce3,ft10,A0,32.0,956.80
abce3,ft10,A0,32.2,956.80
abce3,ft10,A0,32.4,956.80
abce3,ft10,A0,32.6,956.80
abce3,ft10,A0,32.8,956.80
abce3,ft10,A0,33.0,956.80
abce3,ft10,A0,33.2,956.80
abce3,ft10,A0,33.4,956.80
abce3,ft10,A0,33.6,956.80
abce3,ft10,A0,33.8,956.80
abce3,ft10,A0,34.0,956.80
abce3,ft10,A0,34.2,956.80
abce3,ft10,A0,34.4,956.80
abce3,ft10,A0,34.6,956.80
abce3,ft10,A0,34.8,956.80
abce3,ft10,A0,35.0,956.80
abce3,ft10,A0,35.2,955.60
abce3,ft10,A0,35.4,955.60
abce3,ft10,A0,35.6,955.60
abce3,ft10,A0,35.8,955.60
abce3,ft10,A0,36.0,955.60
abce3,ft10,A0,36.2,955.60
abce3,ft10,A0,36.4,955.60
abce3,ft10,A0,36.6,955.60
abce3,ft10,A0,36.8,955.60
abce3,ft10,A0,37.0,955.60
abce3,ft10,A0,37.2,955.60
abce3,ft10,A0,37.4,955.60
abce3,ft10,A0,37.6,955.60
abce3,ft10,A0,37.8,955.60
abce3,ft10,A0,38.0,955.60
abce3,ft10,A0,38.2,955.60
abce3,ft10,A0,38.4,955.60
abce3,ft10,A0,38.6,955.60
abce3,ft10,A0,38.8,955.60
abce3,ft10,A0,39.0,955.60
abce3,ft10,A0,39.2,955.60
abce3,ft10,A0,39.4,955.60
abce3,ft10,A0,39.6,955.60
abce3,ft10,A0,39.8,955.60
abce3,ft10,A0,40.0,960.20
abce3,ft10,A0,40.2,960.20
abce3,ft10,A0,40.4,960.20
abce3,ft10,A0,40.6,960.20
abce3,ft10,A0,40.8,960.20
abce3,ft10,A0,41.0,960.20
abce3,ft10,A0,41.2,960.20
abce3,ft10,A0,41.4,960.20
abce3,ft10,A0,41.6,960.20
abce3,ft10,A0,41.8,960.20
abce3,ft10,A0,42.0,960.20
abce3,ft10,A0,42.2,960.20
abce3,ft10,A0,42.4,960.20
abce3,ft10,A0,42.6,960.20
abce3,ft10,A0,42.8,960.20
abce3,ft10,A0,43.0,960.20
abce3,ft10,A0,43.2,960.20
abce3,ft10,A0,43.4,960.20
abce3,ft10,A0,43.6,960.20
abce3,ft10,A0,43.8,960.20
abce3,ft10,A0,44.0,960.20
abce3,ft10,A0,44.2,960.20
abce3,ft10,A0,44.4,960.20
abce3,ft10,A0,44.6,960.20
abce3,ft10,A0,44.8,960.20
abce3,ft10,A0,45.0,960.20
