algo,inst,arm,t,bestcmax
feabcls,ft10,A0,5.00,1140.73
feabcls,ft10,A0,10.00,1126.58
feabcls,ft10,A0,15.00,1105.87
feabcls,ft10,A0,20.00,1078.05
feabcls,ft10,A0,25.00,957.92
feabcls,ft10,A0,30.00,938.52
feabcls,ft10,A0,35.00,938.52
feabcls,ft10,A0,40.00,938.52
feabcls,ft10,A0,45.00,938.52
feabcls,ft10,A0,50.00,938.52
feabcls,ft10,A0,55.00,938.52
feabcls,ft10,V2H,5.00,998.52
feabcls,ft10,V2H,10.00,979.47
feabcls,ft10,V2H,15.00,979.13
feabcls,ft10,V2H,20.00,979.13
feabcls,ft10,V2H,25.00,975.43
feabcls,ft10,V2H,30.00,946.12
feabcls,ft10,V2H,35.00,940.85
feabcls,ft10,V2H,40.00,940.72
feabcls,ft10,V2H,45.00,940.55
feabcls,ft10,V2H,50.00,940.55
feabcls,ft10,V2H,55.00,940.53
feabcls,ft10,V2,5.00,993.15
feabcls,ft10,V2,10.00,993.15
feabcls,ft10,V2,15.00,993.15
feabcls,ft10,V2,20.00,993.15
feabcls,ft10,V2,25.00,993.15
feabcls,ft10,V2,30.00,975.33
feabcls,ft10,V2,35.00,975.33
feabcls,ft10,V2,40.00,975.33
feabcls,ft10,V2,45.00,973.72
feabcls,ft10,V2,50.00,966.62
feabcls,ft10,V2,55.00,966.62
feabcls,ft10,MOR,5.00,1157.43
feabcls,ft10,MOR,10.00,1157.43
feabcls,ft10,MOR,15.00,1122.62
feabcls,ft10,MOR,20.00,1115.40
feabcls,ft10,MOR,25.00,1088.63
feabcls,ft10,MOR,30.00,1056.63
feabcls,ft10,MOR,35.00,1050.87
feabcls,ft10,MOR,40.00,1023.17
feabcls,ft10,MOR,45.00,1023.17
feabcls,ft10,MOR,50.00,987.55
feabcls,ft10,GT,5.00,1090.97
feabcls,ft10,GT,10.00,1062.52
feabcls,ft10,GT,15.00,1033.13
feabcls,ft10,GT,20.00,980.78
feabcls,ft10,GT,25.00,960.78
feabcls,ft10,GT,30.00,945.08
feabcls,ft10,GT,35.00,944.85
feabcls,ft10,GT,40.00,944.85
feabcls,ft10,GT,45.00,944.73
feabcls,ft10,GT,50.00,944.50
feabcls,ft10,GT,55.00,944.50
feabcls,ft10,GT,60.00,943.43
feabcls,ft10,GP,5.00,997.80
feabcls,ft10,GP,10.00,997.80
feabcls,ft10,GP,15.00,997.80
feabcls,ft10,GP,20.00,997.80
feabcls,ft10,GP,25.00,985.62
feabcls,ft10,GP,30.00,980.75
feabcls,ft10,GP,35.00,974.85
feabcls,ft10,GP,40.00,962.78
feabcls,ft10,GP,45.00,962.78
feabcls,ft10,GP,50.00,954.10
feabcls,ft10,GP,55.00,952.60
feabcls,ft10,MIX,5.00,988.67
feabcls,ft10,MIX,10.00,955.67
feabcls,ft10,MIX,15.00,952.55
feabcls,ft10,MIX,20.00,949.43
feabcls,ft10,MIX,25.00,944.38
feabcls,ft10,MIX,30.00,944.38
feabcls,ft10,MIX,35.00,944.27
feabcls,ft10,MIX,40.00,944.03
feabcls,ft10,MIX,45.00,943.92
feabcls,ft10,MIX,50.00,943.80
feabcls,ft10,MIX,55.00,943.80
feabcls,tai15_15_01,A0,5.00,1552.35
