algo,inst,arm,t,bestcmax
tsn2,ft10,A0,5.00,1132.73
tsn2,ft10,A0,10.00,937.53
tsn2,ft10,A0,15.00,937.15
tsn2,ft10,A0,20.00,937.15
tsn2,ft10,A0,25.00,937.15
tsn2,ft10,A0,30.00,937.15
tsn2,ft10,A0,35.00,937.15
tsn2,ft10,A0,40.00,937.15
tsn2,ft10,A0,45.00,937.15
tsn2,ft10,A0,50.00,937.15
tsn2,ft10,A0,55.00,937.15
tsn2,ft10,A0,60.00,937.15
tsn2,ft10,V2H,5.00,995.27
tsn2,ft10,V2H,10.00,940.42
tsn2,ft10,V2H,15.00,939.85
tsn2,ft10,V2H,20.00,939.85
tsn2,ft10,V2H,25.00,939.85
tsn2,ft10,V2H,30.00,939.85
tsn2,ft10,V2H,35.00,939.85
tsn2,ft10,V2H,40.00,939.85
tsn2,ft10,V2H,45.00,939.85
tsn2,ft10,V2H,50.00,939.85
tsn2,ft10,V2H,55.00,939.85
tsn2,ft10,V2H,60.00,939.85
tsn2,ft10,V2,5.00,989.72
tsn2,ft10,V2,10.00,940.18
tsn2,ft10,V2,15.00,940.00
tsn2,ft10,V2,20.00,940.00
tsn2,ft10,V2,25.00,940.00
tsn2,ft10,V2,30.00,940.00
tsn2,ft10,V2,35.00,940.00
tsn2,ft10,V2,40.00,940.00
tsn2,ft10,V2,45.00,940.00
tsn2,ft10,V2,50.00,940.00
tsn2,ft10,V2,55.00,940.00
tsn2,ft10,V2,60.00,940.00
tsn2,ft10,MOR,5.00,1155.63
tsn2,ft10,MOR,10.00,969.35
tsn2,ft10,MOR,15.00,960.68
tsn2,ft10,MOR,20.00,957.53
tsn2,ft10,MOR,25.00,955.23
tsn2,ft10,MOR,30.00,950.93
tsn2,ft10,MOR,35.00,948.88
tsn2,ft10,MOR,40.00,947.18
tsn2,ft10,MOR,45.00,947.18
tsn2,ft10,MOR,50.00,946.87
tsn2,ft10,MOR,55.00,946.87
tsn2,ft10,MOR,60.00,946.33
tsn2,ft10,GT,5.00,1102.13
tsn2,ft10,GT,10.00,945.65
tsn2,ft10,GT,15.00,945.65
tsn2,ft10,GT,20.00,945.65
tsn2,ft10,GT,25.00,945.30
tsn2,ft10,GT,30.00,945.30
tsn2,ft10,GT,35.00,945.30
tsn2,ft10,GT,40.00,945.30
tsn2,ft10,GT,45.00,945.30
tsn2,ft10,GT,50.00,945.30
tsn2,ft10,GT,55.00,945.30
tsn2,ft10,GT,60.00,945.30
tsn2,ft10,GP,5.00,1000.25
tsn2,ft10,GP,10.00,947.07
tsn2,ft10,GP,15.00,947.07
tsn2,ft10,GP,20.00,947.07
tsn2,ft10,GP,25.00,947.07
tsn2,ft10,GP,30.00,947.07
tsn2,ft10,GP,35.00,947.07
tsn2,ft10,GP,40.00,946.83
tsn2,ft10,GP,45.00,946.83
tsn2,ft10,GP,50.00,946.83
tsn2,ft10,GP,55.00,946.83
tsn2,ft10,GP,60.00,946.33
tsn2,ft10,MIX,5.00,993.23
tsn2,ft10,MIX,10.00,945.82
tsn2,ft10,MIX,15.00,945.05
tsn2,ft10,MIX,20.00,944.93
tsn2,ft10,MIX,25.00,944.93
tsn2,ft10,MIX,30.00,944.93
tsn2,ft10,MIX,35.00,944.93
tsn2,ft10,MIX,40.00,944.63
tsn2,ft10,MIX,45.00,944.63
tsn2,ft10,MIX,50.00,944.63
tsn2,ft10,MIX,55.00,944.63
tsn2,ft10,MIX,60.00,944.33
tsn2,tai15_15_01,A0,5.00,1555.08
tsn2,tai15_15_01,A0,10.00,1285.63
tsn2,tai15_15_01,A0,15.00,1268.92
tsn2,tai15_15_01,A0,20.00,1262.42
tsn2,tai15_15_01,A0,25.00,1255.97
tsn2,tai15_15_01,A0,30.00,1253.98
tsn2,tai15_15_01,A0,35.00,1252.25
tsn2,tai15_15_01,A0,40.00,1251.75
tsn2,tai15_15_01,A0,45.00,1251.62
tsn2,tai15_15_01,A0,50.00,1251.35
tsn2,tai15_15_01,A0,55.00,1251.23
tsn2,tai15_15_01,A0,60.00,1251.23
tsn2,tai15_15_01,V2H,5.00,1368.83
tsn2,tai15_15_01,V2H,10.00,1281.32
tsn2,tai15_15_01,V2H,15.00,1268.35
tsn2,tai15_15_01,V2H,20.00,1259.75
tsn2,tai15_15_01,V2H,25.00,1254.18
tsn2,tai15_15_01,V2H,30.00,1252.97
tsn2,tai15_15_01,V2H,35.00,1251.90
tsn2,tai15_15_01,V2H,40.00,1251.35
tsn2,tai15_15_01,V2H,45.00,1251.20
tsn2,tai15_15_01,V2H,50.00,1251.20
tsn2,tai15_15_01,V2H,55.00,1251.20
tsn2,tai15_15_01,V2H,60.00,1251.20
tsn2,tai15_15_01,V2,5.00,1369.85
tsn2,tai15_15_01,V2,10.00,1280.08
tsn2,tai15_15_01,V2,15.00,1271.13
tsn2,tai15_15_01,V2,20.00,1262.37
tsn2,tai15_15_01,V2,25.00,1258.05
tsn2,tai15_15_01,V2,30.00,1255.20
tsn2,tai15_15_01,V2,35.00,1253.75
tsn2,tai15_15_01,V2,40.00,1253.62
tsn2,tai15_15_01,V2,45.00,1253.62
tsn2,tai15_15_01,V2,50.00,1253.38
tsn2,tai15_15_01,V2,55.00,1253.27
tsn2,tai15_15_01,V2,60.00,1253.13
tsn2,tai15_15_01,MOR,5.00,1471.02
tsn2,tai15_15_01,MOR,10.00,1292.17
tsn2,tai15_15_01,MOR,15.00,1272.35
tsn2,tai15_15_01,MOR,20.00,1266.88
tsn2,tai15_15_01,MOR,25.00,1266.20
tsn2,tai15_15_01,MOR,30.00,1264.85
tsn2,tai15_15_01,MOR,35.00,1264.30
tsn2,tai15_15_01,MOR,40.00,1264.15
