algo,inst,run,t_fin,v90,v_fin
abce3,ft10,1,60.000,940.000,940.000
abce3,ft10,2,60.000,949.000,949.000
abce3,ft10,3,60.000,960.500,960.500
abce3,ft10,4,60.000,955.000,955.000
abce3,ft10,5,60.000,945.000,945.000
abce3,ft10,6,60.000,954.000,954.000
abce3,ft10,7,60.016,949.000,949.000
abce3,ft10,8,60.000,940.000,940.000
abce3,ft10,9,60.000,939.000,939.000
abce3,ft10,10,60.000,952.000,952.000
abce3,ft10,11,60.000,950.000,950.000
abce3,ft10,12,60.016,939.000,939.000
abce3,ft10,13,60.000,939.000,939.000
abce3,ft10,14,60.000,939.000,939.000
abce3,ft10,15,60.000,955.000,955.000
abce3,ft10,16,60.000,969.000,969.000
abce3,ft10,17,60.000,969.000,969.000
abce3,ft10,18,60.000,954.000,954.000
abce3,ft10,19,60.000,951.500,950.500
abce3,ft10,20,60.000,956.500,956.500
abce3,ft10,21,60.000,957.000,957.000
abce3,ft10,22,60.000,960.500,960.500
abce3,ft10,23,60.000,954.000,954.000
abce3,ft10,24,60.000,962.500,962.500
abce3,ft10,25,60.000,939.000,939.000
abce3,ft10,26,60.000,939.000,935.500
abce3,ft10,27,60.000,963.000,963.000
abce3,ft10,28,60.000,939.000,939.000
abce3,ft10,29,60.000,969.000,969.000
abce3,ft10,30,60.016,950.000,950.000
abce3,tai15_15_01,1,60.000,1304.000,1304.000
abce3,tai15_15_01,2,55.016,1306.000,1306.000
abce3,tai15_15_01,3,60.016,1307.000,1304.000
abce3,tai15_15_01,4,55.016,1322.000,1322.000
abce3,tai15_15_01,5,60.016,1319.500,1306.500
abce3,tai15_15_01,6,60.016,1304.500,1304.500
abce3,tai15_15_01,7,60.000,1293.000,1293.000
abce3,tai15_15_01,8,55.031,1335.500,1335.000
abce3,tai15_15_01,9,60.000,1294.500,1294.500
abce3,tai15_15_01,10,55.031,1300.500,1294.500
abce3,tai15_15_01,11,60.000,1306.000,1306.000
abce3,tai15_15_01,12,55.000,1290.500,1290.500
abce3,tai15_15_01,13,60.016,1313.000,1300.000
abce3,tai15_15_01,14,60.016,1301.000,1285.500
abce3,tai15_15_01,15,60.000,1333.500,1293.500
abce3,tai15_15_01,16,55.016,1324.500,1321.000
abce3,tai15_15_01,17,55.000,1325.000,1289.500
abce3,tai15_15_01,18,55.016,1302.500,1302.500
abce3,tai15_15_01,19,60.000,1298.500,1298.500
abce3,tai15_15_01,20,55.016,1308.500,1308.500
abce3,tai15_15_01,21,60.000,1310.000,1310.000
abce3,tai15_15_01,22,55.016,1287.500,1287.500
abce3,tai15_15_01,23,60.000,1304.000,1304.000
abce3,tai15_15_01,24,55.016,1315.000,1315.000
abce3,tai15_15_01,25,55.016,1323.000,1292.000
abce3,tai15_15_01,26,55.000,1300.000,1300.000
abce3,tai15_15_01,27,60.000,1314.500,1314.500
abce3,tai15_15_01,28,55.000,1327.000,1327.000
abce3,tai15_15_01,29,60.000,1296.000,1296.000
abce3,tai15_15_01,30,60.000,1308.500,1304.500
abce3,tai15_15_02,1,55.031,1304.000,1303.500
abce3,tai15_15_02,2,55.047,1289.000,1289.000
abce3,tai15_15_02,3,60.016,1306.000,1294.000
abce3,tai15_15_02,4,55.000,1310.000,1284.500
abce3,tai15_15_02,5,60.000,1291.500,1291.500
abce3,tai15_15_02,6,60.000,1275.000,1275.000
abce3,tai15_15_02,7,55.016,1298.000,1298.000
abce3,tai15_15_02,8,55.031,1292.500,1292.500
abce3,tai15_15_02,9,60.016,1278.500,1278.500
abce3,tai15_15_02,10,60.000,1293.500,1293.500
abce3,tai15_15_02,11,55.031,1300.000,1275.500
abce3,tai15_15_02,12,60.000,1277.000,1277.000
abce3,tai15_15_02,13,60.000,1297.500,1297.500
abce3,tai15_15_02,14,55.016,1313.000,1313.000
abce3,tai15_15_02,15,60.031,1298.000,1298.000
abce3,tai15_15_02,16,60.000,1281.000,1281.000
abce3,tai15_15_02,17,60.016,1303.500,1295.000
abce3,tai15_15_02,18,60.000,1298.500,1288.500
abce3,tai15_15_02,19,60.000,1288.500,1288.500
abce3,tai15_15_02,20,60.016,1290.000,1290.000
abce3,tai15_15_02,21,60.000,1280.500,1280.500
abce3,tai15_15_02,22,55.031,1308.000,1301.000
abce3,tai15_15_02,23,60.000,1292.000,1292.000
abce3,tai15_15_02,24,60.000,1297.000,1297.000
abce3,tai15_15_02,25,60.000,1277.500,1277.500
abce3,tai15_15_02,26,60.016,1297.500,1297.500
abce3,tai15_15_02,27,55.016,1290.000,1290.000
abce3,tai15_15_02,28,55.000,1287.500,1287.500
abce3,tai15_15_02,29,55.016,1289.000,1289.000
abce3,tai15_15_02,30,55.031,1325.000,1303.000
abce3,tai15_15_03,1,60.000,1263.500,1263.500
abce3,tai15_15_03,2,55.016,1309.000,1309.000
abce3,tai15_15_03,3,60.000,1315.000,1294.500
abce3,tai15_15_03,4,60.000,1284.000,1284.000
abce3,tai15_15_03,5,55.016,1279.500,1279.500
abce3,tai15_15_03,6,60.000,1300.000,1285.000
abce3,tai15_15_03,7,60.000,1295.000,1295.000
abce3,tai15_15_03,8,60.000,1293.500,1293.500
abce3,tai15_15_03,9,55.000,1303.000,1282.000
abce3,tai15_15_03,10,55.016,1292.500,1288.000
abce3,tai15_15_03,11,60.000,1288.500,1261.000
abce3,tai15_15_03,12,55.016,1296.000,1286.500
abce3,tai15_15_03,13,60.000,1297.500,1284.500
abce3,tai15_15_03,14,60.016,1280.000,1270.500
abce3,tai15_15_03,15,60.000,1287.000,1282.000
abce3,tai15_15_03,16,60.000,1284.000,1284.000
abce3,tai15_15_03,17,60.016,1280.500,1280.500
abce3,tai15_15_03,18,55.031,1281.000,1281.000
abce3,tai15_15_03,19,55.031,1292.000,1292.000
abce3,tai15_15_03,20,60.000,1311.000,1280.000
abce3,tai15_15_03,21,60.016,1287.000,1287.000
abce3,tai15_15_03,22,60.016,1289.500,1289.500
abce3,tai15_15_03,23,60.000,1281.500,1281.500
abce3,tai15_15_03,24,55.016,1307.000,1279.500
abce3,tai15_15_03,25,60.016,1297.500,1297.500
abce3,tai15_15_03,26,55.000,1277.500,1277.500
abce3,tai15_15_03,27,60.016,1280.000,1280.000
abce3,tai15_15_03,28,55.016,1274.000,1274.000
abce3,tai15_15_03,29,60.000,1285.000,1285.000
abce3,tai15_15_03,30,60.016,1263.000,1263.000
abce3,tai15_15_04,1,55.016,1245.500,1245.500
abce3,tai15_15_04,2,60.000,1251.500,1251.000
abce3,tai15_15_04,3,60.031,1279.500,1260.500
abce3,tai15_15_04,4,55.000,1263.000,1263.000
abce3,tai15_15_04,5,60.000,1248.000,1244.500
abce3,tai15_15_04,6,60.016,1243.000,1243.000
abce3,tai15_15_04,7,55.000,1248.000,1248.000
abce3,tai15_15_04,8,60.000,1231.500,1231.500
abce3,tai15_15_04,9,60.016,1236.000,1236.000
abce3,tai15_15_04,10,55.031,1252.500,1252.500
abce3,tai15_15_04,11,55.031,1276.000,1268.000
abce3,tai15_15_04,12,55.000,1236.000,1236.000
abce3,tai15_15_04,13,55.016,1256.000,1256.000
abce3,tai15_15_04,14,60.000,1253.500,1243.000
abce3,tai15_15_04,15,60.016,1241.000,1241.000
abce3,tai15_15_04,16,55.031,1257.500,1257.500
abce3,tai15_15_04,17,55.000,1244.500,1244.500
abce3,tai15_15_04,18,60.000,1246.500,1246.500
abce3,tai15_15_04,19,55.000,1222.500,1222.500
abce3,tai15_15_04,20,55.000,1244.000,1244.000
abce3,tai15_15_04,21,55.000,1247.000,1247.000
abce3,tai15_15_04,22,55.016,1255.000,1255.000
abce3,tai15_15_04,23,60.000,1264.000,1240.000
abce3,tai15_15_04,24,55.031,1243.000,1243.000
abce3,tai15_15_04,25,55.031,1239.000,1239.000
abce3,tai15_15_04,26,60.000,1244.500,1244.500
abce3,tai15_15_04,27,60.000,1251.500,1251.500
abce3,tai15_15_04,28,60.000,1239.500,1239.500
abce3,tai15_15_04,29,60.000,1246.000,1246.000
abce3,tai15_15_04,30,55.031,1210.000,1210.000
abce3,tai15_15_05,1,55.031,1277.000,1277.000
abce3,tai15_15_05,2,60.016,1272.000,1272.000
abce3,tai15_15_05,3,55.000,1301.000,1301.000
abce3,tai15_15_05,4,55.016,1280.000,1280.000
abce3,tai15_15_05,5,60.016,1273.000,1273.000
abce3,tai15_15_05,6,55.000,1305.000,1288.000
abce3,tai15_15_05,7,55.000,1310.000,1310.000
abce3,tai15_15_05,8,55.000,1263.500,1263.500
abce3,tai15_15_05,9,55.031,1264.000,1264.000
abce3,tai15_15_05,10,55.000,1284.500,1284.500
abce3,tai15_15_05,11,55.016,1279.000,1279.000
abce3,tai15_15_05,12,60.016,1281.500,1281.500
abce3,tai15_15_05,13,55.016,1279.500,1279.500
abce3,tai15_15_05,14,55.000,1282.000,1270.500
abce3,tai15_15_05,15,55.016,1264.500,1264.500
abce3,tai15_15_05,16,60.000,1287.500,1287.500
abce3,tai15_15_05,17,60.000,1286.500,1275.000
abce3,tai15_15_05,18,60.016,1269.500,1269.500
abce3,tai15_15_05,19,60.000,1289.500,1278.000
abce3,tai15_15_05,20,60.000,1277.500,1277.500
abce3,tai15_15_05,21,60.016,1303.000,1303.000
abce3,tai15_15_05,22,60.000,1263.500,1263.500
abce3,tai15_15_05,23,60.000,1273.500,1273.500
abce3,tai15_15_05,24,55.000,1309.000,1274.000
abce3,tai15_15_05,25,60.000,1302.500,1302.500
abce3,tai15_15_05,26,60.000,1303.500,1291.500
abce3,tai15_15_05,27,60.000,1283.500,1269.500
abce3,tai15_15_05,28,60.000,1293.000,1288.000
abce3,tai15_15_05,29,55.000,1282.500,1282.500
abce3,tai15_15_05,30,60.016,1290.500,1290.500
abce3,tai15_15_06,1,60.000,1294.000,1294.000
abce3,tai15_15_06,2,55.016,1306.000,1306.000
abce3,tai15_15_06,3,60.000,1290.500,1290.500
abce3,tai15_15_06,4,55.000,1299.000,1299.000
abce3,tai15_15_06,5,55.000,1303.500,1271.500
abce3,tai15_15_06,6,60.000,1314.000,1314.000
abce3,tai15_15_06,7,55.016,1301.500,1296.500
abce3,tai15_15_06,8,60.000,1295.000,1295.000
abce3,tai15_15_06,9,60.016,1294.000,1294.000
abce3,tai15_15_06,10,55.016,1313.500,1309.500
abce3,tai15_15_06,11,55.000,1312.000,1298.000
abce3,tai15_15_06,12,55.000,1310.000,1304.000
abce3,tai15_15_06,13,60.000,1316.500,1292.000
abce3,tai15_15_06,14,55.031,1306.000,1303.000
abce3,tai15_15_06,15,60.016,1284.000,1284.000
abce3,tai15_15_06,16,55.000,1323.000,1309.500
abce3,tai15_15_06,17,60.016,1309.000,1300.500
abce3,tai15_15_06,18,60.000,1308.000,1308.000
abce3,tai15_15_06,19,55.000,1301.000,1301.000
abce3,tai15_15_06,20,55.016,1295.000,1295.000
abce3,tai15_15_06,21,60.016,1292.500,1292.500
abce3,tai15_15_06,22,60.000,1304.000,1304.000
abce3,tai15_15_06,23,55.031,1326.500,1326.500
abce3,tai15_15_06,24,55.000,1306.500,1306.500
abce3,tai15_15_06,25,60.016,1311.500,1311.500
abce3,tai15_15_06,26,60.000,1309.000,1282.500
abce3,tai15_15_06,27,60.016,1315.500,1311.500
abce3,tai15_15_06,28,60.000,1316.000,1316.000
abce3,tai15_15_06,29,60.016,1282.500,1282.500
abce3,tai15_15_06,30,60.000,1322.000,1310.000
abce3,tai15_15_07,1,60.016,1274.500,1274.500
abce3,tai15_15_07,2,60.000,1268.000,1268.000
abce3,tai15_15_07,3,55.016,1277.500,1260.000
abce3,tai15_15_07,4,60.000,1294.500,1281.500
abce3,tai15_15_07,5,60.000,1287.500,1270.000
abce3,tai15_15_07,6,60.016,1277.500,1272.000
abce3,tai15_15_07,7,60.000,1282.500,1282.500
abce3,tai15_15_07,8,60.031,1272.500,1261.500
abce3,tai15_15_07,9,60.000,1280.000,1280.000
abce3,tai15_15_07,10,60.000,1280.500,1269.000
abce3,tai15_15_07,11,60.016,1263.500,1263.500
abce3,tai15_15_07,12,60.016,1270.500,1264.500
abce3,tai15_15_07,13,60.000,1285.500,1277.500
abce3,tai15_15_07,14,55.016,1271.500,1271.500
abce3,tai15_15_07,15,60.000,1277.500,1277.500
abce3,tai15_15_07,16,60.000,1281.000,1276.500
abce3,tai15_15_07,17,60.000,1279.000,1279.000
abce3,tai15_15_07,18,60.000,1284.500,1280.500
abce3,tai15_15_07,19,60.000,1303.500,1300.500
abce3,tai15_15_07,20,60.016,1289.000,1289.000
abce3,tai15_15_07,21,55.000,1274.000,1274.000
abce3,tai15_15_07,22,60.000,1275.500,1275.500
abce3,tai15_15_07,23,55.031,1280.000,1280.000
abce3,tai15_15_07,24,60.016,1273.500,1273.500
abce3,tai15_15_07,25,60.000,1290.000,1285.500
abce3,tai15_15_07,26,60.000,1272.500,1272.500
abce3,tai15_15_07,27,55.000,1285.000,1277.500
abce3,tai15_15_07,28,55.000,1282.500,1271.000
abce3,tai15_15_07,29,60.000,1266.000,1266.000
abce3,tai15_15_07,30,55.016,1291.000,1285.500
abce3,tai15_15_08,1,55.000,1287.000,1287.000
abce3,tai15_15_08,2,60.000,1291.000,1290.000
abce3,tai15_15_08,3,60.016,1252.500,1252.500
abce3,tai15_15_08,4,55.016,1276.500,1276.500
abce3,tai15_15_08,5,55.031,1285.000,1281.000
abce3,tai15_15_08,6,60.000,1299.000,1287.500
abce3,tai15_15_08,7,60.016,1279.000,1279.000
abce3,tai15_15_08,8,60.016,1253.000,1253.000
abce3,tai15_15_08,9,55.016,1263.500,1263.500
abce3,tai15_15_08,10,55.016,1289.000,1289.000
abce3,tai15_15_08,11,55.016,1288.500,1276.500
abce3,tai15_15_08,12,55.031,1285.500,1270.000
abce3,tai15_15_08,13,60.000,1286.500,1286.500
abce3,tai15_15_08,14,60.016,1302.000,1281.000
abce3,tai15_15_08,15,60.000,1285.000,1285.000
abce3,tai15_15_08,16,55.016,1269.000,1269.000
abce3,tai15_15_08,17,55.016,1310.500,1310.500
abce3,tai15_15_08,18,60.000,1256.500,1256.500
abce3,tai15_15_08,19,60.000,1297.000,1275.500
abce3,tai15_15_08,20,55.000,1283.000,1283.000
abce3,tai15_15_08,21,60.000,1289.000,1289.000
abce3,tai15_15_08,22,55.016,1292.500,1279.000
abce3,tai15_15_08,23,60.000,1293.500,1283.500
abce3,tai15_15_08,24,55.000,1297.500,1295.000
abce3,tai15_15_08,25,55.016,1291.000,1284.000
abce3,tai15_15_08,26,55.016,1289.000,1289.000
abce3,tai15_15_08,27,55.016,1281.000,1281.000
abce3,tai15_15_08,28,55.031,1266.000,1266.000
abce3,tai15_15_08,29,60.000,1298.500,1294.000
abce3,tai15_15_08,30,55.016,1276.500,1276.500
abce3,tai15_15_09,1,60.000,1353.000,1353.000
abce3,tai15_15_09,2,60.016,1367.000,1367.000
abce3,tai15_15_09,3,60.000,1345.000,1345.000
abce3,tai15_15_09,4,60.031,1364.000,1356.000
abce3,tai15_15_09,5,55.016,1338.500,1338.500
abce3,tai15_15_09,6,55.016,1389.500,1389.500
abce3,tai15_15_09,7,55.016,1354.500,1354.500
abce3,tai15_15_09,8,60.000,1391.500,1391.500
abce3,tai15_15_09,9,60.016,1370.500,1370.500
abce3,tai15_15_09,10,60.000,1379.000,1379.000
abce3,tai15_15_09,11,60.000,1351.000,1351.000
abce3,tai15_15_09,12,60.000,1374.000,1374.000
abce3,tai15_15_09,13,60.000,1346.000,1346.000
abce3,tai15_15_09,14,60.000,1371.000,1368.000
abce3,tai15_15_09,15,60.000,1394.500,1382.000
abce3,tai15_15_09,16,55.000,1368.500,1368.500
abce3,tai15_15_09,17,55.000,1364.000,1364.000
abce3,tai15_15_09,18,60.000,1368.500,1368.500
abce3,tai15_15_09,19,55.000,1400.500,1381.000
abce3,tai15_15_09,20,60.000,1381.500,1378.000
abce3,tai15_15_09,21,60.016,1343.000,1343.000
abce3,tai15_15_09,22,60.016,1354.000,1354.000
abce3,tai15_15_09,23,60.016,1381.500,1381.500
abce3,tai15_15_09,24,55.000,1377.000,1377.000
abce3,tai15_15_09,25,60.016,1366.500,1349.500
abce3,tai15_15_09,26,55.016,1349.500,1349.500
abce3,tai15_15_09,27,55.000,1367.500,1367.500
abce3,tai15_15_09,28,55.016,1384.500,1360.000
abce3,tai15_15_09,29,60.016,1349.500,1349.500
abce3,tai15_15_09,30,55.000,1391.500,1367.000
abce3,tai15_15_10,1,55.031,1324.500,1324.500
abce3,tai15_15_10,2,60.016,1315.000,1288.500
abce3,tai15_15_10,3,60.000,1297.500,1297.500
abce3,tai15_15_10,4,55.016,1310.000,1278.000
abce3,tai15_15_10,5,60.000,1303.500,1303.500
abce3,tai15_15_10,6,55.000,1328.500,1328.500
abce3,tai15_15_10,7,60.000,1307.000,1307.000
abce3,tai15_15_10,8,55.031,1299.000,1299.000
abce3,tai15_15_10,9,60.000,1296.000,1296.000
abce3,tai15_15_10,10,55.000,1331.000,1331.000
abce3,tai15_15_10,11,60.000,1325.000,1325.000
abce3,tai15_15_10,12,60.000,1322.000,1316.000
abce3,tai15_15_10,13,60.000,1329.500,1329.500
abce3,tai15_15_10,14,60.000,1309.000,1309.000
abce3,tai15_15_10,15,60.000,1309.000,1309.000
abce3,tai15_15_10,16,60.016,1329.500,1307.000
abce3,tai15_15_10,17,55.016,1315.000,1315.000
abce3,tai15_15_10,18,60.016,1326.000,1326.000
abce3,tai15_15_10,19,55.031,1342.000,1342.000
abce3,tai15_15_10,20,60.000,1326.000,1307.000
abce3,tai15_15_10,21,60.000,1309.500,1309.500
abce3,tai15_15_10,22,60.000,1304.000,1304.000
abce3,tai15_15_10,23,60.000,1334.500,1320.000
abce3,tai15_15_10,24,60.000,1324.500,1324.500
abce3,tai15_15_10,25,60.000,1310.500,1310.500
abce3,tai15_15_10,26,60.000,1308.000,1308.000
abce3,tai15_15_10,27,60.000,1329.000,1314.500
abce3,tai15_15_10,28,55.000,1305.500,1305.500
abce3,tai15_15_10,29,55.000,1312.500,1312.500
abce3,tai15_15_10,30,55.016,1328.500,1321.500
abce3,tai20_20_01,1,55.031,1827.000,1827.000
abce3,tai20_20_01,2,55.016,1784.000,1784.000
abce3,tai20_20_01,3,60.000,1770.500,1770.500
abce3,tai20_20_01,4,60.031,1799.500,1799.500
abce3,tai20_20_01,5,60.031,1768.500,1768.500
abce3,tai20_20_01,6,55.078,1805.500,1805.500
abce3,tai20_20_01,7,55.078,1759.000,1759.000
abce3,tai20_20_01,8,60.016,1808.000,1808.000
abce3,tai20_20_01,9,60.047,1815.000,1815.000
abce3,tai20_20_01,10,60.031,1802.000,1802.000
abce3,tai20_20_01,11,55.016,1808.000,1808.000
abce3,tai20_20_01,12,55.000,1817.000,1817.000
abce3,tai20_20_01,13,60.031,1774.500,1774.500
abce3,tai20_20_01,14,60.031,1770.500,1770.500
abce3,tai20_20_01,15,60.031,1798.500,1798.500
abce3,tai20_20_01,16,60.047,1800.000,1800.000
abce3,tai20_20_01,17,60.016,1818.500,1818.500
abce3,tai20_20_01,18,60.016,1793.500,1793.500
abce3,tai20_20_01,19,55.047,1810.500,1810.500
abce3,tai20_20_01,20,60.047,1828.500,1828.500
abce3,tai20_20_01,21,55.047,1803.000,1803.000
abce3,tai20_20_01,22,60.016,1803.500,1803.500
abce3,tai20_20_01,23,60.016,1787.000,1787.000
abce3,tai20_20_01,24,60.000,1813.000,1813.000
abce3,tai20_20_01,25,60.000,1860.000,1860.000
abce3,tai20_20_01,26,60.000,1761.500,1761.500
abce3,tai20_20_01,27,60.016,1770.500,1770.500
abce3,tai20_20_01,28,60.000,1811.000,1811.000
abce3,tai20_20_01,29,55.016,1795.000,1795.000
abce3,tai20_20_01,30,60.031,1813.000,1813.000
abce3,tai20_20_02,1,55.000,1749.500,1749.500
abce3,tai20_20_02,2,55.000,1733.500,1733.500
abce3,tai20_20_02,3,60.000,1733.000,1733.000
abce3,tai20_20_02,4,55.062,1794.500,1794.500
abce3,tai20_20_02,5,60.016,1724.500,1724.500
abce3,tai20_20_02,6,60.016,1717.500,1717.500
abce3,tai20_20_02,7,60.047,1735.000,1735.000
abce3,tai20_20_02,8,55.078,1746.500,1746.500
abce3,tai20_20_02,9,60.047,1765.500,1765.500
abce3,tai20_20_02,10,55.047,1712.500,1712.500
abce3,tai20_20_02,11,60.000,1755.000,1755.000
abce3,tai20_20_02,12,60.031,1771.500,1771.500
abce3,tai20_20_02,13,60.000,1726.500,1726.500
abce3,tai20_20_02,14,60.016,1712.500,1712.500
abce3,tai20_20_02,15,55.078,1707.000,1707.000
abce3,tai20_20_02,16,55.000,1730.500,1730.500
