algo,inst,run,t_fin,v90,v_fin
abce3,ft10,1,60.000,967.000,967.000
abce3,ft10,2,60.000,967.000,967.000
abce3,ft10,3,60.000,942.500,942.500
abce3,ft10,4,60.000,952.000,952.000
abce3,ft10,5,60.000,958.000,958.000
abce3,ft10,6,60.000,935.500,935.500
abce3,ft10,7,60.000,968.000,968.000
abce3,ft10,8,60.000,967.000,967.000
abce3,ft10,9,60.000,949.000,949.000
abce3,ft10,10,60.000,949.000,949.000
abce3,ft10,11,60.000,958.500,958.500
abce3,ft10,12,60.000,959.500,959.500
abce3,ft10,13,60.000,935.500,935.500
abce3,ft10,14,60.000,949.000,949.000
abce3,ft10,15,60.016,951.500,951.500
abce3,ft10,16,60.000,959.500,959.500
abce3,ft10,17,60.000,966.000,966.000
abce3,ft10,18,60.000,943.000,943.000
abce3,ft10,19,60.000,953.500,953.500
abce3,ft10,20,60.000,952.000,952.000
abce3,ft10,21,60.000,962.000,962.000
abce3,ft10,22,60.016,949.000,949.000
abce3,ft10,23,60.000,966.000,966.000
abce3,ft10,24,60.000,939.000,939.000
abce3,ft10,25,60.016,966.000,966.000
abce3,ft10,26,60.000,944.500,944.500
abce3,ft10,27,60.000,960.500,960.500
abce3,ft10,28,60.000,946.000,946.000
abce3,ft10,29,60.000,935.500,935.500
abce3,ft10,30,60.000,946.000,946.000
abce3,tai15_15_01,1,55.000,1301.500,1301.500
abce3,tai15_15_01,2,60.016,1298.500,1292.000
abce3,tai15_15_01,3,55.031,1300.000,1300.000
abce3,tai15_15_01,4,60.016,1298.500,1298.500
abce3,tai15_15_01,5,60.000,1330.500,1300.000
abce3,tai15_15_01,6,55.016,1315.500,1310.000
abce3,tai15_15_01,7,60.000,1277.500,1277.500
abce3,tai15_15_01,8,60.000,1309.500,1309.500
abce3,tai15_15_01,9,60.000,1295.000,1295.000
abce3,tai15_15_01,10,60.000,1308.500,1290.000
abce3,tai15_15_01,11,60.000,1310.000,1310.000
abce3,tai15_15_01,12,60.000,1320.000,1298.000
abce3,tai15_15_01,13,60.000,1307.000,1298.000
abce3,tai15_15_01,14,55.016,1313.500,1313.500
abce3,tai15_15_01,15,60.000,1287.000,1287.000
abce3,tai15_15_01,16,55.031,1284.000,1284.000
abce3,tai15_15_01,17,60.016,1314.500,1301.500
abce3,tai15_15_01,18,60.000,1322.000,1305.000
abce3,tai15_15_01,19,60.016,1294.000,1294.000
abce3,tai15_15_01,20,60.000,1305.000,1299.500
abce3,tai15_15_01,21,60.016,1305.500,1305.500
abce3,tai15_15_01,22,60.000,1316.500,1301.500
abce3,tai15_15_01,23,55.000,1307.500,1307.500
abce3,tai15_15_01,24,55.000,1303.500,1303.500
abce3,tai15_15_01,25,55.000,1290.500,1290.500
abce3,tai15_15_01,26,60.000,1302.000,1302.000
abce3,tai15_15_01,27,60.016,1313.000,1313.000
abce3,tai15_15_01,28,60.000,1300.500,1300.500
abce3,tai15_15_01,29,55.016,1324.000,1322.000
abce3,tai15_15_01,30,60.000,1303.000,1303.000
abce3,tai15_15_02,1,55.000,1319.500,1319.500
abce3,tai15_15_02,2,55.016,1289.000,1283.500
abce3,tai15_15_02,3,60.031,1285.000,1285.000
abce3,tai15_15_02,4,60.000,1278.500,1269.000
abce3,tai15_15_02,5,55.016,1280.000,1280.000
abce3,tai15_15_02,6,55.016,1287.000,1287.000
abce3,tai15_15_02,7,60.000,1297.000,1297.000
abce3,tai15_15_02,8,60.000,1294.000,1294.000
abce3,tai15_15_02,9,55.016,1300.000,1299.500
