algo,inst,run,t_fin,v90,v_fin
abce3,ft10,1,60.000,940.000,940.000
abce3,ft10,2,60.016,969.000,969.000
abce3,ft10,3,60.000,952.000,952.000
abce3,ft10,4,60.000,946.000,946.000
abce3,ft10,5,60.000,960.000,960.000
abce3,ft10,6,60.000,946.000,946.000
abce3,ft10,7,60.000,965.500,965.500
abce3,ft10,8,60.016,944.500,944.500
abce3,ft10,9,60.000,950.000,950.000
abce3,ft10,10,60.000,940.000,940.000
abce3,ft10,11,60.000,935.500,935.500
abce3,ft10,12,60.000,950.000,950.000
abce3,ft10,13,60.000,946.000,946.000
abce3,ft10,14,60.000,956.500,956.500
abce3,ft10,15,60.000,952.000,952.000
abce3,ft10,16,60.000,939.000,939.000
abce3,ft10,17,60.000,965.000,965.000
abce3,ft10,18,60.000,946.000,946.000
abce3,ft10,19,60.000,946.000,946.000
abce3,ft10,20,60.000,946.000,946.000
abce3,ft10,21,60.000,946.000,946.000
abce3,ft10,22,60.000,946.000,946.000
abce3,ft10,23,60.000,954.000,954.000
abce3,ft10,24,60.016,942.000,942.000
abce3,ft10,25,60.000,939.000,939.000
abce3,ft10,26,60.016,946.000,946.000
abce3,ft10,27,60.000,955.000,955.000
abce3,ft10,28,60.000,960.500,960.500
abce3,ft10,29,60.000,946.000,946.000
abce3,ft10,30,60.000,955.000,955.000
abce3,tai15_15_01,1,55.016,1316.000,1316.000
abce3,tai15_15_01,2,60.000,1307.000,1307.000
abce3,tai15_15_01,3,60.000,1313.000,1313.000
abce3,tai15_15_01,4,60.000,1317.000,1317.000
abce3,tai15_15_01,5,55.016,1313.500,1313.500
abce3,tai15_15_01,6,60.016,1314.500,1314.500
abce3,tai15_15_01,7,55.016,1322.000,1322.000
abce3,tai15_15_01,8,55.016,1318.000,1290.500
abce3,tai15_15_01,9,60.016,1303.500,1303.500
abce3,tai15_15_01,10,60.016,1296.000,1296.000
abce3,tai15_15_01,11,55.031,1306.000,1306.000
abce3,tai15_15_01,12,60.016,1306.000,1295.000
abce3,tai15_15_01,13,60.016,1309.500,1306.500
abce3,tai15_15_01,14,60.000,1325.500,1311.000
abce3,tai15_15_01,15,60.016,1322.500,1280.500
abce3,tai15_15_01,16,55.031,1307.500,1306.000
abce3,tai15_15_01,17,55.016,1326.500,1313.500
abce3,tai15_15_01,18,60.016,1301.000,1301.000
abce3,tai15_15_01,19,55.031,1323.000,1299.500
abce3,tai15_15_01,20,60.000,1291.000,1291.000
abce3,tai15_15_01,21,60.016,1307.000,1307.000
abce3,tai15_15_01,22,60.000,1291.000,1291.000
abce3,tai15_15_01,23,60.000,1318.500,1318.500
abce3,tai15_15_01,24,60.000,1312.000,1304.000
abce3,tai15_15_01,25,55.031,1310.000,1310.000
abce3,tai15_15_01,26,55.016,1294.000,1294.000
abce3,tai15_15_01,27,60.016,1304.500,1294.000
abce3,tai15_15_01,28,55.016,1305.500,1301.000
abce3,tai15_15_01,29,60.000,1304.000,1304.000
abce3,tai15_15_01,30,55.000,1308.500,1294.500
abce3,tai15_15_02,1,55.000,1303.000,1303.000
