algo,inst,run,t_fin,v90,v_fin
abce3,ft10,1,60.000,939.000,939.000
abce3,ft10,2,60.000,935.500,935.500
abce3,ft10,3,60.000,949.000,949.000
abce3,ft10,4,60.000,939.000,939.000
abce3,ft10,5,60.000,944.500,944.500
abce3,ft10,6,60.000,945.000,945.000
abce3,ft10,7,60.000,946.000,946.000
abce3,ft10,8,60.000,939.000,939.000
abce3,ft10,9,60.016,939.000,939.000
abce3,ft10,10,60.000,949.500,949.500
abce3,ft10,11,60.000,940.500,940.500
abce3,ft10,12,60.016,939.000,939.000
abce3,ft10,13,60.000,966.000,966.000
abce3,ft10,14,60.000,957.000,957.000
abce3,ft10,15,60.000,964.500,953.500
abce3,ft10,16,60.000,953.000,953.000
abce3,ft10,17,60.000,949.000,949.000
abce3,ft10,18,60.000,952.500,950.000
abce3,ft10,19,60.000,949.000,949.000
abce3,ft10,20,60.000,960.500,960.500
abce3,ft10,21,60.000,944.500,944.500
abce3,ft10,22,60.000,946.500,946.500
abce3,ft10,23,60.000,956.500,956.500
abce3,ft10,24,60.000,950.500,950.500
abce3,ft10,25,60.000,964.000,964.000
abce3,ft10,26,60.000,952.500,952.500
abce3,ft10,27,60.000,967.000,967.000
abce3,ft10,28,60.000,953.000,953.000
abce3,ft10,29,60.000,944.500,944.500
abce3,ft10,30,60.000,952.500,952.500
abce3,tai15_15_01,1,55.000,1318.000,1300.000
abce3,tai15_15_01,2,60.031,1296.000,1291.500
abce3,tai15_15_01,3,60.000,1309.500,1309.500
abce3,tai15_15_01,4,60.000,1292.000,1292.000
abce3,tai15_15_01,5,60.000,1279.000,1279.000
abce3,tai15_15_01,6,60.000,1289.500,1289.500
abce3,tai15_15_01,7,60.000,1282.500,1282.500
abce3,tai15_15_01,8,60.000,1333.000,1305.000
abce3,tai15_15_01,9,60.000,1313.000,1299.000
abce3,tai15_15_01,10,55.016,1320.000,1301.000
abce3,tai15_15_01,11,60.000,1312.000,1306.500
abce3,tai15_15_01,12,60.000,1301.500,1301.500
abce3,tai15_15_01,13,55.016,1312.000,1304.000
abce3,tai15_15_01,14,55.031,1321.000,1321.000
abce3,tai15_15_01,15,60.016,1321.000,1306.000
abce3,tai15_15_01,16,60.016,1292.000,1292.000
abce3,tai15_15_01,17,55.016,1308.000,1308.000
abce3,tai15_15_01,18,60.000,1295.500,1295.500
abce3,tai15_15_01,19,55.031,1325.000,1324.500
abce3,tai15_15_01,20,55.031,1320.500,1320.500
abce3,tai15_15_01,21,60.000,1307.500,1290.000
abce3,tai15_15_01,22,55.031,1325.000,1308.000
abce3,tai15_15_01,23,55.000,1299.000,1299.000
abce3,tai15_15_01,24,60.000,1313.500,1306.000
abce3,tai15_15_01,25,60.016,1325.000,1297.000
abce3,tai15_15_01,26,60.000,1305.000,1305.000
abce3,tai15_15_01,27,60.000,1303.000,1303.000
abce3,tai15_15_01,28,55.000,1307.000,1290.500
abce3,tai15_15_01,29,60.000,1314.000,1309.500
abce3,tai15_15_01,30,60.016,1285.500,1285.500
abce3,tai15_15_02,1,55.000,1307.500,1297.000
abce3,tai15_15_02,2,55.016,1319.500,1279.500
abce3,tai15_15_02,3,60.000,1306.000,1306.000
abce3,tai15_15_02,4,55.031,1317.000,1278.500
abce3,tai15_15_02,5,55.000,1300.000,1300.000
abce3,tai15_15_02,6,60.016,1278.500,1278.500
abce3,tai15_15_02,7,60.000,1301.500,1301.000
abce3,tai15_15_02,8,60.000,1293.000,1293.000
abce3,tai15_15_02,9,60.016,1293.000,1293.000
abce3,tai15_15_02,10,60.000,1291.000,1291.000
abce3,tai15_15_02,11,60.016,1291.500,1291.500
abce3,tai15_15_02,12,60.000,1301.000,1298.500
abce3,tai15_15_02,13,60.000,1310.000,1310.000
abce3,tai15_15_02,14,55.000,1292.000,1292.000
