algo,inst,run,t_fin,v90,v_fin
abce3,ft10,1,60.000,944.500,944.500
abce3,ft10,2,60.000,953.000,953.000
abce3,ft10,3,60.000,952.500,952.500
abce3,ft10,4,60.000,949.500,949.500
abce3,ft10,5,60.000,965.000,965.000
abce3,ft10,6,60.000,956.000,956.000
abce3,ft10,7,60.000,950.000,950.000
abce3,ft10,8,60.000,946.000,946.000
abce3,ft10,9,60.000,952.000,952.000
abce3,ft10,10,60.000,950.500,950.500
abce3,ft10,11,60.000,957.500,957.500
abce3,ft10,12,60.000,950.000,950.000
abce3,ft10,13,60.000,949.000,949.000
abce3,ft10,14,60.000,948.000,948.000
abce3,ft10,15,60.016,959.500,959.500
abce3,ft10,16,60.000,961.500,961.500
abce3,ft10,17,60.000,935.500,935.500
abce3,ft10,18,60.000,940.000,940.000
abce3,ft10,19,60.000,955.500,955.500
abce3,ft10,20,60.000,970.000,970.000
abce3,ft10,21,60.000,956.000,956.000
abce3,ft10,22,60.000,949.000,949.000
abce3,ft10,23,60.000,950.000,950.000
abce3,ft10,24,60.000,969.000,969.000
abce3,ft10,25,60.000,946.000,946.000
abce3,ft10,26,60.000,952.000,952.000
abce3,ft10,27,60.000,955.000,955.000
abce3,ft10,28,60.000,966.000,966.000
abce3,ft10,29,60.000,942.500,942.500
abce3,ft10,30,60.000,945.000,945.000
abce3,tai15_15_01,1,60.000,1296.500,1296.500
abce3,tai15_15_01,2,60.000,1291.500,1291.500
abce3,tai15_15_01,3,60.000,1291.500,1290.500
abce3,tai15_15_01,4,60.000,1291.500,1291.500
abce3,tai15_15_01,5,60.000,1290.000,1290.000
abce3,tai15_15_01,6,60.000,1296.500,1296.000
abce3,tai15_15_01,7,60.000,1286.500,1286.500
abce3,tai15_15_01,8,55.031,1299.500,1299.500
abce3,tai15_15_01,9,60.016,1305.500,1305.500
abce3,tai15_15_01,10,60.000,1316.500,1310.000
abce3,tai15_15_01,11,55.000,1300.500,1300.500
abce3,tai15_15_01,12,60.000,1284.000,1284.000
abce3,tai15_15_01,13,60.000,1314.000,1304.000
abce3,tai15_15_01,14,60.000,1301.000,1299.000
abce3,tai15_15_01,15,55.016,1300.500,1300.500
abce3,tai15_15_01,16,55.000,1292.000,1292.000
abce3,tai15_15_01,17,55.016,1297.500,1297.500
abce3,tai15_15_01,18,55.000,1306.500,1306.500
abce3,tai15_15_01,19,60.000,1294.500,1294.500
abce3,tai15_15_01,20,60.000,1304.500,1292.000
abce3,tai15_15_01,21,55.016,1292.500,1291.000
abce3,tai15_15_01,22,55.016,1312.500,1290.000
abce3,tai15_15_01,23,60.000,1320.000,1293.000
abce3,tai15_15_01,24,55.031,1292.000,1286.000
abce3,tai15_15_01,25,60.016,1306.000,1306.000
abce3,tai15_15_01,26,60.016,1298.000,1298.000
abce3,tai15_15_01,27,60.016,1285.000,1285.000
abce3,tai15_15_01,28,55.016,1284.000,1284.000
abce3,tai15_15_01,29,60.000,1311.000,1311.000
abce3,tai15_15_01,30,55.000,1301.000,1288.000
abce3,tai15_15_02,1,60.016,1303.000,1303.000
abce3,tai15_15_02,2,60.016,1278.500,1278.500
abce3,tai15_15_02,3,55.016,1289.000,1289.000
abce3,tai15_15_02,4,60.016,1277.500,1277.500
abce3,tai15_15_02,5,55.000,1288.000,1288.000
abce3,tai15_15_02,6,55.031,1300.000,1300.000
abce3,tai15_15_02,7,60.000,1293.000,1293.000
abce3,tai15_15_02,8,55.016,1306.000,1306.000
abce3,tai15_15_02,9,60.000,1286.000,1286.000
abce3,tai15_15_02,10,60.000,1300.000,1300.000
abce3,tai15_15_02,11,60.000,1297.000,1297.000
abce3,tai15_15_02,12,55.016,1282.000,1282.000
abce3,tai15_15_02,13,60.000,1285.500,1285.500
abce3,tai15_15_02,14,55.016,1301.500,1287.000
abce3,tai15_15_02,15,60.000,1290.000,1290.000
abce3,tai15_15_02,16,60.000,1290.500,1290.500
abce3,tai15_15_02,17,55.016,1287.000,1287.000
abce3,tai15_15_02,18,55.016,1311.500,1274.000
abce3,tai15_15_02,19,60.000,1281.000,1281.000
abce3,tai15_15_02,20,60.000,1287.000,1287.000
abce3,tai15_15_02,21,55.000,1287.000,1287.000
abce3,tai15_15_02,22,60.000,1291.500,1291.500
abce3,tai15_15_02,23,60.000,1304.000,1304.000
abce3,tai15_15_02,24,60.000,1290.500,1290.500
abce3,tai15_15_02,25,60.000,1292.000,1292.000
abce3,tai15_15_02,26,55.016,1306.000,1296.000
abce3,tai15_15_02,27,55.000,1300.000,1300.000
abce3,tai15_15_02,28,55.016,1288.500,1288.500
abce3,tai15_15_02,29,55.031,1280.000,1280.000
abce3,tai15_15_02,30,55.000,1283.000,1283.000
abce3,tai15_15_03,1,55.016,1300.500,1300.500
abce3,tai15_15_03,2,60.000,1264.000,1264.000
abce3,tai15_15_03,3,60.000,1296.500,1296.500
abce3,tai15_15_03,4,55.000,1294.000,1256.500
abce3,tai15_15_03,5,60.000,1274.500,1274.500
abce3,tai15_15_03,6,60.000,1271.500,1271.500
abce3,tai15_15_03,7,60.016,1278.500,1278.500
abce3,tai15_15_03,8,60.000,1295.000,1295.000
abce3,tai15_15_03,9,60.000,1298.500,1274.000
abce3,tai15_15_03,10,55.000,1286.000,1286.000
abce3,tai15_15_03,11,55.000,1298.000,1298.000
abce3,tai15_15_03,12,60.000,1288.000,1288.000
abce3,tai15_15_03,13,60.000,1272.500,1272.500
abce3,tai15_15_03,14,60.000,1283.500,1283.500
abce3,tai15_15_03,15,60.000,1260.000,1260.000
abce3,tai15_15_03,16,60.000,1290.500,1290.500
abce3,tai15_15_03,17,55.016,1267.000,1267.000
abce3,tai15_15_03,18,60.000,1300.000,1300.000
abce3,tai15_15_03,19,60.000,1291.500,1291.500
abce3,tai15_15_03,20,60.000,1291.500,1291.500
abce3,tai15_15_03,21,60.000,1268.000,1268.000
abce3,tai15_15_03,22,55.000,1295.500,1265.500
abce3,tai15_15_03,23,55.000,1297.500,1297.500
abce3,tai15_15_03,24,60.000,1276.500,1276.500
abce3,tai15_15_03,25,55.016,1282.000,1282.000
abce3,tai15_15_03,26,55.016,1294.500,1294.500
abce3,tai15_15_03,27,60.000,1281.500,1281.500
abce3,tai15_15_03,28,55.000,1257.500,1257.500
abce3,tai15_15_03,29,55.000,1282.000,1282.000
abce3,tai15_15_03,30,55.016,1292.500,1292.500
abce3,tai15_15_04,1,55.016,1209.500,1209.500
abce3,tai15_15_04,2,55.000,1233.500,1233.500
abce3,tai15_15_04,3,55.016,1250.500,1249.500
abce3,tai15_15_04,4,55.000,1235.500,1235.500
abce3,tai15_15_04,5,55.000,1245.500,1245.500
abce3,tai15_15_04,6,60.000,1254.000,1243.000
abce3,tai15_15_04,7,55.016,1223.500,1223.500
abce3,tai15_15_04,8,55.016,1264.500,1240.500
abce3,tai15_15_04,9,60.000,1239.000,1239.000
abce3,tai15_15_04,10,60.000,1242.000,1242.000
abce3,tai15_15_04,11,60.000,1238.500,1238.500
abce3,tai15_15_04,12,60.000,1239.000,1222.000
abce3,tai15_15_04,13,55.000,1244.000,1244.000
abce3,tai15_15_04,14,55.000,1268.000,1268.000
abce3,tai15_15_04,15,60.000,1223.000,1223.000
abce3,tai15_15_04,16,55.000,1246.500,1246.500
abce3,tai15_15_04,17,60.000,1256.500,1238.500
abce3,tai15_15_04,18,60.000,1270.000,1270.000
abce3,tai15_15_04,19,55.016,1248.000,1234.000
abce3,tai15_15_04,20,60.016,1253.000,1253.000
abce3,tai15_15_04,21,60.000,1255.500,1225.000
abce3,tai15_15_04,22,60.000,1229.000,1229.000
abce3,tai15_15_04,23,55.016,1238.000,1238.000
abce3,tai15_15_04,24,55.000,1209.500,1209.500
abce3,tai15_15_04,25,55.000,1200.500,1200.500
abce3,tai15_15_04,26,60.000,1236.500,1236.500
abce3,tai15_15_04,27,60.000,1249.500,1249.500
abce3,tai15_15_04,28,60.000,1248.000,1248.000
abce3,tai15_15_04,29,60.000,1231.000,1231.000
abce3,tai15_15_04,30,55.000,1241.500,1229.000
abce3,tai15_15_05,1,55.000,1271.500,1271.500
abce3,tai15_15_05,2,60.016,1279.500,1271.000
abce3,tai15_15_05,3,60.000,1286.500,1284.500
abce3,tai15_15_05,4,60.000,1283.000,1283.000
abce3,tai15_15_05,5,55.031,1266.500,1266.500
abce3,tai15_15_05,6,60.000,1272.000,1272.000
abce3,tai15_15_05,7,60.000,1272.000,1272.000
abce3,tai15_15_05,8,55.016,1264.000,1264.000
abce3,tai15_15_05,9,60.000,1274.000,1274.000
abce3,tai15_15_05,10,55.016,1261.000,1261.000
abce3,tai15_15_05,11,55.016,1271.500,1271.500
abce3,tai15_15_05,12,60.016,1263.000,1263.000
abce3,tai15_15_05,13,55.000,1281.000,1281.000
abce3,tai15_15_05,14,60.000,1272.500,1272.500
abce3,tai15_15_05,15,60.000,1296.000,1259.500
abce3,tai15_15_05,16,55.016,1278.000,1278.000
abce3,tai15_15_05,17,60.000,1263.000,1263.000
abce3,tai15_15_05,18,55.016,1278.000,1276.500
abce3,tai15_15_05,19,55.016,1287.500,1287.500
abce3,tai15_15_05,20,60.000,1268.500,1268.500
abce3,tai15_15_05,21,55.016,1282.500,1272.500
abce3,tai15_15_05,22,55.016,1271.000,1271.000
abce3,tai15_15_05,23,55.000,1274.000,1274.000
abce3,tai15_15_05,24,60.016,1295.000,1292.500
abce3,tai15_15_05,25,60.016,1267.000,1267.000
abce3,tai15_15_05,26,60.000,1288.500,1288.500
abce3,tai15_15_05,27,55.016,1264.000,1264.000
abce3,tai15_15_05,28,55.016,1290.500,1278.000
abce3,tai15_15_05,29,55.000,1278.500,1278.500
abce3,tai15_15_05,30,60.016,1288.500,1288.500
abce3,tai15_15_06,1,60.000,1277.000,1277.000
abce3,tai15_15_06,2,55.000,1296.500,1296.500
abce3,tai15_15_06,3,60.000,1308.000,1299.000
abce3,tai15_15_06,4,60.016,1278.500,1278.500
abce3,tai15_15_06,5,60.016,1311.000,1311.000
abce3,tai15_15_06,6,60.000,1282.000,1282.000
abce3,tai15_15_06,7,60.000,1297.000,1272.500
abce3,tai15_15_06,8,60.000,1295.500,1295.500
abce3,tai15_15_06,9,55.016,1293.000,1293.000
abce3,tai15_15_06,10,55.031,1281.000,1281.000
abce3,tai15_15_06,11,55.016,1318.500,1308.500
abce3,tai15_15_06,12,55.031,1320.000,1320.000
abce3,tai15_15_06,13,55.000,1312.000,1305.000
abce3,tai15_15_06,14,60.016,1273.000,1273.000
abce3,tai15_15_06,15,60.016,1296.000,1296.000
abce3,tai15_15_06,16,60.016,1275.000,1275.000
abce3,tai15_15_06,17,60.000,1284.500,1284.500
abce3,tai15_15_06,18,60.000,1309.000,1309.000
abce3,tai15_15_06,19,55.000,1306.000,1306.000
abce3,tai15_15_06,20,60.000,1293.000,1293.000
abce3,tai15_15_06,21,60.000,1282.500,1282.500
abce3,tai15_15_06,22,55.016,1275.500,1275.500
abce3,tai15_15_06,23,60.016,1280.500,1280.500
abce3,tai15_15_06,24,55.000,1286.500,1286.500
abce3,tai15_15_06,25,60.000,1280.000,1280.000
abce3,tai15_15_06,26,60.000,1300.000,1300.000
abce3,tai15_15_06,27,60.000,1296.500,1296.500
abce3,tai15_15_06,28,60.000,1285.000,1285.000
abce3,tai15_15_06,29,55.016,1290.000,1290.000
abce3,tai15_15_06,30,60.000,1283.500,1283.500
abce3,tai15_15_07,1,60.000,1274.500,1274.500
abce3,tai15_15_07,2,60.000,1262.000,1262.000
abce3,tai15_15_07,3,55.000,1265.000,1265.000
abce3,tai15_15_07,4,60.000,1262.000,1262.000
abce3,tai15_15_07,5,60.000,1275.500,1275.500
abce3,tai15_15_07,6,55.000,1291.000,1273.500
abce3,tai15_15_07,7,60.000,1276.000,1275.500
abce3,tai15_15_07,8,60.000,1285.000,1274.000
abce3,tai15_15_07,9,60.000,1277.500,1277.500
abce3,tai15_15_07,10,60.000,1261.500,1261.500
abce3,tai15_15_07,11,55.000,1277.000,1265.500
abce3,tai15_15_07,12,60.000,1293.000,1292.000
abce3,tai15_15_07,13,55.000,1275.500,1275.500
abce3,tai15_15_07,14,60.000,1284.000,1276.000
abce3,tai15_15_07,15,55.000,1250.000,1250.000
abce3,tai15_15_07,16,55.031,1286.500,1276.000
abce3,tai15_15_07,17,60.000,1287.500,1269.000
abce3,tai15_15_07,18,60.000,1297.000,1296.000
abce3,tai15_15_07,19,60.000,1265.500,1265.500
abce3,tai15_15_07,20,55.016,1274.000,1274.000
abce3,tai15_15_07,21,60.000,1268.500,1268.500
abce3,tai15_15_07,22,60.000,1263.500,1263.500
abce3,tai15_15_07,23,55.000,1269.000,1269.000
abce3,tai15_15_07,24,60.000,1263.000,1263.000
abce3,tai15_15_07,25,60.000,1270.500,1270.500
abce3,tai15_15_07,26,55.000,1261.500,1261.500
abce3,tai15_15_07,27,55.016,1282.000,1282.000
abce3,tai15_15_07,28,55.000,1270.000,1270.000
abce3,tai15_15_07,29,60.000,1258.000,1258.000
abce3,tai15_15_07,30,55.000,1290.500,1290.500
abce3,tai15_15_08,1,55.000,1254.500,1254.500
abce3,tai15_15_08,2,60.000,1285.000,1285.000
abce3,tai15_15_08,3,55.016,1290.000,1286.500
abce3,tai15_15_08,4,55.000,1278.500,1278.500
abce3,tai15_15_08,5,60.016,1278.500,1276.500
abce3,tai15_15_08,6,60.000,1262.000,1262.000
abce3,tai15_15_08,7,55.000,1294.500,1279.500
abce3,tai15_15_08,8,55.016,1261.000,1261.000
abce3,tai15_15_08,9,60.000,1262.500,1262.500
abce3,tai15_15_08,10,55.000,1277.500,1277.500
abce3,tai15_15_08,11,60.000,1289.500,1257.500
abce3,tai15_15_08,12,55.016,1258.000,1258.000
abce3,tai15_15_08,13,55.000,1282.500,1268.500
abce3,tai15_15_08,14,55.016,1267.500,1267.500
abce3,tai15_15_08,15,60.000,1290.000,1290.000
abce3,tai15_15_08,16,55.016,1293.000,1293.000
abce3,tai15_15_08,17,60.000,1288.500,1282.500
abce3,tai15_15_08,18,55.000,1284.000,1284.000
abce3,tai15_15_08,19,60.000,1269.500,1269.500
abce3,tai15_15_08,20,60.000,1258.500,1258.500
abce3,tai15_15_08,21,60.000,1288.000,1288.000
abce3,tai15_15_08,22,60.031,1285.000,1265.500
abce3,tai15_15_08,23,60.000,1277.000,1277.000
abce3,tai15_15_08,24,55.000,1281.000,1249.500
abce3,tai15_15_08,25,60.000,1279.000,1279.000
abce3,tai15_15_08,26,60.000,1289.000,1271.500
abce3,tai15_15_08,27,60.000,1269.500,1267.000
abce3,tai15_15_08,28,55.016,1261.500,1261.500
abce3,tai15_15_08,29,55.016,1296.500,1296.500
abce3,tai15_15_08,30,60.000,1274.500,1274.500
abce3,tai15_15_09,1,60.000,1358.500,1358.500
abce3,tai15_15_09,2,55.000,1376.000,1376.000
abce3,tai15_15_09,3,60.000,1363.500,1363.500
abce3,tai15_15_09,4,60.000,1378.500,1370.000
abce3,tai15_15_09,5,55.016,1379.000,1379.000
abce3,tai15_15_09,6,55.000,1355.500,1355.500
abce3,tai15_15_09,7,55.031,1338.500,1338.500
abce3,tai15_15_09,8,55.000,1348.000,1346.500
abce3,tai15_15_09,9,55.000,1342.500,1342.500
abce3,tai15_15_09,10,55.016,1354.500,1340.000
abce3,tai15_15_09,11,55.000,1359.500,1353.500
abce3,tai15_15_09,12,55.000,1364.000,1364.000
abce3,tai15_15_09,13,60.016,1350.000,1350.000
abce3,tai15_15_09,14,55.000,1345.500,1345.500
abce3,tai15_15_09,15,55.016,1369.000,1367.500
abce3,tai15_15_09,16,60.000,1330.000,1330.000
abce3,tai15_15_09,17,60.000,1336.500,1336.500
