algo,inst,run,t_fin,v90,v_fin
abce3,ft10,1,60.000,946.500,946.500
abce3,ft10,2,60.016,935.500,935.500
abce3,ft10,3,60.016,970.000,970.000
abce3,ft10,4,60.000,961.000,961.000
abce3,ft10,5,60.000,940.000,940.000
abce3,ft10,6,60.000,962.500,962.500
abce3,ft10,7,60.000,949.000,949.000
abce3,ft10,8,60.000,951.500,951.500
abce3,ft10,9,60.000,950.000,950.000
abce3,ft10,10,60.000,955.500,955.500
abce3,ft10,11,60.000,969.000,969.000
abce3,ft10,12,60.000,993.000,993.000
abce3,ft10,13,60.000,969.000,969.000
abce3,ft10,14,60.016,946.500,946.500
abce3,ft10,15,60.000,939.000,939.000
abce3,ft10,16,60.000,952.500,952.500
abce3,ft10,17,60.000,952.500,952.500
abce3,ft10,18,60.000,939.000,939.000
abce3,ft10,19,60.000,944.500,944.500
abce3,ft10,20,60.000,955.000,952.500
abce3,ft10,21,60.000,940.000,940.000
abce3,ft10,22,60.000,944.500,944.500
abce3,ft10,23,60.000,945.000,945.000
abce3,ft10,24,60.000,949.000,949.000
abce3,ft10,25,60.000,944.500,944.500
abce3,ft10,26,60.000,969.000,969.000
abce3,ft10,27,60.000,968.000,968.000
abce3,ft10,28,60.000,975.000,975.000
abce3,ft10,29,60.000,939.000,939.000
abce3,ft10,30,60.000,950.000,950.000
abce3,tai15_15_01,1,55.016,1313.500,1303.000
abce3,tai15_15_01,2,55.031,1294.000,1294.000
abce3,tai15_15_01,3,60.016,1335.000,1287.500
abce3,tai15_15_01,4,60.000,1297.500,1297.500
abce3,tai15_15_01,5,55.016,1315.000,1292.000
abce3,tai15_15_01,6,60.031,1322.500,1322.500
abce3,tai15_15_01,7,60.000,1313.000,1313.000
abce3,tai15_15_01,8,60.000,1290.000,1290.000
abce3,tai15_15_01,9,55.016,1330.000,1311.500
abce3,tai15_15_01,10,60.000,1263.500,1261.500
abce3,tai15_15_01,11,60.000,1313.000,1313.000
abce3,tai15_15_01,12,60.000,1291.500,1291.500
abce3,tai15_15_01,13,55.031,1334.000,1312.500
abce3,tai15_15_01,14,60.000,1313.500,1313.500
abce3,tai15_15_01,15,60.000,1325.500,1304.000
abce3,tai15_15_01,16,60.000,1298.000,1298.000
abce3,tai15_15_01,17,60.000,1323.000,1320.000
abce3,tai15_15_01,18,60.000,1327.500,1305.500
abce3,tai15_15_01,19,60.000,1297.000,1297.000
abce3,tai15_15_01,20,60.016,1319.000,1302.500
abce3,tai15_15_01,21,60.000,1299.000,1299.000
abce3,tai15_15_01,22,55.016,1327.000,1310.000
abce3,tai15_15_01,23,55.031,1309.000,1309.000
abce3,tai15_15_01,24,60.016,1325.000,1320.000
abce3,tai15_15_01,25,60.000,1309.000,1309.000
abce3,tai15_15_01,26,55.016,1330.000,1325.500
abce3,tai15_15_01,27,60.000,1318.000,1318.000
abce3,tai15_15_01,28,55.031,1329.500,1325.000
abce3,tai15_15_01,29,55.031,1334.000,1315.000
abce3,tai15_15_01,30,60.000,1297.500,1297.500
abce3,tai15_15_02,1,60.000,1314.000,1307.000
abce3,tai15_15_02,2,55.016,1294.000,1294.000
abce3,tai15_15_02,3,55.016,1307.500,1291.500
abce3,tai15_15_02,4,60.016,1285.500,1277.000
abce3,tai15_15_02,5,60.000,1302.500,1302.500
abce3,tai15_15_02,6,60.016,1310.500,1297.000
abce3,tai15_15_02,7,60.016,1292.000,1292.000
abce3,tai15_15_02,8,55.000,1291.000,1291.000
abce3,tai15_15_02,9,60.000,1279.000,1279.000
abce3,tai15_15_02,10,60.000,1302.000,1292.500
abce3,tai15_15_02,11,60.000,1281.500,1281.500
abce3,tai15_15_02,12,60.000,1300.000,1300.000
abce3,tai15_15_02,13,55.031,1311.000,1311.000
abce3,tai15_15_02,14,55.000,1286.000,1285.000
abce3,tai15_15_02,15,55.000,1285.500,1285.500
abce3,tai15_15_02,16,60.016,1306.500,1305.000
abce3,tai15_15_02,17,55.000,1309.500,1269.000
