algo,inst,run,t_fin,v90,v_fin
feabcls,ft10,1,55.000,935.500,935.500
feabcls,ft10,2,55.047,940.000,940.000
feabcls,ft10,3,60.000,940.000,940.000
feabcls,ft10,4,60.000,946.500,946.500
feabcls,ft10,5,60.016,940.000,940.000
feabcls,ft10,6,60.000,940.000,940.000
feabcls,ft10,7,60.000,935.500,935.500
feabcls,ft10,8,60.016,935.500,935.500
feabcls,ft10,9,60.031,935.500,935.500
feabcls,ft10,10,60.047,935.500,935.500
feabcls,ft10,11,60.031,935.500,935.500
feabcls,ft10,12,60.000,935.500,935.500
feabcls,ft10,13,55.031,940.000,940.000
feabcls,ft10,14,60.000,935.500,935.500
feabcls,ft10,15,60.031,940.000,940.000
feabcls,ft10,16,55.016,935.500,935.500
feabcls,ft10,17,60.000,940.000,940.000
feabcls,ft10,18,60.016,940.000,940.000
feabcls,ft10,19,60.031,935.500,935.500
feabcls,ft10,20,55.000,935.500,935.500
feabcls,ft10,21,60.016,946.500,946.500
feabcls,ft10,22,60.047,940.000,940.000
feabcls,ft10,23,60.000,935.500,935.500
feabcls,ft10,24,60.031,935.500,935.500
feabcls,ft10,25,60.000,935.500,935.500
feabcls,ft10,26,55.016,935.500,935.500
feabcls,ft10,27,60.016,940.000,940.000
feabcls,ft10,28,55.078,940.000,940.000
feabcls,ft10,29,55.000,940.000,940.000
feabcls,ft10,30,55.000,940.000,940.000
feabcls,tai15_15_01,1,60.000,1271.000,1271.000
feabcls,tai15_15_01,2,60.047,1262.000,1262.000
feabcls,tai15_15_01,3,55.016,1253.000,1253.000
feabcls,tai15_15_01,4,60.047,1262.000,1262.000
feabcls,tai15_15_01,5,55.109,1268.000,1268.000
feabcls,tai15_15_01,6,60.047,1262.000,1262.000
feabcls,tai15_15_01,7,60.062,1268.500,1268.500
feabcls,tai15_15_01,8,55.078,1268.500,1268.500
feabcls,tai15_15_01,9,55.109,1262.000,1262.000
feabcls,tai15_15_01,10,60.031,1255.500,1255.500
feabcls,tai15_15_01,11,55.156,1264.000,1264.000
feabcls,tai15_15_01,12,55.062,1262.000,1262.000
feabcls,tai15_15_01,13,60.000,1260.500,1260.500
feabcls,tai15_15_01,14,60.062,1269.000,1269.000
feabcls,tai15_15_01,15,60.062,1271.500,1271.500
feabcls,tai15_15_01,16,60.031,1258.500,1258.500
feabcls,tai15_15_01,17,55.031,1262.000,1262.000
feabcls,tai15_15_01,18,60.031,1262.000,1262.000
feabcls,tai15_15_01,19,60.062,1262.000,1262.000
feabcls,tai15_15_01,20,60.094,1248.000,1248.000
feabcls,tai15_15_01,21,60.062,1268.500,1268.500
feabcls,tai15_15_01,22,60.016,1255.500,1255.500
feabcls,tai15_15_01,23,55.094,1255.000,1255.000
feabcls,tai15_15_01,24,60.016,1253.000,1253.000
feabcls,tai15_15_01,25,60.047,1249.500,1249.500
feabcls,tai15_15_01,26,55.109,1262.000,1262.000
feabcls,tai15_15_01,27,55.109,1256.000,1256.000
feabcls,tai15_15_01,28,55.000,1248.000,1248.000
feabcls,tai15_15_01,29,55.078,1255.000,1255.000
feabcls,tai15_15_01,30,60.047,1271.000,1271.000
feabcls,tai15_15_02,1,55.062,1269.500,1269.500
feabcls,tai15_15_02,2,55.109,1268.000,1268.000
feabcls,tai15_15_02,3,55.109,1269.500,1269.500
feabcls,tai15_15_02,4,60.031,1270.500,1270.500
feabcls,tai15_15_02,5,55.109,1269.500,1269.500
feabcls,tai15_15_02,6,55.031,1263.000,1263.000
feabcls,tai15_15_02,7,60.109,1248.000,1248.000
feabcls,tai15_15_02,8,55.109,1269.500,1269.500
feabcls,tai15_15_02,9,55.031,1268.000,1268.000
feabcls,tai15_15_02,10,60.016,1248.000,1248.000
feabcls,tai15_15_02,11,55.125,1258.000,1255.500
feabcls,tai15_15_02,12,55.156,1274.500,1274.500
feabcls,tai15_15_02,13,55.156,1269.500,1269.500
feabcls,tai15_15_02,14,55.031,1261.500,1261.500
feabcls,tai15_15_02,15,55.016,1278.000,1278.000
feabcls,tai15_15_02,16,60.062,1258.000,1258.000
feabcls,tai15_15_02,17,60.016,1269.500,1269.500
feabcls,tai15_15_02,18,60.031,1264.500,1264.500
feabcls,tai15_15_02,19,60.000,1276.500,1276.500
