algo,inst,run,t_fin,v90,v_fin
feabcls,ft10,1,60.000,942.500,942.500
feabcls,ft10,2,60.047,946.000,942.500
feabcls,ft10,3,60.016,946.000,942.500
feabcls,ft10,4,60.000,942.500,942.500
feabcls,ft10,5,55.000,946.000,946.000
feabcls,ft10,6,55.031,946.000,946.000
feabcls,ft10,7,55.000,946.000,946.000
feabcls,ft10,8,60.016,946.000,942.500
feabcls,ft10,9,60.016,946.000,946.000
feabcls,ft10,10,60.047,946.000,946.000
feabcls,ft10,11,55.047,942.500,942.500
feabcls,ft10,12,60.031,946.000,946.000
feabcls,ft10,13,60.016,946.000,946.000
feabcls,ft10,14,60.000,946.000,946.000
feabcls,ft10,15,60.016,946.000,946.000
feabcls,ft10,16,60.000,946.000,946.000
feabcls,ft10,17,60.000,946.000,942.500
feabcls,ft10,18,60.016,946.000,946.000
feabcls,ft10,19,60.016,942.500,942.500
feabcls,ft10,20,60.016,942.500,942.500
feabcls,ft10,21,60.016,946.000,946.000
feabcls,ft10,22,55.062,946.000,946.000
feabcls,ft10,23,55.016,946.000,946.000
feabcls,ft10,24,60.016,946.000,946.000
feabcls,ft10,25,55.031,942.500,942.500
feabcls,ft10,26,60.016,935.500,935.500
feabcls,ft10,27,55.016,946.000,946.000
feabcls,ft10,28,55.031,946.000,946.000
feabcls,ft10,29,60.000,946.000,946.000
feabcls,ft10,30,55.062,946.000,946.000
feabcls,tai15_15_01,1,55.031,1271.000,1271.000
feabcls,tai15_15_01,2,60.016,1256.500,1256.500
feabcls,tai15_15_01,3,55.016,1269.500,1269.500
feabcls,tai15_15_01,4,60.031,1268.500,1268.500
feabcls,tai15_15_01,5,60.094,1248.000,1248.000
feabcls,tai15_15_01,6,55.125,1253.000,1253.000
feabcls,tai15_15_01,7,55.156,1272.000,1272.000
feabcls,tai15_15_01,8,55.031,1261.000,1261.000
feabcls,tai15_15_01,9,60.078,1274.500,1274.500
feabcls,tai15_15_01,10,60.062,1267.500,1267.500
feabcls,tai15_15_01,11,60.016,1272.000,1272.000
feabcls,tai15_15_01,12,60.031,1275.000,1275.000
feabcls,tai15_15_01,13,60.078,1269.500,1269.500
feabcls,tai15_15_01,14,60.062,1272.000,1272.000
feabcls,tai15_15_01,15,55.109,1253.000,1253.000
feabcls,tai15_15_01,16,55.000,1268.500,1268.500
feabcls,tai15_15_01,17,60.016,1267.500,1267.500
feabcls,tai15_15_01,18,60.031,1275.000,1275.000
feabcls,tai15_15_01,19,55.172,1255.000,1249.000
feabcls,tai15_15_01,20,60.062,1275.000,1275.000
feabcls,tai15_15_01,21,60.016,1267.500,1267.500
feabcls,tai15_15_01,22,55.094,1275.000,1275.000
feabcls,tai15_15_01,23,55.156,1253.000,1253.000
feabcls,tai15_15_01,24,60.062,1267.500,1267.500
feabcls,tai15_15_01,25,55.094,1275.000,1275.000
feabcls,tai15_15_01,26,60.000,1249.000,1249.000
feabcls,tai15_15_01,27,55.078,1269.500,1269.500
feabcls,tai15_15_01,28,60.031,1264.500,1264.500
feabcls,tai15_15_01,29,60.016,1264.500,1264.500
feabcls,tai15_15_01,30,60.016,1250.000,1250.000
feabcls,tai15_15_02,1,55.109,1272.500,1272.500
feabcls,tai15_15_02,2,55.156,1277.500,1277.500
feabcls,tai15_15_02,3,60.016,1268.000,1268.000
