algo,inst,run,t_fin,v90,v_fin
feabcls,ft10,1,55.047,942.500,942.500
feabcls,ft10,2,55.062,946.000,946.000
feabcls,ft10,3,60.031,946.000,946.000
feabcls,ft10,4,55.016,946.000,946.000
feabcls,ft10,5,55.016,946.000,946.000
feabcls,ft10,6,60.000,942.500,942.500
feabcls,ft10,7,60.000,953.000,935.500
feabcls,ft10,8,60.016,942.500,942.500
feabcls,ft10,9,60.016,942.500,942.500
feabcls,ft10,10,60.016,942.500,942.500
feabcls,ft10,11,60.031,942.500,942.500
feabcls,ft10,12,60.031,942.500,942.500
feabcls,ft10,13,55.016,942.500,942.500
feabcls,ft10,14,55.047,942.500,942.500
feabcls,ft10,15,60.031,946.000,946.000
feabcls,ft10,16,60.016,942.500,942.500
feabcls,ft10,17,60.000,946.000,946.000
feabcls,ft10,18,60.047,942.500,942.500
feabcls,ft10,19,55.047,942.500,940.000
feabcls,ft10,20,60.031,946.000,946.000
feabcls,ft10,21,60.031,942.500,935.500
feabcls,ft10,22,60.016,946.000,942.500
feabcls,ft10,23,60.047,946.000,946.000
feabcls,ft10,24,60.016,942.500,942.500
feabcls,ft10,25,60.016,935.500,935.500
feabcls,ft10,26,55.078,946.000,942.500
feabcls,ft10,27,60.000,946.000,946.000
feabcls,ft10,28,55.031,946.000,942.500
feabcls,ft10,29,60.016,946.000,946.000
feabcls,ft10,30,60.000,942.500,942.500
feabcls,tai15_15_01,1,55.000,1284.500,1284.500
feabcls,tai15_15_01,2,55.125,1289.500,1289.500
feabcls,tai15_15_01,3,55.000,1268.500,1268.500
feabcls,tai15_15_01,4,60.078,1285.000,1285.000
feabcls,tai15_15_01,5,60.016,1284.500,1284.500
feabcls,tai15_15_01,6,60.000,1268.500,1268.500
feabcls,tai15_15_01,7,60.000,1260.500,1260.500
feabcls,tai15_15_01,8,55.156,1270.500,1268.500
feabcls,tai15_15_01,9,60.047,1264.500,1264.500
feabcls,tai15_15_01,10,55.094,1279.000,1279.000
feabcls,tai15_15_01,11,60.031,1265.000,1265.000
feabcls,tai15_15_01,12,60.031,1268.500,1268.500
feabcls,tai15_15_01,13,60.031,1268.500,1268.500
feabcls,tai15_15_01,14,55.000,1274.500,1274.500
feabcls,tai15_15_01,15,55.125,1264.500,1264.500
feabcls,tai15_15_01,16,55.047,1248.000,1248.000
feabcls,tai15_15_01,17,60.031,1278.000,1278.000
feabcls,tai15_15_01,18,60.016,1295.000,1295.000
feabcls,tai15_15_01,19,60.016,1268.500,1268.500
feabcls,tai15_15_01,20,55.078,1271.500,1271.500
feabcls,tai15_15_01,21,55.078,1271.500,1271.500
feabcls,tai15_15_01,22,60.031,1271.000,1271.000
feabcls,tai15_15_01,23,60.016,1268.500,1268.500
feabcls,tai15_15_01,24,55.109,1271.000,1271.000
feabcls,tai15_15_01,25,55.047,1248.000,1248.000
feabcls,tai15_15_01,26,60.000,1294.500,1261.000
feabcls,tai15_15_01,27,55.078,1269.000,1269.000
feabcls,tai15_15_01,28,60.078,1271.500,1271.500
feabcls,tai15_15_01,29,55.094,1284.000,1282.500
feabcls,tai15_15_01,30,55.109,1282.000,1282.000
feabcls,tai15_15_02,1,55.094,1281.000,1281.000
feabcls,tai15_15_02,2,60.062,1288.000,1288.000
feabcls,tai15_15_02,3,55.094,1268.000,1268.000
feabcls,tai15_15_02,4,55.078,1272.500,1272.500
feabcls,tai15_15_02,5,55.078,1288.000,1281.000
feabcls,tai15_15_02,6,60.047,1270.000,1270.000
feabcls,tai15_15_02,7,60.000,1275.500,1275.500
feabcls,tai15_15_02,8,55.062,1281.000,1281.000
feabcls,tai15_15_02,9,55.031,1280.000,1280.000
feabcls,tai15_15_02,10,60.047,1268.000,1268.000
feabcls,tai15_15_02,11,60.062,1281.000,1281.000
feabcls,tai15_15_02,12,60.047,1276.500,1276.500
feabcls,tai15_15_02,13,55.062,1281.000,1281.000
feabcls,tai15_15_02,14,60.078,1268.000,1268.000
feabcls,tai15_15_02,15,55.047,1280.000,1280.000
feabcls,tai15_15_02,16,60.109,1268.000,1268.000
feabcls,tai15_15_02,17,60.031,1269.500,1269.500
feabcls,tai15_15_02,18,60.016,1281.000,1281.000
feabcls,tai15_15_02,19,60.094,1268.000,1268.000
feabcls,tai15_15_02,20,55.109,1275.000,1275.000
feabcls,tai15_15_02,21,60.047,1277.500,1277.500
feabcls,tai15_15_02,22,60.000,1281.000,1281.000
feabcls,tai15_15_02,23,60.062,1275.500,1275.500
feabcls,tai15_15_02,24,55.000,1281.000,1281.000
feabcls,tai15_15_02,25,55.109,1285.500,1284.000
feabcls,tai15_15_02,26,55.125,1268.000,1268.000
feabcls,tai15_15_02,27,55.094,1268.000,1268.000
feabcls,tai15_15_02,28,60.062,1281.000,1281.000
feabcls,tai15_15_02,29,55.016,1272.500,1272.500
feabcls,tai15_15_02,30,60.062,1272.500,1272.500
feabcls,tai15_15_03,1,55.125,1250.500,1250.500
feabcls,tai15_15_03,2,55.109,1250.500,1250.500
feabcls,tai15_15_03,3,60.047,1250.500,1250.500
feabcls,tai15_15_03,4,55.031,1251.500,1251.500
feabcls,tai15_15_03,5,60.016,1250.500,1250.500
feabcls,tai15_15_03,6,60.047,1251.500,1251.500
feabcls,tai15_15_03,7,60.062,1250.500,1250.500
feabcls,tai15_15_03,8,60.016,1250.500,1250.500
feabcls,tai15_15_03,9,60.016,1251.500,1251.500
feabcls,tai15_15_03,10,60.031,1250.500,1250.500
feabcls,tai15_15_03,11,60.031,1250.500,1250.500
feabcls,tai15_15_03,12,60.031,1250.500,1250.500
feabcls,tai15_15_03,13,60.000,1250.500,1250.500
feabcls,tai15_15_03,14,55.156,1265.500,1251.500
