algo,inst,run,t_fin,v90,v_fin
feabcls,ft10,1,60.000,946.000,946.000
feabcls,ft10,2,55.062,942.500,942.500
feabcls,ft10,3,60.000,940.000,940.000
feabcls,ft10,4,55.031,942.500,942.500
feabcls,ft10,5,60.000,942.500,942.500
feabcls,ft10,6,60.016,940.000,940.000
feabcls,ft10,7,60.000,946.000,946.000
feabcls,ft10,8,60.016,940.000,940.000
feabcls,ft10,9,60.016,946.000,946.000
feabcls,ft10,10,60.031,942.500,942.500
feabcls,ft10,11,60.000,946.000,946.000
feabcls,ft10,12,55.000,950.000,950.000
feabcls,ft10,13,55.000,942.500,942.500
feabcls,ft10,14,55.016,942.500,942.500
feabcls,ft10,15,60.000,940.000,940.000
feabcls,ft10,16,55.016,946.000,946.000
feabcls,ft10,17,60.000,940.000,940.000
feabcls,ft10,18,60.031,946.000,946.000
feabcls,ft10,19,60.047,942.500,942.500
feabcls,ft10,20,60.016,946.000,946.000
feabcls,ft10,21,60.016,946.000,942.500
feabcls,ft10,22,60.016,946.000,946.000
feabcls,ft10,23,55.016,946.000,946.000
feabcls,ft10,24,55.047,939.000,939.000
feabcls,ft10,25,55.031,940.000,940.000
feabcls,ft10,26,55.047,946.000,946.000
feabcls,ft10,27,60.016,946.000,946.000
feabcls,ft10,28,60.016,935.500,935.500
feabcls,ft10,29,55.078,940.000,940.000
feabcls,ft10,30,60.000,946.000,946.000
feabcls,tai15_15_01,1,55.109,1260.500,1260.500
feabcls,tai15_15_01,2,60.016,1262.000,1262.000
feabcls,tai15_15_01,3,60.062,1261.500,1261.500
feabcls,tai15_15_01,4,60.016,1262.000,1262.000
feabcls,tai15_15_01,5,60.031,1260.500,1260.500
feabcls,tai15_15_01,6,60.000,1249.500,1249.500
feabcls,tai15_15_01,7,60.016,1262.000,1262.000
feabcls,tai15_15_01,8,55.156,1253.000,1253.000
feabcls,tai15_15_01,9,60.031,1261.500,1261.500
feabcls,tai15_15_01,10,60.000,1262.000,1262.000
feabcls,tai15_15_01,11,55.000,1262.000,1262.000
feabcls,tai15_15_01,12,55.047,1260.500,1260.500
feabcls,tai15_15_01,13,55.047,1255.500,1253.500
feabcls,tai15_15_01,14,55.000,1258.500,1258.500
feabcls,tai15_15_01,15,60.047,1261.500,1261.500
feabcls,tai15_15_01,16,55.109,1251.000,1248.000
feabcls,tai15_15_01,17,55.141,1254.500,1254.500
feabcls,tai15_15_01,18,60.000,1254.000,1252.000
feabcls,tai15_15_01,19,55.109,1262.000,1262.000
feabcls,tai15_15_01,20,60.094,1253.000,1253.000
feabcls,tai15_15_01,21,60.000,1255.000,1255.000
feabcls,tai15_15_01,22,55.016,1253.500,1253.500
feabcls,tai15_15_01,23,55.125,1248.000,1248.000
feabcls,tai15_15_01,24,60.047,1249.500,1249.500
feabcls,tai15_15_01,25,55.156,1260.500,1260.500
feabcls,tai15_15_01,26,60.047,1262.000,1262.000
feabcls,tai15_15_01,27,60.078,1260.500,1260.500
feabcls,tai15_15_01,28,60.047,1262.000,1262.000
feabcls,tai15_15_01,29,60.078,1262.000,1262.000
feabcls,tai15_15_01,30,60.062,1261.500,1261.500
feabcls,tai15_15_02,1,55.016,1269.500,1269.500
feabcls,tai15_15_02,2,60.031,1268.000,1268.000
feabcls,tai15_15_02,3,55.109,1269.500,1269.500
feabcls,tai15_15_02,4,60.031,1253.000,1253.000
feabcls,tai15_15_02,5,55.000,1270.000,1270.000
feabcls,tai15_15_02,6,55.062,1268.000,1268.000
feabcls,tai15_15_02,7,60.062,1272.500,1272.500
feabcls,tai15_15_02,8,55.062,1269.500,1269.500
feabcls,tai15_15_02,9,60.078,1267.000,1267.000
feabcls,tai15_15_02,10,60.047,1280.000,1279.000
feabcls,tai15_15_02,11,55.125,1279.000,1279.000
feabcls,tai15_15_02,12,60.016,1269.500,1269.500
feabcls,tai15_15_02,13,60.047,1269.500,1269.500
feabcls,tai15_15_02,14,60.031,1268.000,1268.000
feabcls,tai15_15_02,15,55.094,1269.500,1269.500
feabcls,tai15_15_02,16,60.031,1272.500,1272.500
feabcls,tai15_15_02,17,60.016,1269.500,1269.500
feabcls,tai15_15_02,18,60.000,1269.500,1269.500
feabcls,tai15_15_02,19,55.031,1272.000,1272.000
feabcls,tai15_15_02,20,60.016,1269.500,1269.500
feabcls,tai15_15_02,21,60.016,1269.500,1269.500
feabcls,tai15_15_02,22,60.031,1272.500,1272.500
feabcls,tai15_15_02,23,60.094,1280.000,1280.000
feabcls,tai15_15_02,24,60.000,1270.000,1270.000
feabcls,tai15_15_02,25,60.047,1269.500,1269.500
feabcls,tai15_15_02,26,55.000,1270.000,1270.000
feabcls,tai15_15_02,27,60.094,1280.000,1280.000
feabcls,tai15_15_02,28,60.078,1269.500,1269.500
feabcls,tai15_15_02,29,55.125,1269.500,1269.500
feabcls,tai15_15_02,30,60.047,1268.000,1268.000
feabcls,tai15_15_03,1,60.062,1261.000,1261.000
feabcls,tai15_15_03,2,60.000,1250.500,1250.500
feabcls,tai15_15_03,3,60.094,1250.500,1250.500
feabcls,tai15_15_03,4,60.062,1238.000,1238.000
feabcls,tai15_15_03,5,60.031,1250.500,1250.500
feabcls,tai15_15_03,6,55.016,1250.500,1250.500
feabcls,tai15_15_03,7,60.031,1250.500,1250.500
feabcls,tai15_15_03,8,55.094,1259.000,1259.000
feabcls,tai15_15_03,9,55.078,1252.000,1252.000
feabcls,tai15_15_03,10,60.031,1250.500,1250.500
feabcls,tai15_15_03,11,55.141,1250.500,1250.500
feabcls,tai15_15_03,12,55.094,1250.500,1250.500
feabcls,tai15_15_03,13,55.188,1259.000,1259.000
feabcls,tai15_15_03,14,60.094,1261.000,1261.000
feabcls,tai15_15_03,15,55.141,1261.000,1261.000
feabcls,tai15_15_03,16,60.078,1243.500,1243.500
feabcls,tai15_15_03,17,55.031,1252.000,1252.000
feabcls,tai15_15_03,18,55.016,1250.500,1250.500
feabcls,tai15_15_03,19,55.109,1250.500,1250.500
feabcls,tai15_15_03,20,60.000,1250.500,1250.500
feabcls,tai15_15_03,21,55.031,1250.500,1250.500
feabcls,tai15_15_03,22,55.188,1250.500,1250.500
feabcls,tai15_15_03,23,55.109,1250.500,1250.500
feabcls,tai15_15_03,24,55.000,1250.500,1250.500
feabcls,tai15_15_03,25,60.016,1248.500,1248.500
feabcls,tai15_15_03,26,55.172,1250.500,1250.500
feabcls,tai15_15_03,27,55.094,1242.500,1242.500
feabcls,tai15_15_03,28,60.031,1252.000,1252.000
feabcls,tai15_15_03,29,55.000,1256.000,1256.000
feabcls,tai15_15_03,30,60.047,1250.500,1250.500
feabcls,tai15_15_04,1,60.000,1188.000,1188.000
feabcls,tai15_15_04,2,55.156,1188.000,1188.000
feabcls,tai15_15_04,3,55.125,1196.500,1195.000
feabcls,tai15_15_04,4,55.062,1188.000,1188.000
feabcls,tai15_15_04,5,55.172,1188.000,1188.000
feabcls,tai15_15_04,6,55.156,1188.000,1188.000
feabcls,tai15_15_04,7,55.109,1195.000,1195.000
feabcls,tai15_15_04,8,60.031,1188.000,1188.000
feabcls,tai15_15_04,9,55.109,1188.000,1188.000
feabcls,tai15_15_04,10,60.047,1213.000,1213.000
feabcls,tai15_15_04,11,60.016,1188.000,1188.000
feabcls,tai15_15_04,12,60.062,1195.500,1195.500
feabcls,tai15_15_04,13,55.000,1188.000,1188.000
feabcls,tai15_15_04,14,60.047,1195.000,1195.000
feabcls,tai15_15_04,15,60.000,1195.000,1195.000
feabcls,tai15_15_04,16,60.000,1188.000,1188.000
feabcls,tai15_15_04,17,60.062,1195.000,1188.000
feabcls,tai15_15_04,18,55.109,1195.000,1195.000
