algo,inst,run,t_fin,v90,v_fin
feabcls,ft10,1,55.031,945.000,940.000
feabcls,ft10,2,55.016,939.000,939.000
feabcls,ft10,3,60.000,940.000,940.000
feabcls,ft10,4,55.000,940.000,940.000
feabcls,ft10,5,55.031,950.000,950.000
feabcls,ft10,6,60.016,940.000,940.000
feabcls,ft10,7,60.000,951.500,951.500
feabcls,ft10,8,55.016,940.000,940.000
feabcls,ft10,9,60.047,940.000,940.000
feabcls,ft10,10,60.016,946.500,939.000
feabcls,ft10,11,60.016,981.000,969.000
feabcls,ft10,12,60.000,969.000,969.000
feabcls,ft10,13,60.047,940.000,940.000
feabcls,ft10,14,60.016,940.000,940.000
feabcls,ft10,15,55.016,950.000,950.000
feabcls,ft10,16,60.016,939.000,939.000
feabcls,ft10,17,55.016,946.000,946.000
feabcls,ft10,18,60.031,969.000,969.000
feabcls,ft10,19,60.031,940.000,940.000
feabcls,ft10,20,60.047,987.000,987.000
feabcls,ft10,21,60.016,946.500,946.500
feabcls,ft10,22,55.016,939.000,935.500
feabcls,ft10,23,60.031,969.000,969.000
feabcls,ft10,24,55.078,940.000,940.000
feabcls,ft10,25,55.062,950.000,950.000
feabcls,ft10,26,60.047,969.000,969.000
feabcls,ft10,27,55.031,946.500,946.500
feabcls,ft10,28,55.016,969.000,969.000
feabcls,ft10,29,60.047,940.000,940.000
feabcls,ft10,30,55.000,940.000,940.000
feabcls,tai15_15_01,1,55.141,1276.500,1276.500
feabcls,tai15_15_01,2,60.047,1281.500,1271.500
feabcls,tai15_15_01,3,55.141,1269.000,1257.500
feabcls,tai15_15_01,4,60.000,1257.500,1257.500
feabcls,tai15_15_01,5,60.016,1285.000,1285.000
feabcls,tai15_15_01,6,55.156,1268.500,1268.500
feabcls,tai15_15_01,7,60.062,1285.000,1285.000
feabcls,tai15_15_01,8,60.062,1268.500,1257.500
feabcls,tai15_15_01,9,55.000,1257.000,1257.000
feabcls,tai15_15_01,10,60.016,1269.000,1257.500
feabcls,tai15_15_01,11,55.062,1279.000,1276.000
feabcls,tai15_15_01,12,60.062,1269.000,1269.000
feabcls,tai15_15_01,13,60.062,1296.000,1296.000
feabcls,tai15_15_01,14,60.062,1301.000,1301.000
feabcls,tai15_15_01,15,60.031,1271.500,1271.500
feabcls,tai15_15_01,16,60.062,1296.000,1296.000
feabcls,tai15_15_01,17,55.109,1288.000,1273.500
feabcls,tai15_15_01,18,60.047,1271.000,1271.000
feabcls,tai15_15_01,19,55.031,1269.500,1269.500
feabcls,tai15_15_01,20,55.016,1279.000,1272.500
feabcls,tai15_15_01,21,55.156,1296.000,1296.000
feabcls,tai15_15_01,22,55.031,1271.000,1271.000
feabcls,tai15_15_01,23,55.047,1296.000,1296.000
feabcls,tai15_15_01,24,55.156,1271.500,1271.500
feabcls,tai15_15_01,25,60.062,1269.000,1257.500
feabcls,tai15_15_01,26,55.094,1285.000,1285.000
feabcls,tai15_15_01,27,55.125,1277.500,1277.500
feabcls,tai15_15_01,28,60.000,1271.000,1271.000
feabcls,tai15_15_01,29,60.000,1268.500,1268.500
feabcls,tai15_15_01,30,60.047,1271.000,1271.000
feabcls,tai15_15_02,1,55.016,1278.000,1278.000
feabcls,tai15_15_02,2,60.078,1271.000,1271.000
feabcls,tai15_15_02,3,60.062,1278.000,1278.000
feabcls,tai15_15_02,4,60.047,1276.500,1276.500
feabcls,tai15_15_02,5,55.047,1278.000,1278.000
feabcls,tai15_15_02,6,55.172,1278.000,1278.000
feabcls,tai15_15_02,7,60.062,1279.500,1279.000
feabcls,tai15_15_02,8,60.109,1277.000,1277.000
feabcls,tai15_15_02,9,55.031,1279.500,1279.500
feabcls,tai15_15_02,10,60.047,1269.500,1269.500
feabcls,tai15_15_02,11,55.047,1258.000,1258.000
feabcls,tai15_15_02,12,55.172,1278.000,1278.000
feabcls,tai15_15_02,13,60.078,1278.000,1278.000
feabcls,tai15_15_02,14,55.031,1279.500,1279.500
