algo,inst,run,t_fin,v90,v_fin
feabcls,ft10,1,55.016,940.000,940.000
feabcls,ft10,2,55.062,940.000,940.000
feabcls,ft10,3,55.062,940.000,940.000
feabcls,ft10,4,60.047,940.000,940.000
feabcls,ft10,5,55.078,940.000,940.000
feabcls,ft10,6,60.000,940.000,940.000
feabcls,ft10,7,55.031,940.000,940.000
feabcls,ft10,8,55.000,940.000,940.000
feabcls,ft10,9,60.000,940.000,940.000
feabcls,ft10,10,55.016,940.000,940.000
feabcls,ft10,11,60.031,940.000,940.000
feabcls,ft10,12,60.047,940.000,940.000
feabcls,ft10,13,60.016,940.000,940.000
feabcls,ft10,14,60.000,940.000,940.000
feabcls,ft10,15,60.031,940.000,940.000
feabcls,ft10,16,60.031,940.000,940.000
feabcls,ft10,17,60.000,940.000,940.000
feabcls,ft10,18,60.016,940.000,940.000
feabcls,ft10,19,60.000,946.500,946.500
feabcls,ft10,20,55.000,940.000,940.000
feabcls,ft10,21,60.000,940.000,940.000
feabcls,ft10,22,60.016,940.000,940.000
feabcls,ft10,23,60.016,940.000,940.000
feabcls,ft10,24,55.047,940.000,940.000
feabcls,ft10,25,55.031,940.000,940.000
feabcls,ft10,26,60.016,940.000,940.000
feabcls,ft10,27,55.016,940.000,940.000
feabcls,ft10,28,60.016,940.000,940.000
feabcls,ft10,29,60.000,940.000,940.000
feabcls,ft10,30,60.000,940.000,940.000
feabcls,tai15_15_01,1,60.078,1248.000,1248.000
feabcls,tai15_15_01,2,60.000,1253.000,1253.000
feabcls,tai15_15_01,3,55.109,1262.000,1262.000
feabcls,tai15_15_01,4,55.094,1265.000,1265.000
feabcls,tai15_15_01,5,55.062,1255.000,1255.000
feabcls,tai15_15_01,6,60.047,1258.500,1258.500
feabcls,tai15_15_01,7,60.000,1258.500,1258.500
feabcls,tai15_15_01,8,60.031,1259.000,1259.000
feabcls,tai15_15_01,9,60.047,1262.000,1262.000
feabcls,tai15_15_01,10,60.000,1262.000,1262.000
feabcls,tai15_15_01,11,60.078,1262.000,1262.000
feabcls,tai15_15_01,12,55.031,1255.500,1255.500
feabcls,tai15_15_01,13,55.156,1249.500,1249.500
feabcls,tai15_15_01,14,55.062,1260.500,1260.500
feabcls,tai15_15_01,15,60.031,1246.500,1246.500
feabcls,tai15_15_01,16,60.016,1258.500,1258.500
feabcls,tai15_15_01,17,60.000,1260.500,1260.500
feabcls,tai15_15_01,18,60.000,1260.500,1260.500
feabcls,tai15_15_01,19,55.000,1265.000,1265.000
feabcls,tai15_15_01,20,60.031,1262.000,1262.000
feabcls,tai15_15_01,21,55.062,1258.500,1258.500
feabcls,tai15_15_01,22,60.016,1249.500,1249.500
feabcls,tai15_15_01,23,60.047,1246.500,1246.500
feabcls,tai15_15_01,24,60.000,1258.500,1258.500
feabcls,tai15_15_01,25,60.047,1262.000,1262.000
feabcls,tai15_15_01,26,55.094,1258.500,1258.500
feabcls,tai15_15_01,27,60.094,1259.000,1259.000
feabcls,tai15_15_01,28,60.031,1262.000,1262.000
feabcls,tai15_15_01,29,60.062,1259.000,1259.000
feabcls,tai15_15_01,30,60.078,1250.000,1250.000
feabcls,tai15_15_02,1,60.062,1269.000,1269.000
feabcls,tai15_15_02,2,60.047,1272.000,1272.000
feabcls,tai15_15_02,3,55.172,1272.000,1272.000
feabcls,tai15_15_02,4,60.000,1272.000,1272.000
feabcls,tai15_15_02,5,60.047,1282.000,1282.000
feabcls,tai15_15_02,6,60.094,1272.000,1272.000
feabcls,tai15_15_02,7,60.047,1279.000,1277.000
feabcls,tai15_15_02,8,60.062,1273.000,1272.000
feabcls,tai15_15_02,9,55.000,1275.500,1275.500
feabcls,tai15_15_02,10,55.062,1272.000,1272.000
feabcls,tai15_15_02,11,60.000,1262.000,1262.000
feabcls,tai15_15_02,12,60.062,1273.000,1273.000
feabcls,tai15_15_02,13,55.141,1282.000,1282.000
feabcls,tai15_15_02,14,60.016,1273.000,1273.000
feabcls,tai15_15_02,15,60.016,1282.000,1272.000
feabcls,tai15_15_02,16,55.031,1273.000,1273.000
feabcls,tai15_15_02,17,55.125,1282.000,1282.000
feabcls,tai15_15_02,18,60.078,1273.000,1273.000
feabcls,tai15_15_02,19,60.000,1279.000,1279.000
feabcls,tai15_15_02,20,60.000,1273.000,1273.000
feabcls,tai15_15_02,21,60.047,1282.000,1282.000
feabcls,tai15_15_02,22,60.078,1272.000,1272.000
feabcls,tai15_15_02,23,60.078,1277.000,1277.000
feabcls,tai15_15_02,24,60.000,1273.000,1273.000
feabcls,tai15_15_02,25,55.062,1272.000,1272.000
feabcls,tai15_15_02,26,55.156,1270.000,1270.000
feabcls,tai15_15_02,27,60.047,1267.500,1267.500
feabcls,tai15_15_02,28,60.078,1273.000,1273.000
feabcls,tai15_15_02,29,55.156,1280.500,1280.500
feabcls,tai15_15_02,30,60.062,1272.000,1272.000
feabcls,tai15_15_03,1,55.078,1253.500,1253.500
feabcls,tai15_15_03,2,60.000,1253.500,1248.000
feabcls,tai15_15_03,3,55.156,1261.000,1261.000
feabcls,tai15_15_03,4,60.078,1259.500,1259.500
feabcls,tai15_15_03,5,60.078,1259.500,1259.500
feabcls,tai15_15_03,6,60.016,1254.500,1254.500
feabcls,tai15_15_03,7,55.031,1252.500,1252.500
feabcls,tai15_15_03,8,55.188,1255.000,1255.000
feabcls,tai15_15_03,9,55.062,1252.500,1252.500
feabcls,tai15_15_03,10,55.031,1253.500,1253.500
feabcls,tai15_15_03,11,55.109,1259.500,1259.500
feabcls,tai15_15_03,12,55.016,1259.500,1259.500
feabcls,tai15_15_03,13,60.062,1251.500,1251.500
feabcls,tai15_15_03,14,60.078,1261.000,1261.000
feabcls,tai15_15_03,15,60.016,1248.000,1248.000
feabcls,tai15_15_03,16,55.062,1259.500,1259.500
feabcls,tai15_15_03,17,55.125,1256.500,1256.500
feabcls,tai15_15_03,18,60.016,1254.500,1254.500
feabcls,tai15_15_03,19,60.094,1254.500,1254.500
feabcls,tai15_15_03,20,60.031,1248.000,1248.000
feabcls,tai15_15_03,21,60.047,1230.500,1230.500
feabcls,tai15_15_03,22,60.094,1266.500,1254.000
feabcls,tai15_15_03,23,60.031,1253.500,1247.500
feabcls,tai15_15_03,24,60.062,1254.500,1254.500
feabcls,tai15_15_03,25,55.000,1252.000,1252.000
feabcls,tai15_15_03,26,60.016,1254.000,1254.000
feabcls,tai15_15_03,27,60.000,1254.500,1254.500
feabcls,tai15_15_03,28,60.062,1262.000,1262.000
feabcls,tai15_15_03,29,60.016,1260.000,1260.000
feabcls,tai15_15_03,30,55.141,1253.500,1251.500
feabcls,tai15_15_04,1,60.031,1210.500,1210.500
feabcls,tai15_15_04,2,60.047,1197.500,1197.500
feabcls,tai15_15_04,3,60.016,1179.000,1179.000
feabcls,tai15_15_04,4,55.109,1179.000,1179.000
feabcls,tai15_15_04,5,60.078,1230.500,1216.500
feabcls,tai15_15_04,6,55.141,1179.000,1179.000
feabcls,tai15_15_04,7,55.016,1179.000,1179.000
feabcls,tai15_15_04,8,60.016,1195.500,1195.500
feabcls,tai15_15_04,9,60.062,1221.000,1221.000
feabcls,tai15_15_04,10,60.047,1195.000,1195.000
feabcls,tai15_15_04,11,60.000,1179.000,1179.000
feabcls,tai15_15_04,12,55.094,1186.000,1186.000
feabcls,tai15_15_04,13,60.062,1195.000,1195.000
feabcls,tai15_15_04,14,60.062,1204.500,1204.500
feabcls,tai15_15_04,15,55.062,1195.500,1195.500
feabcls,tai15_15_04,16,60.047,1179.000,1179.000
feabcls,tai15_15_04,17,55.078,1179.000,1179.000
feabcls,tai15_15_04,18,55.078,1200.000,1197.500
feabcls,tai15_15_04,19,60.016,1194.500,1179.000
feabcls,tai15_15_04,20,55.047,1179.000,1179.000
feabcls,tai15_15_04,21,60.047,1197.000,1196.500
feabcls,tai15_15_04,22,60.000,1188.500,1188.000
feabcls,tai15_15_04,23,55.141,1179.000,1179.000
feabcls,tai15_15_04,24,55.031,1179.000,1179.000
feabcls,tai15_15_04,25,55.047,1179.000,1179.000
feabcls,tai15_15_04,26,60.047,1230.500,1230.500
feabcls,tai15_15_04,27,60.031,1179.000,1179.000
feabcls,tai15_15_04,28,55.047,1195.000,1195.000
feabcls,tai15_15_04,29,60.094,1179.000,1179.000
feabcls,tai15_15_04,30,55.094,1197.500,1196.500
feabcls,tai15_15_05,1,55.188,1252.000,1252.000
feabcls,tai15_15_05,2,55.094,1238.000,1238.000
feabcls,tai15_15_05,3,55.125,1252.500,1252.500
feabcls,tai15_15_05,4,60.000,1254.500,1253.500
feabcls,tai15_15_05,5,55.047,1238.000,1238.000
feabcls,tai15_15_05,6,55.078,1250.000,1250.000
feabcls,tai15_15_05,7,60.031,1242.500,1242.500
feabcls,tai15_15_05,8,60.000,1249.000,1249.000
feabcls,tai15_15_05,9,55.031,1248.000,1248.000
feabcls,tai15_15_05,10,60.062,1256.500,1256.500
feabcls,tai15_15_05,11,60.062,1244.500,1239.500
feabcls,tai15_15_05,12,55.141,1252.500,1252.500
feabcls,tai15_15_05,13,55.156,1252.500,1252.500
feabcls,tai15_15_05,14,55.109,1246.500,1246.500
