algo,inst,run,t_fin,v90,v_fin
feabcls,ft10,1,55.031,940.000,940.000
feabcls,ft10,2,60.016,940.000,940.000
feabcls,ft10,3,55.078,940.000,940.000
feabcls,ft10,4,55.078,940.000,940.000
feabcls,ft10,5,55.078,940.000,940.000
feabcls,ft10,6,55.062,940.000,940.000
feabcls,ft10,7,60.016,940.000,940.000
feabcls,ft10,8,60.000,940.000,940.000
feabcls,ft10,9,60.047,940.000,940.000
feabcls,ft10,10,60.047,940.000,940.000
feabcls,ft10,11,60.031,940.000,940.000
feabcls,ft10,12,55.047,940.000,940.000
feabcls,ft10,13,60.047,940.000,940.000
feabcls,ft10,14,60.031,940.000,940.000
feabcls,ft10,15,55.016,940.000,940.000
feabcls,ft10,16,60.047,940.000,940.000
feabcls,ft10,17,60.016,940.000,940.000
feabcls,ft10,18,55.000,940.000,940.000
feabcls,ft10,19,55.031,940.000,940.000
feabcls,ft10,20,55.062,940.000,940.000
feabcls,ft10,21,60.000,940.000,940.000
feabcls,ft10,22,55.000,940.000,940.000
feabcls,ft10,23,60.047,940.000,940.000
feabcls,ft10,24,60.016,940.000,940.000
feabcls,ft10,25,60.031,940.000,940.000
feabcls,ft10,26,55.047,940.000,940.000
feabcls,ft10,27,60.031,946.000,946.000
feabcls,ft10,28,55.062,940.000,940.000
feabcls,ft10,29,60.016,940.000,940.000
feabcls,ft10,30,55.031,940.000,940.000
feabcls,tai15_15_01,1,55.016,1256.500,1256.500
feabcls,tai15_15_01,2,60.000,1261.500,1261.500
feabcls,tai15_15_01,3,60.047,1267.500,1267.500
feabcls,tai15_15_01,4,60.031,1264.500,1264.500
feabcls,tai15_15_01,5,55.047,1257.500,1257.500
feabcls,tai15_15_01,6,55.062,1260.500,1260.500
feabcls,tai15_15_01,7,55.000,1260.500,1260.500
feabcls,tai15_15_01,8,60.016,1258.500,1258.500
feabcls,tai15_15_01,9,60.062,1258.500,1258.500
feabcls,tai15_15_01,10,55.125,1259.000,1259.000
